name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Креветки Fish & More 31/40 в чесночном маринаде на шпажках мороженые, 500г	999,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/55/p/krevetki-fish-more-31-40-v-cesnocnom-marinade-na-spazkah-morozenye-500g-4137247	Wed Jul  3 15:04:32 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки королевские 50/70 замороженные	729,99 ₽/кг	none	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-50-70-zamorozennye-69215	Wed Jul  3 15:04:32 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки королевские Бухта Изобилия варёно-мороженые очищенные, 300г	646,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-buhta-izobilia-vareno-morozenye-ocisennye-300g-3641931	Wed Jul  3 15:04:32 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки Vici Королевские варено-мороженные 450 г	421,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/55/p/krevetki-vici-korolevskie-vareno-morozennye-450-g-3970776	Wed Jul  3 15:04:32 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки королевские Polar 50/70 варёно-мороженые, 500г	369,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-polar-50-70-vareno-morozenye-500g-3420956	Wed Jul  3 15:04:32 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки северные Fish & More варёно-мороженые, 750г	826,99 ₽/шт	750 гр	https://www.perekrestok.ru/cat/55/p/krevetki-severnye-fish-more-vareno-morozenye-750g-3686756	Wed Jul  3 15:04:32 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки белоногие очищенные соленые в рассоле Маркет, 180г	289,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/179/p/krevetki-belonogie-ocisennye-solenye-v-rassole-market-180g-4280848	Wed Jul  3 15:04:32 2024	none	none	none	none	none	none	none	none	none	none	none
Креветка Ваннамей Fish & More свежемороженая, 500г	1 049,00 ₽/шт	500 гр	https://www.perekrestok.ru/cat/55/p/krevetka-vannamej-fish-more-svezemorozenaa-500g-4078304	Wed Jul  3 15:04:32 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки Polar 70/90 варёно-мороженые, 1кг	1 299,00 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/55/p/krevetki-polar-70-90-vareno-morozenye-1kg-3495300	Wed Jul  3 15:04:32 2024	none	none	none	none	none	none	none	none	none	none	none
Креветка Veraz аргентинская целая свежемороженая 21/30 L2, 2кг	2 699,00 ₽/шт	2000 гр	https://www.perekrestok.ru/cat/179/p/krevetka-veraz-argentinskaa-celaa-svezemorozenaa-21-30-l2-2kg-4277440	Wed Jul  3 15:04:32 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки королевские Fish & More очищенные с хвостом, 860г	1 978,00 ₽/шт	860 гр	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-fish-more-ocisennye-s-hvostom-860g-4012971	Wed Jul  3 15:04:32 2024	none	none	none	none	none	none	none	none	none	none	none
Креветка ваннамей Балтийский Берег Creme Le Mare в сливочно-чесночном соусе, 150г	142,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/179/p/krevetka-vannamej-baltijskij-bereg-creme-le-mare-v-slivocno-cesnocnom-souse-150g-4048576	Wed Jul  3 15:04:32 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки королевские варёно-мороженые очищенные с хвостиками, 850г	2 299,00 ₽/шт	850 гр	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-vareno-morozenye-ocisennye-s-hvostikami-850g-3331822	Wed Jul  3 15:04:32 2024	none	none	none	none	none	none	none	none	none	none	none
Раковые шейки Меридиан отварные в рассоле, 180г	389,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/179/p/rakovye-sejki-meridian-otvarnye-v-rassole-180g-3303478	Wed Jul  3 15:04:32 2024	none	none	none	none	none	none	none	none	none	none	none
