name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Гречка ядрица пропаренная Маркет Перекрёсток, 900г	109,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/107/p/grecka-adrica-proparennaa-market-perekrestok-900g-3477255	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Рис длиннозёрный Маркет Перекрёсток, 900г	154,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/107/p/ris-dlinnozernyj-market-perekrestok-900g-3469126	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Кускус Зелёная Линия, 350г	109,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/107/p/kuskus-zelenaa-linia-350g-4151856	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Киноа белая Зелёная Линия, 350г	189,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/107/p/kinoa-belaa-zelenaa-linia-350g-4151854	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Булгур из пшеницы Зелёная Линия, 400г	119,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/107/p/bulgur-iz-psenicy-zelenaa-linia-400g-4151852	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Гречка зелёная ядрица 1 сорт Зелёная Линия, 400г	154,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/107/p/grecka-zelenaa-adrica-1-sort-zelenaa-linia-400g-4151853	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Рис Мистраль Кубань белый круглозёрный, 900г	184,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/107/p/ris-mistral-kuban-belyj-kruglozernyj-900g-3766	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Рис Мистраль Янтарь длиннозёрный пропаренный, 900г	229,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/107/p/ris-mistral-antar-dlinnozernyj-proparennyj-900g-57930	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Рис Националь для плова шлифованный, 900г	159,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/107/p/ris-nacional-dla-plova-slifovannyj-900g-3413111	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Рис Увелка круглозёрный шлифованный, 5х80г	97,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/107/p/ris-uvelka-kruglozernyj-slifovannyj-5h80g-3603169	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Рис Увелка длиннозёрный пропаренный, 5х80г	124,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/107/p/ris-uvelka-dlinnozernyj-proparennyj-5h80g-3603168	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Рис круглозернистый шлифованный, 900г	66,90 ₽/шт	900 гр	https://www.perekrestok.ru/cat/107/p/ris-kruglozernistyj-slifovannyj-900g-3231277	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Рис длиннозёрный Маркет Перекрёсток, 900г	154,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/107/p/ris-dlinnozernyj-market-perekrestok-900g-3469126	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Рис Мистраль Кубань белый круглозёрный, 5х80г	124,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/107/p/ris-mistral-kuban-belyj-kruglozernyj-5h80g-3674360	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Смесь Увелка Дружба рис круглозёрного и пшено, 5х80г	115,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/107/p/smes-uvelka-druzba-ris-kruglozernogo-i-pseno-5h80g-3424356	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Рис круглозёрный Маркет Перекрёсток, 900г	154,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/107/p/ris-kruglozernyj-market-perekrestok-900g-3469127	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Рис Жасмин Маркет Collection, 500г	134,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/107/p/ris-zasmin-market-collection-500g-4290674	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Рис Мистраль Басмати белый ароматный, 500г	259,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/107/p/ris-mistral-basmati-belyj-aromatnyj-500g-5722	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Рис Увелка Жасмин, 5x80г	154,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/107/p/ris-uvelka-zasmin-5x80g-3634156	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Рис Мистраль Янтарь длиннозёрный пропаренный, 5х80г	109,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/107/p/ris-mistral-antar-dlinnozernyj-proparennyj-5h80g-3674166	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
Рис пропаренный шлифованный, 900г	79,10 ₽/шт	900 гр	https://www.perekrestok.ru/cat/107/p/ris-proparennyj-slifovannyj-900g-3608320	Wed Jul  3 15:02:56 2024	none	none	none	none	none	none	none	none	none	none	none
