name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Лапша Доширак быстрого приготовления со вкусом говядины, 90г	49,99 ₽/шт	90 гр	https://www.perekrestok.ru/cat/170/p/lapsa-dosirak-bystrogo-prigotovlenia-so-vkusom-govadiny-90g-53019	Wed Jul  3 15:05:00 2024	none	none	none	none	none	none	none	none	none	none	none
Лапша Доширак Квисти со вкусом говядины, 70г	33,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/170/p/lapsa-dosirak-kvisti-so-vkusom-govadiny-70g-96983	Wed Jul  3 15:05:00 2024	none	none	none	none	none	none	none	none	none	none	none
Лапша Чан Рамен Корейская быстрого приготовления с приправами, 120г	87,99 ₽/шт	110 гр	https://www.perekrestok.ru/cat/170/p/lapsa-can-ramen-korejskaa-bystrogo-prigotovlenia-s-pripravami-120g-3402845	Wed Jul  3 15:05:00 2024	none	none	none	none	none	none	none	none	none	none	none
Вермишель Роллтон По-домашнему с говядиной, 85г	37,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/170/p/vermisel-rollton-po-domasnemu-s-govadinoj-85g-3947754	Wed Jul  3 15:05:00 2024	none	none	none	none	none	none	none	none	none	none	none
Лапша Доширак Чан рамен быстрого приготовления с острой говядиной, 120г	77,99 ₽/шт	120 гр	https://www.perekrestok.ru/cat/170/p/lapsa-dosirak-can-ramen-bystrogo-prigotovlenia-s-ostroj-govadinoj-120g-3664094	Wed Jul  3 15:05:00 2024	none	none	none	none	none	none	none	none	none	none	none
Лапша рисовая Мама Чанд Фо Бо быстрого приготовления тайская со вкусом говядины, 55г	79,99 ₽/шт	55 гр	https://www.perekrestok.ru/cat/170/p/lapsa-risovaa-mama-cand-fo-bo-bystrogo-prigotovlenia-tajskaa-so-vkusom-govadiny-55g-4151201	Wed Jul  3 15:05:00 2024	none	none	none	none	none	none	none	none	none	none	none
Вермишель быстрого приготовления с говяжьим бульоном Пр!ст, 60г	9,40 ₽/шт	60 гр	https://www.perekrestok.ru/cat/170/p/vermisel-bystrogo-prigotovlenia-s-govazim-bulonom-pr-st-60g-3479736	Wed Jul  3 15:05:00 2024	none	none	none	none	none	none	none	none	none	none	none
Лапша Big Bon Wok Острая говядина в соусе по-китайски, 85г	75,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/170/p/lapsa-big-bon-wok-ostraa-govadina-v-souse-po-kitajski-85g-4192760	Wed Jul  3 15:05:00 2024	none	none	none	none	none	none	none	none	none	none	none
Лапша Роллтон с говядиной по-домашнему, 90г	69,99 ₽/шт	90 гр	https://www.perekrestok.ru/cat/170/p/lapsa-rollton-s-govadinoj-po-domasnemu-90g-3453968	Wed Jul  3 15:05:00 2024	none	none	none	none	none	none	none	none	none	none	none
Лапша Биг Ланч быстрого приготовления с говядиной в остром соусе, 90г	77,99 ₽/шт	90 гр	https://www.perekrestok.ru/cat/170/p/lapsa-big-lanc-bystrogo-prigotovlenia-s-govadinoj-v-ostrom-souse-90g-4126235	Wed Jul  3 15:05:00 2024	none	none	none	none	none	none	none	none	none	none	none
