name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Спагетти группа А высший сорт Маркет Перекрёсток, 400г	59,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/105/p/spagetti-gruppa-a-vyssij-sort-market-perekrestok-400g-3501223	Wed Jul  3 15:02:54 2024	none	none	none	none	none	none	none	none	none	none	none
Спагетти из твёрдых сортов пшеницы Market Collection, 450г	159,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/spagetti-iz-tverdyh-sortov-psenicy-market-collection-450g-4117174	Wed Jul  3 15:02:54 2024	none	none	none	none	none	none	none	none	none	none	none
Фузилли из твёрдых сортов пшеницы Market Collection, 450г	169,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/fuzilli-iz-tverdyh-sortov-psenicy-market-collection-450g-4117157	Wed Jul  3 15:02:54 2024	none	none	none	none	none	none	none	none	none	none	none
Макароны Makfa паутинка, 450г	79,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/makarony-makfa-pautinka-450g-2110596	Wed Jul  3 15:02:54 2024	none	none	none	none	none	none	none	none	none	none	none
Лапша Продукты от Масловой по-домашнему яичная, 150г	59,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/105/p/lapsa-produkty-ot-maslovoj-po-domasnemu-aicnaa-150g-3368235	Wed Jul  3 15:02:54 2024	none	none	none	none	none	none	none	none	none	none	none
Лапша Роллтон яичная классическая, 400г	87,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/105/p/lapsa-rollton-aicnaa-klassiceskaa-400g-45105	Wed Jul  3 15:02:54 2024	none	none	none	none	none	none	none	none	none	none	none
Макароны Шебекинские гнёзда №500, 450г	79,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/105/p/makarony-sebekinskie-gnezda-no500-450g-62764	Wed Jul  3 15:02:54 2024	none	none	none	none	none	none	none	none	none	none	none
Макароны Rummo Tagliatelle Alluovo №132, 250г	199,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/105/p/makarony-rummo-tagliatelle-alluovo-no132-250g-4145063	Wed Jul  3 15:02:54 2024	none	none	none	none	none	none	none	none	none	none	none
Вермишель Sen Soy Premium фунчоза, 200г	169,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/105/p/vermisel-sen-soy-premium-funcoza-200g-3227619	Wed Jul  3 15:02:54 2024	none	none	none	none	none	none	none	none	none	none	none
Лапша Sen Soy Fo-Kho рисовая, 200г	169,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/105/p/lapsa-sen-soy-fo-kho-risovaa-200g-3469828	Wed Jul  3 15:02:54 2024	none	none	none	none	none	none	none	none	none	none	none
Макароны Barilla Fettuccine из твёрдых сортов пшеницы, 500г	369,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/105/p/makarony-barilla-fettuccine-iz-tverdyh-sortov-psenicy-500g-3474261	Wed Jul  3 15:02:54 2024	none	none	none	none	none	none	none	none	none	none	none
