name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Масло сливочное безлактозное 72.5% Зелёная Линия, 200г	199,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/121/p/maslo-slivocnoe-bezlaktoznoe-72-5-zelenaa-linia-200g-4068626	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сладкосливочное Традиционное несолёное 82.5% Зелёная Линия, 180г	219,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/121/p/maslo-sladkoslivocnoe-tradicionnoe-nesolenoe-82-5-zelenaa-linia-180g-4260609	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло Гхи топлёное 99% Зелёная Линия, 140г	259,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/121/p/maslo-ghi-toplenoe-99-zelenaa-linia-140g-4202027?video=true	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сливочное 82% Молочный знак, 380г	359,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/121/p/maslo-slivocnoe-82-molocnyj-znak-380g-4188102	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сладкосливочное Крестьянское несолёное 72.5% Зелёная Линия, 180г	169,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/121/p/maslo-sladkoslivocnoe-krestanskoe-nesolenoe-72-5-zelenaa-linia-180g-4260610	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сливочное President несолёное 82%, 180г	219,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/121/p/maslo-slivocnoe-president-nesolenoe-82-180g-3963777	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сливочное Вкуснотеево Традиционное 82.5%, 200г	259,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/121/p/maslo-slivocnoe-vkusnoteevo-tradicionnoe-82-5-200g-3612778	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сладкосливочное Экомилк Традиционное несолёное высшего сорта 82.5%, 180г	179,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/121/p/maslo-sladkoslivocnoe-ekomilk-tradicionnoe-nesolenoe-vyssego-sorta-82-5-180g-4113532	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сливочное Эконива Традиционное 82.5%, 180г	199,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/121/p/maslo-slivocnoe-ekoniva-tradicionnoe-82-5-180g-4135603	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сладкосливочное Экомилк Традиционное несолёное 82.5%, 380г	399,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/121/p/maslo-sladkoslivocnoe-ekomilk-tradicionnoe-nesolenoe-82-5-380g-4063188	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сладкосливочное Брест-Литовск несолёное высшего сорта 82.5%, 180г	229,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/121/p/maslo-sladkoslivocnoe-brest-litovsk-nesolenoe-vyssego-sorta-82-5-180g-3413519	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сладкосливочное Традиционное несолёное 82.5% Зелёная Линия, 180г	219,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/121/p/maslo-sladkoslivocnoe-tradicionnoe-nesolenoe-82-5-zelenaa-linia-180g-4260609	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сладко-сливочное Брест-Литовск несолёное 82.5, 400г	399,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/121/p/maslo-sladko-slivocnoe-brest-litovsk-nesolenoe-82-5-400g-4175276	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сливочное Экомилк Традиционное 82.5%, 180г	209,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/121/p/maslo-slivocnoe-ekomilk-tradicionnoe-82-5-180g-3368350	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сливочное Из Вологды Традиционное 82.5%, 180г	249,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/121/p/maslo-slivocnoe-iz-vologdy-tradicionnoe-82-5-180g-3369241	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сладкосливочное Село Зелёное Традиционное несолёное 82.5%, 175г	179,99 ₽/шт	175 гр	https://www.perekrestok.ru/cat/121/p/maslo-sladkoslivocnoe-selo-zelenoe-tradicionnoe-nesolenoe-82-5-175g-3628337	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сливочное 82% Молочный знак, 380г	359,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/121/p/maslo-slivocnoe-82-molocnyj-znak-380g-4188102	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сладкосливочное Тысяча Озер 82.5%, 180г	249,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/121/p/maslo-sladkoslivocnoe-tysaca-ozer-82-5-180g-3026226	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сливочное Заботливая Хозяйка Традиционное 82.5%, 150г	123,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/121/p/maslo-slivocnoe-zabotlivaa-hozajka-tradicionnoe-82-5-150g-4055506	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло Вкуснотеево Традиционное сливочное 82.5%, 340г	469,99 ₽/шт	340 гр	https://www.perekrestok.ru/cat/121/p/maslo-vkusnoteevo-tradicionnoe-slivocnoe-82-5-340g-4310021	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло Тысяча Озёр сливочное безлактозное 82.5%, 150г	199,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/121/p/maslo-tysaca-ozer-slivocnoe-bezlaktoznoe-82-5-150g-4196090	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сливочное Простоквашино 82%, 180г	209,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/121/p/maslo-slivocnoe-prostokvasino-82-180g-2146704	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
Масло сладкосливочное Burenka Club Традиционное несолёное 82.5%, 180г	199,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/121/p/maslo-sladkoslivocnoe-burenka-club-tradicionnoe-nesolenoe-82-5-180g-3999749	Wed Jul  3 15:02:41 2024	none	none	none	none	none	none	none	none	none	none	none
