name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Говядина Барс Экстра тушёная высший сорт ГОСТ, 325г	269,99 ₽/шт	325 гр	https://www.perekrestok.ru/cat/78/p/govadina-bars-ekstra-tusenaa-vyssij-sort-gost-325g-2143227	Wed Jul  3 15:05:07 2024	none	none	none	none	none	none	none	none	none	none	none
Говядина Главпродукт тушёная высший сорт, 338г	279,99 ₽/шт	338 гр	https://www.perekrestok.ru/cat/78/p/govadina-glavprodukt-tusenaa-vyssij-sort-338g-24661	Wed Jul  3 15:05:07 2024	none	none	none	none	none	none	none	none	none	none	none
Говядина Скопинский МК тушёная высший сорт ГОСТ, 500г	219,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/78/p/govadina-skopinskij-mk-tusenaa-vyssij-sort-gost-500g-2157147	Wed Jul  3 15:05:07 2024	none	none	none	none	none	none	none	none	none	none	none
Говядина кусковая Гродфуд тушёная в собственном соку, 338г	369,99 ₽/шт	338 гр	https://www.perekrestok.ru/cat/78/p/govadina-kuskovaa-grodfud-tusenaa-v-sobstvennom-soku-338g-3408258	Wed Jul  3 15:05:07 2024	none	none	none	none	none	none	none	none	none	none	none
Говядина Классическая тушеная Пр!ст, 325г	191,30 ₽/шт	325 гр	https://www.perekrestok.ru/cat/78/p/govadina-klassiceskaa-tusenaa-pr-st-325g-4189729	Wed Jul  3 15:05:07 2024	none	none	none	none	none	none	none	none	none	none	none
Говядина Главпродукт Экстра тушёная высший сорт, 338г	329,99 ₽/шт	338 гр	https://www.perekrestok.ru/cat/78/p/govadina-glavprodukt-ekstra-tusenaa-vyssij-sort-338g-36602	Wed Jul  3 15:05:07 2024	none	none	none	none	none	none	none	none	none	none	none
Готовое блюдо Кронидов в фольге Греча с говядиной, 250г	199,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/78/p/gotovoe-bludo-kronidov-v-folge-greca-s-govadinoj-250g-4144262	Wed Jul  3 15:05:07 2024	none	none	none	none	none	none	none	none	none	none	none
Говядина ОМКК тушеная в собственном соку первый сорт, 325г	304,99 ₽/шт	325 гр	https://www.perekrestok.ru/cat/78/p/govadina-omkk-tusenaa-v-sobstvennom-soku-pervyj-sort-325g-4276892	Wed Jul  3 15:05:07 2024	none	none	none	none	none	none	none	none	none	none	none
Готовое блюдо Кронидов в фольге Говядина с макаронами, 250г	199,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/78/p/gotovoe-bludo-kronidov-v-folge-govadina-s-makaronami-250g-4144263	Wed Jul  3 15:05:07 2024	none	none	none	none	none	none	none	none	none	none	none
Говядина Главпродукт тушёная высшего сорта, 338г	309,99 ₽/шт	338 гр	https://www.perekrestok.ru/cat/78/p/govadina-glavprodukt-tusenaa-vyssego-sorta-338g-4112332	Wed Jul  3 15:05:07 2024	none	none	none	none	none	none	none	none	none	none	none
Говядина Скопинский МК банка №8 тушёная высший сорт ГОСТ, 325г	209,99 ₽/шт	325 гр	https://www.perekrestok.ru/cat/78/p/govadina-skopinskij-mk-banka-no8-tusenaa-vyssij-sort-gost-325g-2162914	Wed Jul  3 15:05:07 2024	none	none	none	none	none	none	none	none	none	none	none
Плов FoodMaxx Узбекский, 325г	299,99 ₽/шт	325 гр	https://www.perekrestok.ru/cat/78/p/plov-foodmaxx-uzbekskij-325g-4297945	Wed Jul  3 15:05:07 2024	none	none	none	none	none	none	none	none	none	none	none
