name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Котлета Ес Агро Чикенбургер для бургера, 300г	169,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/60/p/kotleta-es-agro-cikenburger-dla-burgera-300g-4333123	Wed Jul  3 15:04:29 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш ЕС Агро Премиум замороженный, 500г	249,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/63/p/fars-es-agro-premium-zamorozennyj-500g-4342023	Wed Jul  3 15:04:29 2024	none	none	none	none	none	none	none	none	none	none	none
Печень цыплят-бройлеров Птицефабрика Псковская замороженная	219,99 ₽/кг	none	https://www.perekrestok.ru/cat/63/p/pecen-cyplat-brojlerov-pticefabrika-pskovskaa-zamorozennaa-4060557	Wed Jul  3 15:04:29 2024	none	none	none	none	none	none	none	none	none	none	none
Котлеты Мираторг  Бургер Классический замороженные, 360г	289,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/60/p/kotlety-miratorg-burger-klassiceskij-zamorozennye-360g-4141124	Wed Jul  3 15:04:29 2024	none	none	none	none	none	none	none	none	none	none	none
Стейк Мясо Есть! Рибай из говядины категории А замороженный, 250г	499,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/63/p/stejk-maso-est-ribaj-iz-govadiny-kategorii-a-zamorozennyj-250g-4338615	Wed Jul  3 15:04:29 2024	none	none	none	none	none	none	none	none	none	none	none
Фрикадельки Веско из говядины и курицы категории Б замороженные, 450г	299,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/60/p/frikadelki-vesko-iz-govadiny-i-kuricy-kategorii-b-zamorozennye-450g-4336016	Wed Jul  3 15:04:29 2024	none	none	none	none	none	none	none	none	none	none	none
Головы цыплят-бройлеров замороженные	67,99 ₽/кг	none	https://www.perekrestok.ru/cat/63/p/golovy-cyplat-brojlerov-zamorozennye-4229139	Thu Jul  4 08:49:00 2024	none	none	none	none	none	none	none	none	none	none	none
Тушка цыплёнка-бройлера 1 сорт потрошёная замороженная зерновой откорм	319,99 ₽/кг	none	https://www.perekrestok.ru/cat/63/p/tuska-cyplenka-brojlera-1-sort-potrosenaa-zamorozennaa-zernovoj-otkorm-4341461	Thu Jul  4 08:49:00 2024	none	none	none	none	none	none	none	none	none	none	none
Язык говяжий замороженный	999,99 ₽/кг	none	https://www.perekrestok.ru/cat/63/p/azyk-govazij-zamorozennyj-4088926	Thu Jul  4 08:49:00 2024	none	none	none	none	none	none	none	none	none	none	none
Мякоть Мясо Есть! тазобедренной части говяжьей категории А замороженная, 600г	699,99 ₽/шт	600 гр	https://www.perekrestok.ru/cat/63/p/makot-maso-est-tazobedrennoj-casti-govazej-kategorii-a-zamorozennaa-600g-4338612	Thu Jul  4 08:49:00 2024	none	none	none	none	none	none	none	none	none	none	none
Печень Веско говяжья замороженная	449,99 ₽/кг	none	https://www.perekrestok.ru/cat/63/p/pecen-vesko-govaza-zamorozennaa-4335801	Thu Jul  4 08:49:00 2024	none	none	none	none	none	none	none	none	none	none	none
Печень Наш Кролик кролика замороженная, 500г	339,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/63/p/pecen-nas-krolik-krolika-zamorozennaa-500g-4299241	Thu Jul  4 08:49:00 2024	none	none	none	none	none	none	none	none	none	none	none
