name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Медовуха Пряная Тёмная непастеризованная фильтрованная 5,8%, 1л	199,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/762/p/medovuha-pranaa-temnaa-nepasterizovannaa-filtrovannaa-5-8-1l-4323342	Wed Jul  3 15:05:32 2024	none	none	none	none	none	none	none	none	none	none	none
Медовуха с чёрной смородиной слабоалкогольная 5%, 330мл	99,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/762/p/medovuha-s-cernoj-smorodinoj-slaboalkogolnaa-5-330ml-4096590	Wed Jul  3 15:05:32 2024	none	none	none	none	none	none	none	none	none	none	none
Медовуха Черносмородиновый Ламбик непастеризованная фильтрованная 4,8%, 1л	199,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/762/p/medovuha-cernosmorodinovyj-lambik-nepasterizovannaa-filtrovannaa-4-8-1l-4323338	Wed Jul  3 15:05:32 2024	none	none	none	none	none	none	none	none	none	none	none
Медовуха Medovarus Хмельной мёд Традиционный непастеризованная фильтрованная 5.7%, 330мл	99,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/762/p/medovuha-medovarus-hmelnoj-med-tradicionnyj-nepasterizovannaa-filtrovannaa-5-7-330ml-4323340	Wed Jul  3 15:05:32 2024	none	none	none	none	none	none	none	none	none	none	none
Медовуха Medovarus Хмельной мёд Вишнёвый крик непастеризованная фильтрованная 5.5%, 330мл	99,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/762/p/medovuha-medovarus-hmelnoj-med-visnevyj-krik-nepasterizovannaa-filtrovannaa-5-5-330ml-4323343	Wed Jul  3 15:05:32 2024	none	none	none	none	none	none	none	none	none	none	none
Медовуха брожения Cidre Royal Black Currant с чёрной смородиной фильтрованный слабоалкогольный 5%, 750мл	309,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/762/p/medovuha-brozenia-cidre-royal-black-currant-s-cernoj-smorodinoj-filtrovannyj-slaboalkogolnyj-5-750ml-4065820	Wed Jul  3 15:05:32 2024	none	none	none	none	none	none	none	none	none	none	none
Медовуха Medovarus Черносмородиновый Ламбик непастеризованная фильтрованная 4.8%, 330мл	99,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/762/p/medovuha-medovarus-cernosmorodinovyj-lambik-nepasterizovannaa-filtrovannaa-4-8-330ml-4323337	Wed Jul  3 15:05:32 2024	none	none	none	none	none	none	none	none	none	none	none
"Медовуха Blur Meadery 34° 59' 20""N непастеризованная нефильтрованная неосветленная, 500мл"	219,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/762/p/medovuha-blur-meadery-34-59-20n-nepasterizovannaa-nefiltrovannaa-neosvetlennaa-500ml-4299301	Wed Jul  3 15:05:32 2024	none	none	none	none	none	none	none	none	none	none	none
Медовуха Blur Meadery Flight 815 непастеризованная нефильтрованная неосветленная 5.2%, 500мл	219,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/762/p/medovuha-blur-meadery-flight-815-nepasterizovannaa-nefiltrovannaa-neosvetlennaa-5-2-500ml-4299298	Wed Jul  3 15:05:32 2024	none	none	none	none	none	none	none	none	none	none	none
Медовуха Cidre Royal Cherry фильтрованная пастеризованная, 330мл	144,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/762/p/medovuha-cidre-royal-cherry-filtrovannaa-pasterizovannaa-330ml-4096586	Wed Jul  3 15:05:32 2024	none	none	none	none	none	none	none	none	none	none	none
Медовуха Cidre Royal With Plum фильтрованная пастеризованная, 330мл	139,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/762/p/medovuha-cidre-royal-with-plum-filtrovannaa-pasterizovannaa-330ml-4096587	Wed Jul  3 15:05:32 2024	none	none	none	none	none	none	none	none	none	none	none
