name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Коктейль молочный Растишка для детей ванильное мороженое 2%, 210г	55,99 ₽/шт	210 гр	https://www.perekrestok.ru/cat/230/p/koktejl-molocnyj-rastiska-dla-detej-vanilnoe-morozenoe-2-210g-4045396	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Растишка для детей клубника 2%, 210г	53,99 ₽/шт	210 гр	https://www.perekrestok.ru/cat/230/p/koktejl-molocnyj-rastiska-dla-detej-klubnika-2-210g-4045398	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток сывороточный Актуаль с соками апельсина и манго 0.1%, 310мл	34,99 ₽/шт	310 мл	https://www.perekrestok.ru/cat/120/p/napitok-syvorotocnyj-aktual-s-sokami-apelsina-i-mango-0-1-310ml-3629004	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Чудо Шоколад 3%, 200мл	61,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-cudo-sokolad-3-200ml-42876	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Авишка шоколадный 2.5%, 200мл	31,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-aviska-sokoladnyj-2-5-200ml-3636023	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Чудо Шоколад 2%, 950мл	169,99 ₽/шт	950 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-cudo-sokolad-2-950ml-3339133	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Grand Cocktail солёная карамель 4%, 260мл	104,99 ₽/шт	260 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-grand-cocktail-solenaa-karamel-4-260ml-3676678	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Чудо Шоколад 2%, 960мл	179,99 ₽/шт	960 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-cudo-sokolad-2-960ml-3339126	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль Ecomilk молочный Соло шоколадный пастеризованный 2%, 930мл	124,99 ₽/шт	930 мл	https://www.perekrestok.ru/cat/116/p/koktejl-ecomilk-molocnyj-solo-sokoladnyj-pasterizovannyj-2-930ml-4223899	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Топтыжка Edge шоколад ультрапастеризованный 3.2%, 200мл	43,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-toptyzka-edge-sokolad-ultrapasterizovannyj-3-2-200ml-3604845	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Parmalat Чоколатта итальяна 1.9%, 1л	169,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-parmalat-cokolatta-italana-1-9-1l-3650516	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль Топтыжка молочный со вкусом шоколадного мороженого 2%, 950мл	144,99 ₽/шт	950 мл	https://www.perekrestok.ru/cat/116/p/koktejl-toptyzka-molocnyj-so-vkusom-sokoladnogo-morozenogo-2-950ml-4302952	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочно-шоколадный Большая Кружка с мороженым ультрапастеризованный 3%, 980мл	159,99 ₽/шт	980 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocno-sokoladnyj-bolsaa-kruzka-s-morozenym-ultrapasterizovannyj-3-980ml-3617891	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Авишка клубника 2.5%, 200мл	35,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-aviska-klubnika-2-5-200ml-3129012	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Чудо Клубника 2%, 950мл	194,99 ₽/шт	950 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-cudo-klubnika-2-950ml-3378996	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Чудо Клубника 2%, 200мл	57,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-cudo-klubnika-2-200ml-45254	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Растишка для детей клубника 2%, 210г	53,99 ₽/шт	210 гр	https://www.perekrestok.ru/cat/230/p/koktejl-molocnyj-rastiska-dla-detej-klubnika-2-210g-4045398	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Чудо Клубника 2%, 960мл	174,99 ₽/шт	960 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-cudo-klubnika-2-960ml-3199735	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль кисломолочный Даниссимо йогуртный со вкусом сорбета из черной смородины 2.7%, 190мл	69,99 ₽/шт	190 мл	https://www.perekrestok.ru/cat/116/p/koktejl-kislomolocnyj-danissimo-jogurtnyj-so-vkusom-sorbeta-iz-cernoj-smorodiny-2-7-190ml-4045554	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Чудо Клубничный пломбир с бананом 2%, 200мл	47,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-cudo-klubnicnyj-plombir-s-bananom-2-200ml-4200698	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Большая Кружка с клубникой и мороженым ультрапастеризованный 3%, 200мл	34,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-bolsaa-kruzka-s-klubnikoj-i-morozenym-ultrapasterizovannyj-3-200ml-4287521	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Большая Кружка с клубникой и мороженым ультрапастеризованный 3%, 980мл	159,99 ₽/шт	980 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-bolsaa-kruzka-s-klubnikoj-i-morozenym-ultrapasterizovannyj-3-980ml-3503576	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Топтыжка Edge черника ультрапастеризованный 3.2%, 200мл	47,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-toptyzka-edge-cernika-ultrapasterizovannyj-3-2-200ml-3640759	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Село Зелёное капучино ультрапастеризованный 2%, 200мл	57,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-selo-zelenoe-kapucino-ultrapasterizovannyj-2-200ml-4006743	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Parmalat капучино 1.5%, 500мл	91,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-parmalat-kapucino-1-5-500ml-25371	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Parmalat Caffe Latte с кофе 2.3%, 500мл	91,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-parmalat-caffe-latte-s-kofe-2-3-500ml-25369	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Parmalat капучино 1.9%, 1л	169,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-parmalat-kapucino-1-9-1l-3650513	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Кофе Раф Лемонграсс молочно-кофейный 5.2% Зелёная Линия, 250мл	139,99 ₽/шт	258 мл	https://www.perekrestok.ru/cat/257/p/napitok-kofe-raf-lemongrass-molocno-kofejnyj-5-2-zelenaa-linia-250ml-4298342	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль Ecomilk молочный Соло банановый пастеризованный 2%, 930мл	124,99 ₽/шт	930 мл	https://www.perekrestok.ru/cat/116/p/koktejl-ecomilk-molocnyj-solo-bananovyj-pasterizovannyj-2-930ml-4223901	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Село Зелёное груша ультрапастеризованный 3.2%, 200мл	45,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-selo-zelenoe-grusa-ultrapasterizovannyj-3-2-200ml-4006741	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Большая Кружка с бананом и мороженым ультрапастеризованный 3%, 980мл	159,99 ₽/шт	980 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-bolsaa-kruzka-s-bananom-i-morozenym-ultrapasterizovannyj-3-980ml-3503574	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Большая Кружка с мороженым ультрапастеризованный 3%, 980мл	154,99 ₽/шт	980 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-bolsaa-kruzka-s-morozenym-ultrapasterizovannyj-3-980ml-3503575	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Grand Cocktail ванильный пломбир 4%, 260мл	104,99 ₽/шт	260 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-grand-cocktail-vanilnyj-plombir-4-260ml-3676677	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Растишка для детей ванильное мороженое 2%, 210г	55,99 ₽/шт	210 гр	https://www.perekrestok.ru/cat/230/p/koktejl-molocnyj-rastiska-dla-detej-vanilnoe-morozenoe-2-210g-4045396	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Чудо Ванильный пломбир 2%, 200мл	55,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-cudo-vanilnyj-plombir-2-200ml-4289320	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль Ecomilk молочный Соло с Пломбиром пастеризованный 2%, 930мл	124,99 ₽/шт	930 мл	https://www.perekrestok.ru/cat/116/p/koktejl-ecomilk-molocnyj-solo-s-plombirom-pasterizovannyj-2-930ml-4223903	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль молочный Чудо Ванильный пломбир 2% 960мл	174,99 ₽/шт	960 мл	https://www.perekrestok.ru/cat/116/p/koktejl-molocnyj-cudo-vanilnyj-plombir-2-960ml-4289311	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль Большая Кружка молочный с мороженым 3%, 200мл	34,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-bolsaa-kruzka-molocnyj-s-morozenym-3-200ml-4296608	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль Топтыжка молочный клубничное мороженого 2%, 950мл	144,99 ₽/шт	950 мл	https://www.perekrestok.ru/cat/116/p/koktejl-toptyzka-molocnyj-klubnicnoe-morozenogo-2-950ml-4302950	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль Большая Кружка молочный с бананом и мороженым 3%, 200мл	34,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/116/p/koktejl-bolsaa-kruzka-molocnyj-s-bananom-i-morozenym-3-200ml-4296606	Wed Jul  3 15:02:48 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Молочный Мир Coffee Break Капучино молочный с наполнителем 1.3%, 280мл	79,99 ₽/шт	280 мл	https://www.perekrestok.ru/cat/116/p/napitok-molocnyj-mir-coffee-break-kapucino-molocnyj-s-napolnitelem-1-3-280ml-4290820	Thu Jul  4 10:20:46 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Молочный Мир Coffee Break Гляссе молочный с наполнителем 1.3%, 280мл	85,99 ₽/шт	280 мл	https://www.perekrestok.ru/cat/116/p/napitok-molocnyj-mir-coffee-break-glasse-molocnyj-s-napolnitelem-1-3-280ml-4289929	Thu Jul  4 10:20:46 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Молочный Мир Coffee Break Латте молочный с наполнителем 1.3%, 280мл	79,99 ₽/шт	280 мл	https://www.perekrestok.ru/cat/116/p/napitok-molocnyj-mir-coffee-break-latte-molocnyj-s-napolnitelem-1-3-280ml-4290482	Thu Jul  4 10:20:46 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток ореховый Borges на основе грецкого ореха и риса, 1л	519,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/116/p/napitok-orehovyj-borges-na-osnove-greckogo-oreha-i-risa-1l-3669532	Thu Jul  4 10:20:46 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль йогуртовый Даниссимо со вкусом клубничного мороженого 2.6%, 190мл	83,99 ₽/шт	190 мл	https://www.perekrestok.ru/cat/119/p/koktejl-jogurtovyj-danissimo-so-vkusom-klubnicnogo-morozenogo-2-6-190ml-4108293	Thu Jul  4 10:20:46 2024	none	none	none	none	none	none	none	none	none	none	none
