name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Молоко сгущённое Алексеевское цельное с сахаром 8.5%, 270г	129,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-alekseevskoe-celnoe-s-saharom-8-5-270g-3332809	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко сгущённое Алексеевское цельное с сахаром 8.5%, 360г	154,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-alekseevskoe-celnoe-s-saharom-8-5-360g-3484257	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко сгущённое Алексеевское цельное с сахаром 8.5%, 650г	209,99 ₽/шт	600 мл	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-alekseevskoe-celnoe-s-saharom-8-5-650g-2123014	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко сгущённое с сахаром 1% Пр!ст, 270г	42,90 ₽/шт	270 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-s-saharom-1-pr-st-270g-3913111	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко сгущённое Рогачевъ с сахаром 8.5%, 380г	164,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-rogacev-s-saharom-8-5-380g-3376242	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Сгущённое молоко цельное с сахаром 8.5% Молочный знак, 270г	109,99 ₽/шт	270 мл	https://www.perekrestok.ru/cat/124/p/sgusennoe-moloko-celnoe-s-saharom-8-5-molocnyj-znak-270g-4211054	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко сгущённое Рогачевъ цельное с сахаром 8.5%, 270г	159,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-rogacev-celnoe-s-saharom-8-5-270g-4147345	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко сгущённое Молочный Знак с сахаром варёное 8.5%, 360г	149,99 ₽/шт	360 мл	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-molocnyj-znak-s-saharom-varenoe-8-5-360g-4250610	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко сгущённое Главпродукт цельное с сахаром ГОСТ 8.5%, 600г	239,99 ₽/шт	600 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-glavprodukt-celnoe-s-saharom-gost-8-5-600g-3490712	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко сгущенное цельное с сахаром 8.5% Молочный знак, 360г	129,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-celnoe-s-saharom-8-5-molocnyj-znak-360g-4218934	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко сгущённое Вологодские Молочные Продукты 8.5%, 370г	114,99 ₽/шт	370 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-vologodskie-molocnye-produkty-8-5-370g-3022222	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко сгущённое Густияр с сахаром 0.2%, 270г	91,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-gustiar-s-saharom-0-2-270g-3696844	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко сгущённое Алексеевское варёное с сахаром 8.5%, 360г	174,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-alekseevskoe-varenoe-s-saharom-8-5-360g-3684740	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко сгущённое Рогачевъ Егорка варёное с сахаром 8.5%, 360г	189,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-rogacev-egorka-varenoe-s-saharom-8-5-360g-3907533	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко сгущённое варёное с сахаром 8.5% Молочный Знак, 360г	129,99 ₽/шт	360 мл	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-varenoe-s-saharom-8-5-molocnyj-znak-360g-4245765	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко сгущённое Главпродукт варёное с сахаром 8.5%, 380г	199,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/124/p/moloko-sgusennoe-glavprodukt-varenoe-s-saharom-8-5-380g-3678789	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
Сливки сгущённые Алексеевское с сахаром 19%, 270мл	169,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/115/p/slivki-sgusennye-alekseevskoe-s-saharom-19-270ml-3643006	Wed Jul  3 15:02:46 2024	none	none	none	none	none	none	none	none	none	none	none
