name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Кальмар командорский тушка очищенный замороженный Маркет Перекрёсток, 500г	329,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/55/p/kalmar-komandorskij-tuska-ocisennyj-zamorozennyj-market-perekrestok-500g-4259999	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Мясо мидий варено-мороженое Маркет, 500г	359,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/55/p/maso-midij-vareno-morozenoe-market-500g-4284218	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки северные неразделанные варено-мороженные Пр!ст, 750г	599,99 ₽/шт	750 гр	https://www.perekrestok.ru/cat/55/p/krevetki-severnye-nerazdelannye-vareno-morozennye-pr-st-750g-4269760	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки Fish & More 31/40 в чесночном маринаде на шпажках мороженые, 500г	999,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/55/p/krevetki-fish-more-31-40-v-cesnocnom-marinade-na-spazkah-morozenye-500g-4137247	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки королевские 50/70 замороженные	729,99 ₽/кг	none	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-50-70-zamorozennye-69215	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки королевские Бухта Изобилия варёно-мороженые очищенные, 300г	646,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-buhta-izobilia-vareno-morozenye-ocisennye-300g-3641931	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Креветка Вкус Арт Ваннамей очищенная без вены с хвостом замороженная, 500г	799,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/55/p/krevetka-vkus-art-vannamej-ocisennaa-bez-veny-s-hvostom-zamorozennaa-500g-4292180	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки северные неразделанные варено-мороженые, 1кг	599,99 ₽/кг	none	https://www.perekrestok.ru/cat/55/p/krevetki-severnye-nerazdelannye-vareno-morozenye-1kg-4343270	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки Vici Королевские варено-мороженные 450 г	421,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/55/p/krevetki-vici-korolevskie-vareno-morozennye-450-g-3970776	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки королевские Polar 50/70 варёно-мороженые, 500г	369,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-polar-50-70-vareno-morozenye-500g-3420956	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки северные Fish & More варёно-мороженые, 750г	826,99 ₽/шт	750 гр	https://www.perekrestok.ru/cat/55/p/krevetki-severnye-fish-more-vareno-morozenye-750g-3686756	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Креветка Ваннамей Fish & More свежемороженая, 500г	1 049,00 ₽/шт	500 гр	https://www.perekrestok.ru/cat/55/p/krevetka-vannamej-fish-more-svezemorozenaa-500g-4078304	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки Polar 70/90 варёно-мороженые, 1кг	1 299,00 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/55/p/krevetki-polar-70-90-vareno-morozenye-1kg-3495300	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки Королевские неразделанные варено-мороженные Маркет, 850г	699,99 ₽/шт	850 гр	https://www.perekrestok.ru/cat/55/p/krevetki-korolevskie-nerazdelannye-vareno-morozennye-market-850g-4269762	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
