name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Мороженое пломбир крем-брюле в вафельном стаканчике 12% Молочный знак, 70г	47,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-krem-brule-v-vafelnom-stakancike-12-molocnyj-znak-70g-4289044	Wed Jul  3 15:03:33 2024	none	none	none	none	none	none	none	none	none	none	none
Мороженое пломбир со вкусом ванили в вафельном стаканчике 12% Молочный знак, 70г	47,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-so-vkusom-vanili-v-vafelnom-stakancike-12-molocnyj-znak-70g-4289045	Wed Jul  3 15:03:33 2024	none	none	none	none	none	none	none	none	none	none	none
Мороженое Соленая карамель с шоколадным трюфелем пломбир 15% Зелёная Линия, 300г	399,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/321/p/morozenoe-solenaa-karamel-s-sokoladnym-trufelem-plombir-15-zelenaa-linia-300g-4210650	Wed Jul  3 15:03:33 2024	none	none	none	none	none	none	none	none	none	none	none
Мороженое Малиновый пирог с белым шоколадом пломбир 15% Зелёная Линия, 300г	429,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/321/p/morozenoe-malinovyj-pirog-s-belym-sokoladom-plombir-15-zelenaa-linia-300g-4210655	Wed Jul  3 15:03:33 2024	none	none	none	none	none	none	none	none	none	none	none
Мороженое пломбир крем-брюле в вафельном стаканчике 12% Молочный знак, 70г	47,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-krem-brule-v-vafelnom-stakancike-12-molocnyj-znak-70g-4289044	Wed Jul  3 15:03:33 2024	none	none	none	none	none	none	none	none	none	none	none
Мороженое пломбир со вкусом ванили в вафельном стаканчике 12% Молочный знак, 70г	47,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/321/p/morozenoe-plombir-so-vkusom-vanili-v-vafelnom-stakancike-12-molocnyj-znak-70g-4289045	Wed Jul  3 15:03:33 2024	none	none	none	none	none	none	none	none	none	none	none
Пломбир Коровка из Кореновки стаканчик 15%, 100г	83,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/321/p/plombir-korovka-iz-korenovki-stakancik-15-100g-3371923	Wed Jul  3 15:03:33 2024	none	none	none	none	none	none	none	none	none	none	none
Пломбир Коровка из Кореновки шоколадный стаканчик, 100г	83,99 ₽/шт	100 мл	https://www.perekrestok.ru/cat/321/p/plombir-korovka-iz-korenovki-sokoladnyj-stakancik-100g-3409340	Wed Jul  3 15:03:33 2024	none	none	none	none	none	none	none	none	none	none	none
Пломбир Чистая Линия Радуга ванильный стаканчик 12%, 90г	89,99 ₽/шт	90 гр	https://www.perekrestok.ru/cat/321/p/plombir-cistaa-linia-raduga-vanilnyj-stakancik-12-90g-3680631	Wed Jul  3 15:03:33 2024	none	none	none	none	none	none	none	none	none	none	none
Пломбир Чистая Линия ванильный в шоколадной глазури рожок 12%, 70г	99,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/321/p/plombir-cistaa-linia-vanilnyj-v-sokoladnoj-glazuri-rozok-12-70g-3958194	Wed Jul  3 15:03:33 2024	none	none	none	none	none	none	none	none	none	none	none
