name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Начос Delicados с кусочками оливок и паприкой, 150г	124,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/nacos-delicados-s-kusockami-olivok-i-paprikoj-150g-3427312	Wed Jul  3 15:03:02 2024	none	none	none	none	none	none	none	none	none	none	none
Начос кукурузные Delicados со вкусом сыра, 150г	114,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/nacos-kukuruznye-delicados-so-vkusom-syra-150g-3463552	Wed Jul  3 15:03:02 2024	none	none	none	none	none	none	none	none	none	none	none
Начос кукурузные Delicados оригинальные, 150г	119,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/nacos-kukuruznye-delicados-originalnye-150g-3463551	Wed Jul  3 15:03:02 2024	none	none	none	none	none	none	none	none	none	none	none
Чипсы Delicados кукурузные со вкусом соуса Ранч, 150г	119,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/cipsy-delicados-kukuruznye-so-vkusom-sousa-ranc-150g-4236250	Wed Jul  3 15:03:02 2024	none	none	none	none	none	none	none	none	none	none	none
Чипсы Mission кукурузные со вкусом сыра чеддер, 150г	109,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/cipsy-mission-kukuruznye-so-vkusom-syra-cedder-150g-4013364	Wed Jul  3 15:03:02 2024	none	none	none	none	none	none	none	none	none	none	none
Чипсы Mission кукурузные со вкусом бекона, 150г	109,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/cipsy-mission-kukuruznye-so-vkusom-bekona-150g-4013362	Wed Jul  3 15:03:02 2024	none	none	none	none	none	none	none	none	none	none	none
Чипсы Mission кукурузные со вкусом сметаны и лука, 90г	75,99 ₽/шт	90 гр	https://www.perekrestok.ru/cat/774/p/cipsy-mission-kukuruznye-so-vkusom-smetany-i-luka-90g-4237448	Thu Jul  4 08:47:34 2024	none	none	none	none	none	none	none	none	none	none	none
Чипсы кукурузные Carambas сыр, 150г	104,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/cipsy-kukuruznye-carambas-syr-150g-94326	Thu Jul  4 08:47:34 2024	none	none	none	none	none	none	none	none	none	none	none
Чипсы кукурузные Carambas сметана и лук, 150г	104,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/cipsy-kukuruznye-carambas-smetana-i-luk-150g-94329	Thu Jul  4 08:47:34 2024	none	none	none	none	none	none	none	none	none	none	none
Чипсы кукурузные Salto Nachos Барбекю с соусом, 220г/100г	529,99 ₽/шт	320 гр	https://www.perekrestok.ru/cat/774/p/cipsy-kukuruznye-salto-nachos-barbeku-s-sousom-220g-100g-4132780	Thu Jul  4 08:47:34 2024	none	none	none	none	none	none	none	none	none	none	none
Чипсы DELICADOS Начос кукурузные со вкусом омар средиземноморский 100г	89,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/774/p/cipsy-delicados-nacos-kukuruznye-so-vkusom-omar-sredizemnomorskij-100g-4237456	Thu Jul  4 08:47:34 2024	none	none	none	none	none	none	none	none	none	none	none
Чипсы кукурузные Carambas Original, 150г	104,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/cipsy-kukuruznye-carambas-original-150g-94323	Thu Jul  4 08:47:34 2024	none	none	none	none	none	none	none	none	none	none	none
Чипсы кукурузные Carambas бекон, 150г	104,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/774/p/cipsy-kukuruznye-carambas-bekon-150g-94325	Thu Jul  4 08:47:34 2024	none	none	none	none	none	none	none	none	none	none	none
Чипсы Mission кукурузные со вкусом барбекю, 90г	73,99 ₽/шт	90 гр	https://www.perekrestok.ru/cat/774/p/cipsy-mission-kukuruznye-so-vkusom-barbeku-90g-4237453	Thu Jul  4 08:47:34 2024	none	none	none	none	none	none	none	none	none	none	none
