name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Форель стейк	1 349,00 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/forel-stejk-3394126	Wed Jul  3 15:04:17 2024	none	none	none	none	none	none	none	none	none	none	none
Форель Перекресток 1.5-2 кг потрошеная Карелия	999,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/forel-perekrestok-1-5-2-kg-potrosenaa-karelia-3996116	Wed Jul  3 15:04:17 2024	none	none	none	none	none	none	none	none	none	none	none
Рыба лосось стейк в маринаде	2 799,00 ₽/кг	none	https://www.perekrestok.ru/cat/176/p/ryba-losos-stejk-v-marinade-78004162	Wed Jul  3 15:04:17 2024	none	none	none	none	none	none	none	none	none	none	none
Дорадо Турция	499,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/dorado-turcia-81555	Wed Jul  3 15:04:17 2024	none	none	none	none	none	none	none	none	none	none	none
Сибас Турция	499,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/sibas-turcia-81554	Wed Jul  3 15:04:17 2024	none	none	none	none	none	none	none	none	none	none	none
Судак непотрошеный	469,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/sudak-nepotrosenyj-4477	Wed Jul  3 15:04:17 2024	none	none	none	none	none	none	none	none	none	none	none
Зубатка пёстрая кусок охлаждённый	559,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/zubatka-pestraa-kusok-ohlazdennyj-30684	Wed Jul  3 15:04:17 2024	none	none	none	none	none	none	none	none	none	none	none
Камбала потрошеная без головы Мурманск	299,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/kambala-potrosenaa-bez-golovy-murmansk-2083076	Wed Jul  3 15:04:17 2024	none	none	none	none	none	none	none	none	none	none	none
Минтай	229,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/mintaj-3094397	Wed Jul  3 15:04:17 2024	none	none	none	none	none	none	none	none	none	none	none
Минтай филе	429,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/mintaj-file-2000925	Wed Jul  3 15:04:17 2024	none	none	none	none	none	none	none	none	none	none	none
Окунь потрошеный	519,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/okun-potrosenyj-3016160	Wed Jul  3 15:04:17 2024	none	none	none	none	none	none	none	none	none	none	none
Лосось Мурманск стейк	2 299,00 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/losos-murmansk-stejk-57597	Thu Jul  4 08:48:48 2024	none	none	none	none	none	none	none	none	none	none	none
Кижуч Чили стейк	1 749,00 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/kizuc-cili-stejk-4215359	Thu Jul  4 08:48:48 2024	none	none	none	none	none	none	none	none	none	none	none
Форель филе	1 799,00 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/forel-file-2000923	Thu Jul  4 08:48:48 2024	none	none	none	none	none	none	none	none	none	none	none
Форель радужная 1-1.5 кг потрошеная	849,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-1-1-5-kg-potrosenaa-13190	Thu Jul  4 08:48:48 2024	none	none	none	none	none	none	none	none	none	none	none
Лосось Чили стейк	2 199,00 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/losos-cili-stejk-2068358	Thu Jul  4 08:48:48 2024	none	none	none	none	none	none	none	none	none	none	none
Форель Горная 2-3 кг Осетия	899,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/forel-gornaa-2-3-kg-osetia-4273155	Thu Jul  4 08:48:48 2024	none	none	none	none	none	none	none	none	none	none	none
Лосось Чили кусок	2 199,00 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/losos-cili-kusok-2068339	Thu Jul  4 08:48:48 2024	none	none	none	none	none	none	none	none	none	none	none
Сибас 400-600 Турция	679,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/sibas-400-600-turcia-3651443	Thu Jul  4 08:48:48 2024	none	none	none	none	none	none	none	none	none	none	none
Тунец филе	1 199,00 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/tunec-file-3661161	Thu Jul  4 08:48:48 2024	none	none	none	none	none	none	none	none	none	none	none
Пангасиус филе	339,00 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/pangasius-file-2131734	Thu Jul  4 08:48:48 2024	none	none	none	none	none	none	none	none	none	none	none
Тилапия филе	699,00 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/tilapia-file-2124181	Thu Jul  4 08:48:48 2024	none	none	none	none	none	none	none	none	none	none	none
Мойва	229,00 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/mojva-4114867	Thu Jul  4 08:48:48 2024	none	none	none	none	none	none	none	none	none	none	none
Скумбрия	419,99 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/skumbria-2124163	Thu Jul  4 08:48:48 2024	none	none	none	none	none	none	none	none	none	none	none
