name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Брокколи быстрозамороженная Маркет, 400г	139,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/brokkoli-bystrozamorozennaa-market-400g-3489151	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Шпинат резаный быстрозамороженный Маркет Перекрёсток, 400г	139,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/spinat-rezanyj-bystrozamorozennyj-market-perekrestok-400g-4150062	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Смесь овощная Овощи для жарки быстрозамороженная Маркет Перекрёсток, 400г	81,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-ovosi-dla-zarki-bystrozamorozennaa-market-perekrestok-400g-3489168	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Смесь овощная Agama Гавайская замороженная, 400г	159,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-agama-gavajskaa-zamorozennaa-400g-4009160	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Смесь овощная Hortex Брокколи и цветная быстрозамороженная, 400г	184,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-hortex-brokkoli-i-cvetnaa-bystrozamorozennaa-400g-3444911	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Спаржа Планета Витаминов зеленая, 400г	209,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/sparza-planeta-vitaminov-zelenaa-400g-3449160	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Смесь овощная Морозко Green Овощное трио быстрозамороженная, 400г	189,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-morozko-green-ovosnoe-trio-bystrozamorozennaa-400g-3431069	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Брокколи быстрозамороженная Маркет, 400г	139,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/brokkoli-bystrozamorozennaa-market-400g-3489151	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Капуста брюссельская быстрозамороженная Маркет Перекрёсток, 400г	199,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/kapusta-brusselskaa-bystrozamorozennaa-market-perekrestok-400g-3489150	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Смесь грибов лесных резаных быстрозамороженных Маркет, 300г	259,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/59/p/smes-gribov-lesnyh-rezanyh-bystrozamorozennyh-market-300g-4278476	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Грибы Белые резаные быстрозамороженные Маркет, 300г	379,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/59/p/griby-belye-rezanye-bystrozamorozennye-market-300g-4278477	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Опята быстрозамороженные Маркет Перекрёсток, 400г	259,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/opata-bystrozamorozennye-market-perekrestok-400g-3489171	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Картофель Фри замороженный Маркет, 700г	219,99 ₽/шт	700 гр	https://www.perekrestok.ru/cat/59/p/kartofel-fri-zamorozennyj-market-700g-4326042	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Картофель Fry Me Классический Фри замороженный, 700г	319,99 ₽/шт	700 гр	https://www.perekrestok.ru/cat/59/p/kartofel-fry-me-klassiceskij-fri-zamorozennyj-700g-4138523	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Картофель фри дольки быстрозамороженные Маркет Перекрёсток, 400г	169,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/kartofel-fri-dolki-bystrozamorozennye-market-perekrestok-400g-3489169	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Фасоль стручковая резаная быстрозамороженная Маркет Перекрёсток, 400г	144,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/fasol-struckovaa-rezanaa-bystrozamorozennaa-market-perekrestok-400g-3489153	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Шпинат резаный быстрозамороженный Маркет Перекрёсток, 400г	139,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/spinat-rezanyj-bystrozamorozennyj-market-perekrestok-400g-4150062	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Горошек зелёный быстрозамороженный Маркет Перекрёсток, 400г	129,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/gorosek-zelenyj-bystrozamorozennyj-market-perekrestok-400g-4151225	Wed Jul  3 15:04:24 2024	none	none	none	none	none	none	none	none	none	none	none
Капуста цветная быстрозамороженная Маркет Перекрёсток, 400г	149,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/kapusta-cvetnaa-bystrozamorozennaa-market-perekrestok-400g-3489152	Thu Jul  4 08:48:55 2024	none	none	none	none	none	none	none	none	none	none	none
Смесь овощная Мексиканская быстрозамороженная Маркет Перекрёсток, 400г	139,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-meksikanskaa-bystrozamorozennaa-market-perekrestok-400g-3489165	Thu Jul  4 08:48:55 2024	none	none	none	none	none	none	none	none	none	none	none
Смесь овощная Hortex Овощной квартет быстрозамороженная, 400г	129,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/59/p/smes-ovosnaa-hortex-ovosnoj-kvartet-bystrozamorozennaa-400g-3483015	Thu Jul  4 08:48:55 2024	none	none	none	none	none	none	none	none	none	none	none
