name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Томаты Махитос красные	199,99 ₽/кг	none	https://www.perekrestok.ru/cat/150/p/tomaty-mahitos-krasnye-1566	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Огурцы Хрустящие	149,99 ₽/кг	none	https://www.perekrestok.ru/cat/150/p/ogurcy-hrustasie-3632205	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Картофель ранний	59,99 ₽/кг	none	https://www.perekrestok.ru/cat/150/p/kartofel-rannij-45505	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Редис красный, 500г	99,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/150/p/redis-krasnyj-500g-25180	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдерей черешковый, 1шт	99,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/150/p/selderej-cereskovyj-1st-2065179	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Редис красный	209,99 ₽/кг	none	https://www.perekrestok.ru/cat/150/p/redis-krasnyj-2083434	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Томат Дагестан розовый	219,99 ₽/кг	none	https://www.perekrestok.ru/cat/150/p/tomat-dagestan-rozovyj-4355823	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Чеснок ранний	389,99 ₽/кг	none	https://www.perekrestok.ru/cat/150/p/cesnok-rannij-77278	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Томаты Махитос чёрные	399,99 ₽/кг	none	https://www.perekrestok.ru/cat/150/p/tomaty-mahitos-cernye-3255521	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Томаты Махитос красные	199,99 ₽/кг	none	https://www.perekrestok.ru/cat/150/p/tomaty-mahitos-krasnye-1566	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Томаты черри чёрный шоколад Маркет Collection, 250г	179,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/150/p/tomaty-cerri-cernyj-sokolad-market-collection-250g-4323486	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Томаты Рост Фламенко красные сливовидные	269,99 ₽/кг	none	https://www.perekrestok.ru/cat/150/p/tomaty-rost-flamenko-krasnye-slivovidnye-4214021	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Томаты черри на ветке, 250г	119,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/150/p/tomaty-cerri-na-vetke-250g-3673307	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Томаты Flamenco сливовидные красные, 450г	129,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/150/p/tomaty-flamenco-slivovidnye-krasnye-450g-4217380	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Томаты розовые Азербайджан	229,99 ₽/кг	none	https://www.perekrestok.ru/cat/150/p/tomaty-rozovye-azerbajdzan-3695580	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Томаты черри отечественные, 250г	159,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/150/p/tomaty-cerri-otecestvennye-250g-3634714	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Томаты Черри Медовые оранжевые круглые, 200г	139,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/150/p/tomaty-cerri-medovye-oranzevye-kruglye-200g-4188460	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Томат Дагестан розовый	219,99 ₽/кг	none	https://www.perekrestok.ru/cat/150/p/tomat-dagestan-rozovyj-4355823	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Томаты Эко-Культура Черри Ароматто сливовидные на ветке, 500г	324,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/150/p/tomaty-eko-kultura-cerri-aromatto-slivovidnye-na-vetke-500g-4281278	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Томаты Бакинские, 350г	149,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/150/p/tomaty-bakinskie-350g-4327843	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
Томаты азербайджанские, 500г	179,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/150/p/tomaty-azerbajdzanskie-500g-4125409	Wed Jul  3 15:02:49 2024	none	none	none	none	none	none	none	none	none	none	none
