name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Томаты протёртые Маркет Перекрёсток, 200г	79,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/76/p/tomaty-protertye-market-perekrestok-200g-4042451	Wed Jul  3 15:05:05 2024	none	none	none	none	none	none	none	none	none	none	none
Маслины без косточки Пр!ст, 280г	129,99 ₽/шт	280 гр	https://www.perekrestok.ru/cat/76/p/masliny-bez-kostocki-pr-st-280g-3468532	Wed Jul  3 15:05:05 2024	none	none	none	none	none	none	none	none	none	none	none
Огурцы маринованные целые Пр!ст, 680г	149,99 ₽/шт	720 мл	https://www.perekrestok.ru/cat/76/p/ogurcy-marinovannye-celye-pr-st-680g-3504166	Wed Jul  3 15:05:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фасоль белая в томатном соусе Маркет Перекрёсток, 400г	79,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/76/p/fasol-belaa-v-tomatnom-souse-market-perekrestok-400g-3635744	Wed Jul  3 15:05:05 2024	none	none	none	none	none	none	none	none	none	none	none
Горошек зелёный Пр!ст, 420г	39,30 ₽/шт	420 гр	https://www.perekrestok.ru/cat/76/p/gorosek-zelenyj-pr-st-420g-4100914	Wed Jul  3 15:05:05 2024	none	none	none	none	none	none	none	none	none	none	none
Оливки Халкидики с косточкой Market Collection, 200г	199,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/76/p/olivki-halkidiki-s-kostockoj-market-collection-200g-4027822	Wed Jul  3 15:05:05 2024	none	none	none	none	none	none	none	none	none	none	none
Горошек зелёный Маркет Перекрёсток, 400г	97,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/76/p/gorosek-zelenyj-market-perekrestok-400g-3504837	Wed Jul  3 15:05:05 2024	none	none	none	none	none	none	none	none	none	none	none
Горошек Bonduelle Classique зелёный, 200г	79,99 ₽/шт	212 гр	https://www.perekrestok.ru/cat/76/p/gorosek-bonduelle-classique-zelenyj-200g-27460	Wed Jul  3 15:05:05 2024	none	none	none	none	none	none	none	none	none	none	none
Горошек Bonduelle Classique зелёный, 400г	159,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/76/p/gorosek-bonduelle-classique-zelenyj-400g-16791	Wed Jul  3 15:05:05 2024	none	none	none	none	none	none	none	none	none	none	none
Горошек 6 соток зелёный, 400г	65,99 ₽/шт	425 гр	https://www.perekrestok.ru/cat/76/p/gorosek-6-sotok-zelenyj-400g-82254	Wed Jul  3 15:05:05 2024	none	none	none	none	none	none	none	none	none	none	none
Горошек зелёный Пр!ст, 420г	39,30 ₽/шт	420 гр	https://www.perekrestok.ru/cat/76/p/gorosek-zelenyj-pr-st-420g-4100914	Wed Jul  3 15:05:05 2024	none	none	none	none	none	none	none	none	none	none	none
Горошек Bonduelle Expert зелёный с морковью, 200г	124,99 ₽/шт	212 гр	https://www.perekrestok.ru/cat/76/p/gorosek-bonduelle-expert-zelenyj-s-morkovu-200g-21306	Wed Jul  3 15:05:05 2024	none	none	none	none	none	none	none	none	none	none	none
