name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Паштет из мяса утки Фермерский с черной смородиной, 100г	154,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/778/p/pastet-iz-masa-utki-fermerskij-s-cernoj-smorodinoj-100g-4123207	Wed Jul  3 15:04:08 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет мясной с печенью индейки и грушей категория Б запечённый Зелёная Линия, 160г	209,99 ₽/шт	160 гр	https://www.perekrestok.ru/cat/778/p/pastet-masnoj-s-pecenu-indejki-i-grusej-kategoria-b-zapecennyj-zelenaa-linia-160g-4056910	Wed Jul  3 15:04:08 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Setra Куриный без консервантов, 100г	139,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/808/p/pastet-setra-kurinyj-bez-konservantov-100g-2125902	Wed Jul  3 15:04:08 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Setra из индейки без консервантов, 100г	139,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/808/p/pastet-setra-iz-indejki-bez-konservantov-100g-2125907	Wed Jul  3 15:04:08 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Hame Деликатесный с индейкой стерилизованные, 105г	83,99 ₽/шт	105 гр	https://www.perekrestok.ru/cat/808/p/pastet-hame-delikatesnyj-s-indejkoj-sterilizovannye-105g-3959235	Wed Jul  3 15:04:08 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Hame Деликатесный с гусиной печенью, 105г	83,99 ₽/шт	105 гр	https://www.perekrestok.ru/cat/808/p/pastet-hame-delikatesnyj-s-gusinoj-pecenu-105g-3959234	Wed Jul  3 15:04:08 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Hame Деликатесный из мяса птицы стерилизованные, 105г	83,99 ₽/шт	105 гр	https://www.perekrestok.ru/cat/808/p/pastet-hame-delikatesnyj-iz-masa-pticy-sterilizovannye-105g-3959236	Wed Jul  3 15:04:08 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет с куриной печенью и черносливом категории Б Зелёная Линия, 160г	199,99 ₽/шт	160 гр	https://www.perekrestok.ru/cat/778/p/pastet-s-kurinoj-pecenu-i-cernoslivom-kategorii-b-zelenaa-linia-160g-4163785	Wed Jul  3 15:04:08 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет По-домашнему категория Б Зелёная Линия, 160г	229,99 ₽/шт	160 гр	https://www.perekrestok.ru/cat/778/p/pastet-po-domasnemu-kategoria-b-zelenaa-linia-160g-4135358	Wed Jul  3 15:04:08 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Setra из куриной печени без консервантов, 100г	134,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/808/p/pastet-setra-iz-kurinoj-peceni-bez-konservantov-100g-2125905	Wed Jul  3 15:04:08 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Главпродукт печёночный со сливочным маслом, 100г	99,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/808/p/pastet-glavprodukt-pecenocnyj-so-slivocnym-maslom-100g-3656033	Wed Jul  3 15:04:08 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Perva Extra Vegan лесные грибы, 100г	134,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/78/p/pastet-perva-extra-vegan-lesnye-griby-100g-3951131	Wed Jul  3 15:04:08 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет нежный Главпродукт из печени индейки из мяса и субпродуктов птицы, 100г	87,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/808/p/pastet-neznyj-glavprodukt-iz-peceni-indejki-iz-masa-i-subproduktov-pticy-100g-3907746	Wed Jul  3 15:04:08 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Лесная Диковинка из мяса лося с тыквенными семечками, 200г	219,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/808/p/pastet-lesnaa-dikovinka-iz-masa-losa-s-tykvennymi-semeckami-200g-4024881	Wed Jul  3 15:04:08 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет из печени Егорьевская Деревенский жареный, 150г	134,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/778/p/pastet-iz-peceni-egorevskaa-derevenskij-zarenyj-150g-3373724	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет из печени Егорьевская жареный, 150г	134,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/778/p/pastet-iz-peceni-egorevskaa-zarenyj-150g-3274799	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Рублёвский Утка с черносливом мясной деликатесный, 200г	179,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/778/p/pastet-rublevskij-utka-s-cernoslivom-masnoj-delikatesnyj-200g-3488430	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Егорьевская Фуа-гра из птичьей печени запечёный, 180г	169,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/778/p/pastet-egorevskaa-fua-gra-iz-pticej-peceni-zapecenyj-180g-3655252	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Setra Утиный, 100г	209,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/808/p/pastet-setra-utinyj-100g-3423314	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет из утиной печени со сливочным маслом и персиками Зелёная Линия, 160г	299,99 ₽/шт	160 гр	https://www.perekrestok.ru/cat/778/p/pastet-iz-utinoj-peceni-so-slivocnym-maslom-i-persikami-zelenaa-linia-160g-4165084	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет из мяса кролика Фермерский с прованскими травами, 100г	189,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/778/p/pastet-iz-masa-krolika-fermerskij-s-provanskimi-travami-100g-4123206	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет мясной Мираторг с копчёным беконом, 130г	139,99 ₽/шт	130 гр	https://www.perekrestok.ru/cat/778/p/pastet-masnoj-miratorg-s-kopcenym-bekonom-130g-4041883	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Setra Гусиный, 100г	209,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/808/p/pastet-setra-gusinyj-100g-3423315	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет мясной Мираторг, 130г	104,99 ₽/шт	130 гр	https://www.perekrestok.ru/cat/778/p/pastet-masnoj-miratorg-130g-4060212	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Медовый Дом из печени кролика, 230г	399,99 ₽/шт	230 гр	https://www.perekrestok.ru/cat/778/p/pastet-medovyj-dom-iz-peceni-krolika-230g-3992140	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Лесная Диковинка из мяса оленя с морковью, 200г	219,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/808/p/pastet-lesnaa-dikovinka-iz-masa-olena-s-morkovu-200g-4024880	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Высший Вкус Грибной, 200г	269,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/778/p/pastet-vyssij-vkus-gribnoj-200g-4260427	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет Perva Extra с печенью, 90г	79,99 ₽/шт	90 гр	https://www.perekrestok.ru/cat/808/p/pastet-perva-extra-s-pecenu-90g-3938286	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Рийет Сальково из утки классический, 180г	679,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/808/p/rijet-salkovo-iz-utki-klassiceskij-180g-4293863	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Тофу-паштет Casa Kubana барбекю, 110г	89,99 ₽/шт	110 гр	https://www.perekrestok.ru/cat/76/p/tofu-pastet-casa-kubana-barbeku-110g-4111999	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
Рийет Сальково из гуся Классический, 180г	799,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/808/p/rijet-salkovo-iz-gusa-klassiceskij-180g-4293864	Thu Jul  4 10:31:51 2024	none	none	none	none	none	none	none	none	none	none	none
