name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Пельмени с индейкой Зелёная Линия, 800г	559,99 ₽/шт	800 гр	https://www.perekrestok.ru/cat/58/p/pelmeni-s-indejkoj-zelenaa-linia-800g-4105907	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Пельмени с курицей Зелёная Линия, 500г	349,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/58/p/pelmeni-s-kuricej-zelenaa-linia-500g-4105906	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Вареники с вишней замороженные Маркет Перекрёсток, 450г	249,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/58/p/vareniki-s-visnej-zamorozennye-market-perekrestok-450g-3641577	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Вареники с творогом замороженные Маркет Перекрёсток, 450г	209,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/58/p/vareniki-s-tvorogom-zamorozennye-market-perekrestok-450g-3641576	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Пицца Римская Крудо Мясная Маркет Collection, 440г	419,99 ₽/шт	440 гр	https://www.perekrestok.ru/cat/58/p/picca-rimskaa-krudo-masnaa-market-collection-440g-4327674	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Пицца Zotman Ice Баварская мясная, 465г	538,99 ₽/шт	465 гр	https://www.perekrestok.ru/cat/58/p/picca-zotman-ice-bavarskaa-masnaa-465g-4216527	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Пицца La Trattoria Пепперони, 335г	299,99 ₽/шт	335 гр	https://www.perekrestok.ru/cat/58/p/picca-la-trattoria-pepperoni-335g-3477958	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Пицца La Trattoria 4 сыра, 335г	299,99 ₽/шт	335 гр	https://www.perekrestok.ru/cat/58/p/picca-la-trattoria-4-syra-335g-3477959	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Пицца Zotman Ice Груша и горгонзола, 415г	574,99 ₽/шт	415 гр	https://www.perekrestok.ru/cat/58/p/picca-zotman-ice-grusa-i-gorgonzola-415g-4216530	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
Пицца Zotman Ice Пепперони, 400г	448,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/58/p/picca-zotman-ice-pepperoni-400g-4216524	Wed Jul  3 15:04:23 2024	none	none	none	none	none	none	none	none	none	none	none
