name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Пиво Жигули 1968 светлое фильтрованное 4.5%, 430мл	71,99 ₽/шт	430 мл	https://www.perekrestok.ru/cat/9/p/pivo-ziguli-1968-svetloe-filtrovannoe-4-5-430ml-4235980	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Патронус Хевейссбир Хелл светлое нефильтрованное	109,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/9/p/pivo-patronus-hevejssbir-hell-svetloe-nefiltrovannoe-4170806	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Bakalar светлое фильтрованное 5.2%, 500мл	164,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/9/p/pivo-bakalar-svetloe-filtrovannoe-5-2-500ml-3484414	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Бакунин Сэшн ИПА светлое нефильтрованное	249,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/9/p/pivo-bakunin-sesn-ipa-svetloe-nefiltrovannoe-4236305	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Бакунин Рука Бога светлое нефильтрованное 4.5%, 500мл	239,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/9/p/pivo-bakunin-ruka-boga-svetloe-nefiltrovannoe-4-5-500ml-4237890	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Bud светлое 5%, 450мл	81,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/9/p/pivo-bud-svetloe-5-450ml-3655481	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Жигули Барное светлое 4.9%, 450мл	59,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/9/p/pivo-ziguli-barnoe-svetloe-4-9-450ml-3661343	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Жигулёвское светлое 4.6%, 1.5л	129,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/9/p/pivo-zigulevskoe-svetloe-4-6-1-5l-3620837	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Krusovice светлое пастеризованное 4.2%, 430мл	77,99 ₽/шт	430 мл	https://www.perekrestok.ru/cat/9/p/pivo-krusovice-svetloe-pasterizovannoe-4-2-430ml-4169278	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Жигули Барное экспортное светлое 4.8%, 450мл	65,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/9/p/pivo-ziguli-barnoe-eksportnoe-svetloe-4-8-450ml-3677150	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Pilsner Urquell светлое 4.4%, 500мл	199,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/9/p/pivo-pilsner-urquell-svetloe-4-4-500ml-3273501	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Золотая Бочка светлое 4.7%, 450мл	63,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/9/p/pivo-zolotaa-bocka-svetloe-4-7-450ml-3619524	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Балтика №7 Экспортное светлое 5.4%, 450мл	65,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/9/p/pivo-baltika-no7-eksportnoe-svetloe-5-4-450ml-3502297	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Spaten Мюнхен светлое пастеризованное 5.2%, 450мл	119,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/9/p/pivo-spaten-munhen-svetloe-pasterizovannoe-5-2-450ml-4225658	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Афанасий Ремесленное светлое нефильтрованное 4.5%, 1л	269,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/9/p/pivo-afanasij-remeslennoe-svetloe-nefiltrovannoe-4-5-1l-4066647	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Lauterbacher Natur Weizen пшеничное светлое нефильтрованное непастеризованное неосветлённое 5.3%, 500мл	189,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/9/p/pivo-lauterbacher-natur-weizen-psenicnoe-svetloe-nefiltrovannoe-nepasterizovannoe-neosvetlennoe-5-3-500ml-4250829	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Жигули Барное светлое фильтрованное 4.9%, 450мл	71,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/9/p/pivo-ziguli-barnoe-svetloe-filtrovannoe-4-9-450ml-4104817	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Gosser светлое пастеризованное 4.7%, 430мл	67,99 ₽/шт	430 мл	https://www.perekrestok.ru/cat/9/p/pivo-gosser-svetloe-pasterizovannoe-4-7-430ml-4169276	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Radeberger Pilsner светлое фильтрованное 4.8%, 500мл	179,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/9/p/pivo-radeberger-pilsner-svetloe-filtrovannoe-4-8-500ml-4121563	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Efes Pilsener светлое 5%, 450мл	69,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/9/p/pivo-efes-pilsener-svetloe-5-450ml-3619232	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Хамовники Венское светлое 4.5%, 450мл	75,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/9/p/pivo-hamovniki-venskoe-svetloe-4-5-450ml-3654168	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво напиток St. Bernardus Wit пастеризованный нефильтрованный осветленный, 330мл	224,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/9/p/pivo-napitok-st-bernardus-wit-pasterizovannyj-nefiltrovannyj-osvetlennyj-330ml-4284666	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Старый Мельник из бочонка Мягкое светлое 4.3%, 450мл	69,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/9/p/pivo-staryj-melnik-iz-boconka-magkoe-svetloe-4-3-450ml-3697387	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Flensburger Пилснер светлое 4.8%, 500мл	174,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/9/p/pivo-flensburger-pilsner-svetloe-4-8-500ml-3469091	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Stella Artois светлое 5%, 450мл	109,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/9/p/pivo-stella-artois-svetloe-5-450ml-3655555	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Lauterbacher Helles Brotzeit Bier светлое непастеризованное нефильтрованное неосветлённое 5,1%, 500мл	189,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/9/p/pivo-lauterbacher-helles-brotzeit-bier-svetloe-nepasterizovannoe-nefiltrovannoe-neosvetlennoe-5-1-500ml-4250666	Wed Jul  3 15:05:30 2024	none	none	none	none	none	none	none	none	none	none	none
