name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Попкорн солёный Маркет Перекрёсток, 100г	65,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/710/p/popkorn-solenyj-market-perekrestok-100g-3499307	Wed Jul  3 15:03:05 2024	none	none	none	none	none	none	none	none	none	none	none
Попкорн Трям Соленый, 130г	60,99 ₽/шт	130 гр	https://www.perekrestok.ru/cat/710/p/popkorn-tram-solenyj-130g-4295342	Wed Jul  3 15:03:05 2024	none	none	none	none	none	none	none	none	none	none	none
Попкорн сырный Маркет Перекрёсток, 85г	61,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/710/p/popkorn-syrnyj-market-perekrestok-85g-3499306	Wed Jul  3 15:03:05 2024	none	none	none	none	none	none	none	none	none	none	none
Попкорн Corincorn Сладко-соленая карамель зерно для СВЧ, 125г	69,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/710/p/popkorn-corincorn-sladko-solenaa-karamel-zerno-dla-svc-125g-4244958	Wed Jul  3 15:03:05 2024	none	none	none	none	none	none	none	none	none	none	none
Попкорн Reeel Четыре Сыра солёный, 30г	64,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/710/p/popkorn-reeel-cetyre-syra-solenyj-30g-4324734	Wed Jul  3 15:03:05 2024	none	none	none	none	none	none	none	none	none	none	none
Попкорн Holy Corn сладко-соленый, 30г	63,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/710/p/popkorn-holy-corn-sladko-solenyj-30g-3679506	Wed Jul  3 15:03:05 2024	none	none	none	none	none	none	none	none	none	none	none
Попкорн Holy Corn морская соль, 20г	63,99 ₽/шт	20 гр	https://www.perekrestok.ru/cat/710/p/popkorn-holy-corn-morskaa-sol-20g-3679690	Wed Jul  3 15:03:05 2024	none	none	none	none	none	none	none	none	none	none	none
Попкорн Reeel Морская соль соленый, 30г	67,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/710/p/popkorn-reeel-morskaa-sol-solenyj-30g-4324728	Wed Jul  3 15:03:05 2024	none	none	none	none	none	none	none	none	none	none	none
Попкорн Corincorn Сладко-соленая карамель зерно для СВЧ, 125г	69,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/710/p/popkorn-corincorn-sladko-solenaa-karamel-zerno-dla-svc-125g-4244958	Wed Jul  3 15:03:05 2024	none	none	none	none	none	none	none	none	none	none	none
Кукуруза Трям Карамель воздушная, 250г	99,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/710/p/kukuruza-tram-karamel-vozdusnaa-250g-4295341	Wed Jul  3 15:03:05 2024	none	none	none	none	none	none	none	none	none	none	none
Попкорн Holy Corn сладко-соленый, 30г	63,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/710/p/popkorn-holy-corn-sladko-solenyj-30g-3679506	Wed Jul  3 15:03:05 2024	none	none	none	none	none	none	none	none	none	none	none
Попкорн Reeel Брауни сладкий, 55г	99,99 ₽/шт	55 гр	https://www.perekrestok.ru/cat/710/p/popkorn-reeel-brauni-sladkij-55g-4342112	Wed Jul  3 15:03:05 2024	none	none	none	none	none	none	none	none	none	none	none
Попкорн Reeel Кола сладкий, 55г	99,99 ₽/шт	55 гр	https://www.perekrestok.ru/cat/710/p/popkorn-reeel-kola-sladkij-55g-4342076	Wed Jul  3 15:03:05 2024	none	none	none	none	none	none	none	none	none	none	none
Попкорн Reeel Бабл гам сладкий, 55г	99,99 ₽/шт	55 гр	https://www.perekrestok.ru/cat/710/p/popkorn-reeel-babl-gam-sladkij-55g-4342077	Wed Jul  3 15:03:05 2024	none	none	none	none	none	none	none	none	none	none	none
