name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Пряники Звёздные заварные Пр!ст, 500г	63,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/703/p/praniki-zvezdnye-zavarnye-pr-st-500g-3685929	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
Пряники Полёт заварные вишня, 300г	114,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/703/p/praniki-polet-zavarnye-visna-300g-3057546	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
Пряники Яшкино Шоколадные, 350г	114,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/703/p/praniki-askino-sokoladnye-350g-3343012	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
Пряники Полёт шоколадные, 250г	169,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/703/p/praniki-polet-sokoladnye-250g-4051330	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
Пряники Сладояр имбирные, 350г	97,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/703/p/praniki-sladoar-imbirnye-350g-3654104	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
Пряник Наслада Имбирный, 340г	109,99 ₽/шт	340 гр	https://www.perekrestok.ru/cat/703/p/pranik-naslada-imbirnyj-340g-3374464	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
Пряник Пекарня Sofi на палочке, 45г	199,99 ₽/шт	45 гр	https://www.perekrestok.ru/cat/703/p/pranik-pekarna-sofi-na-palocke-45g-4328081	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
Пряник Ясная Поляна Тульский с фруктовой начинкой, 140г	49,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/703/p/pranik-asnaa-polana-tulskij-s-fruktovoj-nacinkoj-140g-2109598	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
Пряник Ясная Поляна Тульский с начинкой варёная сгущёнка, 140г	49,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/703/p/pranik-asnaa-polana-tulskij-s-nacinkoj-varenaa-sgusenka-140g-73998	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
Пряник Тульский Ясные поляны со смородиновой начинкой, 140г	49,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/703/p/pranik-tulskij-asnye-polany-so-smorodinovoj-nacinkoj-140g-3975876	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
Пряники Хлебный Дом мятные, 300г	99,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/703/p/praniki-hlebnyj-dom-matnye-300g-4311994	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
Пряники Коровка с начинкой шоколадное молоко, 300г	139,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/703/p/praniki-korovka-s-nacinkoj-sokoladnoe-moloko-300g-3628338	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
Пряники Хлебный Дом Шоколадные, 300г	124,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/703/p/praniki-hlebnyj-dom-sokoladnye-300g-4311989	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
Пряники Яшкино с вишнёвой начинкой, 350г	124,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/703/p/praniki-askino-s-visnevoj-nacinkoj-350g-3265821	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
Пряники Хлебный Дом Имбирные, 300г	109,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/703/p/praniki-hlebnyj-dom-imbirnye-300g-4311990	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
Пряник Slakon с шоколадным вкусом, 400г	129,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/703/p/pranik-slakon-s-sokoladnym-vkusom-400g-4325436	Wed Jul  3 15:03:15 2024	none	none	none	none	none	none	none	none	none	none	none
