name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Мидии Меридиан с вялеными томатами чесноком и зеленью в масле, 270 г	249,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/792/p/midii-meridian-s-valenymi-tomatami-cesnokom-i-zelenu-v-masle-270-g-4006328	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль Русское Море Морской Микс из морепродуктов в заливке, 300г	229,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/792/p/koktejl-russkoe-more-morskoj-miks-iz-moreproduktov-v-zalivke-300g-4290706	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль из морепродуктов Меридиан в масле, 200г	229,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/koktejl-iz-moreproduktov-meridian-v-masle-200g-48140	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Мясо Русское Море креветки в заливке, 180г	239,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/792/p/maso-russkoe-more-krevetki-v-zalivke-180g-4289266	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль из морепродуктов Меридиан Мехико в масле с пряностями, 200г	229,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/koktejl-iz-moreproduktov-meridian-mehiko-v-masle-s-pranostami-200g-48143	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Риет Delicatesse De Mare овощной из морской капусты с баклажанами, 150г	81,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/792/p/riet-delicatesse-de-mare-ovosnoj-iz-morskoj-kapusty-s-baklazanami-150g-4281414	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Салат Русское Море из мяса мидии чилийской вареного с овощами, 150г	129,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/792/p/salat-russkoe-more-iz-masa-midii-cilijskoj-varenogo-s-ovosami-150g-4289255	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Риет Delicatesse De Mare натуральный овощной из морской капусты, 150г	81,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/792/p/riet-delicatesse-de-mare-naturalnyj-ovosnoj-iz-morskoj-kapusty-150g-4281412	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль из морепродуктов Меридиан в масле с зеленью, 200г	229,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/koktejl-iz-moreproduktov-meridian-v-masle-s-zelenu-200g-48142	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Щупальца Два Капитана кальмара гигантского отварные в рассоле, 300г	319,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/792/p/supalca-dva-kapitana-kalmara-gigantskogo-otvarnye-v-rassole-300g-4323673	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Мясо мидии Балтийский Берег чилийской варёное в маринаде, 390г	289,99 ₽/шт	390 гр	https://www.perekrestok.ru/cat/812/p/maso-midii-baltijskij-bereg-cilijskoj-varenoe-v-marinade-390g-4045865	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Мидии Vici варёно-копчёные маринованные в масле, 200г	219,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/midii-vici-vareno-kopcenye-marinovannye-v-masle-200g-4167221	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Креветки Два Капитан ванамей отварные в рассоле, 300г	579,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/792/p/krevetki-dva-kapitan-vanamej-otvarnye-v-rassole-300g-4323674	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Мясо мидий Milegrin чилийских в масле с перцем чили, 415г	299,99 ₽/шт	415 гр	https://www.perekrestok.ru/cat/792/p/maso-midij-milegrin-cilijskih-v-masle-s-percem-cili-415g-4323675	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Осьминог Два Капитана обыкновенный целый отварной в рассоле, 300г	399,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/792/p/osminog-dva-kapitana-obyknovennyj-celyj-otvarnoj-v-rassole-300g-4045870	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль из морепродуктов Меридиан отварной в желе с оливками и лимоном, 200г	194,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/koktejl-iz-moreproduktov-meridian-otvarnoj-v-zele-s-olivkami-i-limonom-200g-3467797	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
Салат Русское Море из мяса мидии чилийской вареного в соусе, 150г	114,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/792/p/salat-russkoe-more-iz-masa-midii-cilijskoj-varenogo-v-souse-150g-4289269	Wed Jul  3 15:04:37 2024	none	none	none	none	none	none	none	none	none	none	none
