name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Молоко кокосовое 60% Aroy-D 17-19%, 250мл	164,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/215/p/moloko-kokosovoe-60-aroy-d-17-19-250ml-3491618	Wed Jul  3 15:03:40 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко кокосовое мякоть Aroy-D 17-19%, 400мл	229,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/215/p/moloko-kokosovoe-makot-aroy-d-17-19-400ml-3495702	Wed Jul  3 15:03:40 2024	none	none	none	none	none	none	none	none	none	none	none
Вода кокосовая Chaokoh, 350мл	154,99 ₽/шт	350 мл	https://www.perekrestok.ru/cat/215/p/voda-kokosovaa-chaokoh-350ml-3678971	Wed Jul  3 15:03:40 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Zinus Coconut Кокосовый, 1л	129,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/215/p/napitok-zinus-coconut-kokosovyj-1l-4322165	Wed Jul  3 15:03:40 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Velle Кокосовый Классический на растительной основе, 1л	219,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/215/p/napitok-velle-kokosovyj-klassiceskij-na-rastitelnoj-osnove-1l-4249799	Wed Jul  3 15:03:40 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Nemoloko кокосовый на соевой основе, 1л	154,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/215/p/napitok-nemoloko-kokosovyj-na-soevoj-osnove-1l-4345771	Wed Jul  3 15:03:40 2024	none	none	none	none	none	none	none	none	none	none	none
Продукт растительный Kara Coconut Milk на основе мякоти кокосового ореха 17%, 200мл	119,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/215/p/produkt-rastitelnyj-kara-coconut-milk-na-osnove-makoti-kokosovogo-oreha-17-200ml-4237733	Wed Jul  3 15:03:40 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Green Milk с кокосом на ячменно-нутовой основе, 1л	149,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/215/p/napitok-green-milk-s-kokosom-na-acmenno-nutovoj-osnove-1l-4336121	Wed Jul  3 15:03:40 2024	none	none	none	none	none	none	none	none	none	none	none
Вода Foco Organic питьевая кокосовая, 330мл	164,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/215/p/voda-foco-organic-pitevaa-kokosovaa-330ml-4237661	Wed Jul  3 15:03:40 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Миндальный Классический на растительной основе Зелёная Линия, 1л	154,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/215/p/napitok-mindalnyj-klassiceskij-na-rastitelnoj-osnove-zelenaa-linia-1l-4220001	Wed Jul  3 15:03:40 2024	none	none	none	none	none	none	none	none	none	none	none
