name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Ром Old Monk 7-летний тёмный 42.8%, 750мл	1 299,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/15/p/rom-old-monk-7-letnij-temnyj-42-8-750ml-3651114	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Barcelo Империал выдержанный 38% в подарочной упаковке, 700мл	2 299,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-barcelo-imperial-vyderzannyj-38-v-podarocnoj-upakovke-700ml-4216291	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Спиртной напиток Dead Man`s Fingers Passion Fruit Rum на основе рома со вкусом маракуйи 37.5%, 700мл	1 499,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/spirtnoj-napitok-dead-man-s-fingers-passion-fruit-rum-na-osnove-roma-so-vkusom-marakuji-37-5-700ml-4184028	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Old Monk 7-летний тёмный 42.8%, 375мл	679,99 ₽/шт	375 мл	https://www.perekrestok.ru/cat/15/p/rom-old-monk-7-letnij-temnyj-42-8-375ml-3651115	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Barcelo Аньехо тёмный 37.5%, 700мл	1 399,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-barcelo-aneho-temnyj-37-5-700ml-3070469	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Castro 40%, 500мл	579,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/15/p/rom-castro-40-500ml-4207382	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Dead Man's Fingers белый 37.5%, 700мл	1 499,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-dead-mans-fingers-belyj-37-5-700ml-4217335	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Old Monk невыдержанный белый 42.8%, 750мл	1 349,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/15/p/rom-old-monk-nevyderzannyj-belyj-42-8-750ml-4007406	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Old Monk невыдержанный белый 42.8%, 375мл	659,99 ₽/шт	375 мл	https://www.perekrestok.ru/cat/15/p/rom-old-monk-nevyderzannyj-belyj-42-8-375ml-4007407	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Барсело Бланко 37.5%, 700мл + стакан	1 599,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-barselo-blanko-37-5-700ml-stakan-4257888	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Devil's Island Blanco 37.5%, 700мл	1 149,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-devils-island-blanco-37-5-700ml-4206202	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Barcelo Gran Anejo 40%, 700мл	1 499,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-barcelo-gran-anejo-40-700ml-3211743	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Barcelo Дорадо 37.5%, 700мл	1 399,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-barcelo-dorado-37-5-700ml-3002335	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток спиртной Oakheart Bacardi Оакхарт оригинал на основе рома 35%, 700мл	1 099,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/napitok-spirtnoj-oakheart-bacardi-oakhart-original-na-osnove-roma-35-700ml-3473974	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Devil's Айсленд Спайс 37.5%, 700мл	1 199,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-devils-ajslend-spajs-37-5-700ml-4206200	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Спиртной напиток на основе рома Carnival Grand Kadoo Spiced с ароматом корицы и ванили 38%, 700мл	1 399,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/spirtnoj-napitok-na-osnove-roma-carnival-grand-kadoo-spiced-s-aromatom-koricy-i-vanili-38-700ml-4243208	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток спиртной Ron Calados Карибиан Спайсд 35%, 700мл	1 129,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/napitok-spirtnoj-ron-calados-karibian-spajsd-35-700ml-4266746	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Ron Calados Дарк 37.5%, 700мл	1 129,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-ron-calados-dark-37-5-700ml-4266745	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Plantation Барбадос Гранд Резерв выдержанный 40%, 700мл	2 299,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-plantation-barbados-grand-rezerv-vyderzannyj-40-700ml-4262609	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Спиртной напиток на основе рома Carnival Grand Kadoo с ароматом банана 38%, 700мл	1 399,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/spirtnoj-napitok-na-osnove-roma-carnival-grand-kadoo-s-aromatom-banana-38-700ml-4243210	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Спиртной напиток на основе рома Carnival Grand Kadoo с ароматом ананаса 38%, 700мл	1 399,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/spirtnoj-napitok-na-osnove-roma-carnival-grand-kadoo-s-aromatom-ananasa-38-700ml-4243209	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Plantation Ориджинал Дарк Дабл Эйджд 40%, 700мл	1 699,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-plantation-oridzinal-dark-dabl-ejdzd-40-700ml-4233728	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Devil's Island Gold Anejo 37.5%, 700мл	1 299,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-devils-island-gold-anejo-37-5-700ml-4206201	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток спиртной Dead Man's Fingers на основе рома со вкусом манго 37.5%, 700мл	1 749,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/napitok-spirtnoj-dead-mans-fingers-na-osnove-roma-so-vkusom-mango-37-5-700ml-4217336	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток спиртной Bush Тропикал Цитрус на основе рома 37.5%, 700мл	1 799,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/napitok-spirtnoj-bush-tropikal-citrus-na-osnove-roma-37-5-700ml-4182966	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток спиртной Oakheart  Bacardi Оакхарт оригинал на основе рома 35%, 500мл	799,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/15/p/napitok-spirtnoj-oakheart-bacardi-oakhart-original-na-osnove-roma-35-500ml-3473973	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Ron Calados Уайт 37.5%, 700мл	1 129,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-ron-calados-uajt-37-5-700ml-4266744	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Напитоок на основе ромаBush Passionfruit And Guava 37,5%, 700мл	1 799,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/napitook-na-osnove-romabush-passionfruit-and-guava-37-5-700ml-4312971	Wed Jul  3 15:05:26 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток спиртной Nemiroff Самогон на кедровых орехах 38%, 250мл	249,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/15/p/napitok-spirtnoj-nemiroff-samogon-na-kedrovyh-orehah-38-250ml-4102308	Wed Jul  3 15:20:04 2024	none	none	none	none	none	none	none	none	none	none	none
Ром Dead Mans Fingers тёмный 40%, 700мл	1 749,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/rom-dead-mans-fingers-temnyj-40-700ml-4217359	Wed Jul  3 15:20:04 2024	none	none	none	none	none	none	none	none	none	none	none
Спиртной напиток Dead Man`s Fingers Huzelnut Rum на основе рома со вкусом лесного ореха 37.5%, 700мл	1 049,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/15/p/spirtnoj-napitok-dead-man-s-fingers-huzelnut-rum-na-osnove-roma-so-vkusom-lesnogo-oreha-37-5-700ml-4184027	Wed Jul  3 15:20:04 2024	none	none	none	none	none	none	none	none	none	none	none
