name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Икра Санта Бремор с копчёным лососем, 270г	239,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/812/p/ikra-santa-bremor-s-kopcenym-lososem-270g-3983178	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Горбуша 5 Морей натуральная, 250г	209,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-5-morej-naturalnaa-250g-87726	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Горбуша + скумбрия Европром рубленая, 180г	99,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-skumbria-evroprom-rublenaa-180g-3940705	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Горбуша + скумбрия Европром рубленая с ароматом копчения, 180г	99,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-skumbria-evroprom-rublenaa-s-aromatom-kopcenia-180g-3940708	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Масло лососёвое Санта Бремор Бутербродное, 100г	61,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/812/p/maslo-lososevoe-santa-bremor-buterbrodnoe-100g-4118408	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Горбуша + скумбрия Европром рубленая с чесноком, 180г	99,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-skumbria-evroprom-rublenaa-s-cesnokom-180g-3940706	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Лосось Балтийский Берег Creme Le Mare рубленый подкопчённый, 150г	115,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/812/p/losos-baltijskij-bereg-creme-le-mare-rublenyj-podkopcennyj-150g-4126005	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Лосось Балтийский Берег Creme Le Mare Классический филе рубленое, 150г	120,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/812/p/losos-baltijskij-bereg-creme-le-mare-klassiceskij-file-rublenoe-150g-4125999	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Риет из форели радужной с мягким творогом Маркет Collection, 100г	214,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/812/p/riet-iz-foreli-raduznoj-s-magkim-tvorogom-market-collection-100g-4354555	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Паста Крем-Фиш горбуша-скумбрия, 150г	115,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/812/p/pasta-krem-fis-gorbusa-skumbria-150g-4048658	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Шпроты За Родину тушки из балтийской кильки в масле, 270г	169,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/812/p/sproty-za-rodinu-tuski-iz-baltijskoj-kilki-v-masle-270g-3962298	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Килька Вкусные Консервы неразделанная обжаренная в томатном соусе, 240г	85,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/812/p/kilka-vkusnye-konservy-nerazdelannaa-obzarennaa-v-tomatnom-souse-240g-3468685	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Шпроты Барс из балтийской кильки в масле, 175г	169,99 ₽/шт	175 гр	https://www.perekrestok.ru/cat/812/p/sproty-bars-iz-baltijskoj-kilki-v-masle-175g-3633223	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Тунец скипджек филе-кусок Новый Океан, 185г	229,99 ₽/шт	185 гр	https://www.perekrestok.ru/cat/812/p/tunec-skipdzek-file-kusok-novyj-okean-185g-4003715	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Тунец скипджек рубленый Новый Океан, 185г	209,99 ₽/шт	185 гр	https://www.perekrestok.ru/cat/812/p/tunec-skipdzek-rublenyj-novyj-okean-185g-4003717	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Тунец Fortuna полосатый рубленый, 185г	259,99 ₽/шт	185 гр	https://www.perekrestok.ru/cat/812/p/tunec-fortuna-polosatyj-rublenyj-185g-72318	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
Паштет из тунца желтоперого Маркет, 125г	149,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/181/p/pastet-iz-tunca-zeltoperogo-market-125g-4309360	Wed Jul  3 15:04:20 2024	none	none	none	none	none	none	none	none	none	none	none
