name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сельдь Матиас деликатесное оригинальное филе, 400г	199,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/812/p/seld-matias-delikatesnoe-originalnoe-file-400g-3637884	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь Санта Бремор Матиас XXL отборная филе-кусочки в масле слабосолёная, 260г	239,99 ₽/шт	260 гр	https://www.perekrestok.ru/cat/812/p/seld-santa-bremor-matias-xxl-otbornaa-file-kusocki-v-masle-slabosolenaa-260g-4034451	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь Русское Море Исландка филе-кусочки в красном вине, 115г	115,99 ₽/шт	115 гр	https://www.perekrestok.ru/cat/812/p/seld-russkoe-more-islandka-file-kusocki-v-krasnom-vine-115g-3463468	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь Матиас оригинал филе в масле, 250г	199,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/812/p/seld-matias-original-file-v-masle-250g-79542	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь тихоокеанская соленая филе-кусочки в масле Пр!ст, 200г	97,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/seld-tihookeanskaa-solenaa-file-kusocki-v-masle-pr-st-200g-4322376	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь Русское Море бочковая слабосолёная филе, 230г	138,99 ₽/шт	230 гр	https://www.perekrestok.ru/cat/812/p/seld-russkoe-more-bockovaa-slabosolenaa-file-230g-3454388	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь тихоокеанская солёная филе-кусочки в масле с укропом Пр!ст,  200г	97,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/seld-tihookeanskaa-solenaa-file-kusocki-v-masle-s-ukropom-pr-st-200g-4323336	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь Балтийский Берег по-царски филе-кусочки в масле, 400г	241,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/812/p/seld-baltijskij-bereg-po-carski-file-kusocki-v-masle-400g-3621742	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь Матиас ХХL Отборная филе-кусочки в масле, 200г	205,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/seld-matias-hhl-otbornaa-file-kusocki-v-masle-200g-3497722	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь Русское Море Исландка филе-кусочки в масле, 115г	115,99 ₽/шт	115 гр	https://www.perekrestok.ru/cat/812/p/seld-russkoe-more-islandka-file-kusocki-v-masle-115g-3463465	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь атлантическая Матиас XXL отборная филе слабосолёное в масле, 300г	205,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/812/p/seld-atlanticeskaa-matias-xxl-otbornaa-file-slabosolenoe-v-masle-300g-4147685	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь Vici из бочки филе с кожей в рассоле с пряностями, 250г	133,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/812/p/seld-vici-iz-bocki-file-s-kozej-v-rassole-s-pranostami-250g-3504605	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь Матиас филе в масле с ароматом дыма, 250г	189,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/812/p/seld-matias-file-v-masle-s-aromatom-dyma-250g-79544	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Филе-кусочки сельди Матиас атлантической слабосоленые отборные в масле, 400г	286,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/812/p/file-kusocki-seldi-matias-atlanticeskoj-slabosolenye-otbornye-v-masle-400g-4225103	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь атлантическая Балтийский Берег Mare филе маринованное с пряностями, 150г	120,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/812/p/seld-atlanticeskaa-baltijskij-bereg-mare-file-marinovannoe-s-pranostami-150g-4131018	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь Балтийский Берег по-царски филе-кусочки в масле с дымком, 400г	223,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/812/p/seld-baltijskij-bereg-po-carski-file-kusocki-v-masle-s-dymkom-400g-3622072	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь филе Санта Бремор Матиас свежая зелень, 250г	189,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/812/p/seld-file-santa-bremor-matias-svezaa-zelen-250g-3164086	Wed Jul  3 15:04:22 2024	none	none	none	none	none	none	none	none	none	none	none
