name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сахар белый прессованный кусковой, 1кг	81,50 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/83/p/sahar-belyj-pressovannyj-kuskovoj-1kg-625	Wed Jul  3 15:04:49 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар Русский Сахар белый кусковой категории экстра, 1кг	149,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/83/p/sahar-russkij-sahar-belyj-kuskovoj-kategorii-ekstra-1kg-4092763	Wed Jul  3 15:04:49 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар Чайкофский рафинад, 500г	79,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/83/p/sahar-cajkofskij-rafinad-500g-66355	Wed Jul  3 15:04:49 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар тростниковый кусковой нерафинированный Market Collection, 500г	189,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/83/p/sahar-trostnikovyj-kuskovoj-nerafinirovannyj-market-collection-500g-4282808	Wed Jul  3 15:04:49 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар тростниковый кусковой Маркет, 500г	149,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/83/p/sahar-trostnikovyj-kuskovoj-market-500g-4269180	Wed Jul  3 15:04:49 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар Naturiqa Экстра белый кусковой, 500г	77,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/83/p/sahar-naturiqa-ekstra-belyj-kuskovoj-500g-4137488	Wed Jul  3 15:04:49 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар Чуточка тростниковый прессованный кусковой колотый, 420г	169,99 ₽/шт	420 гр	https://www.perekrestok.ru/cat/83/p/sahar-cutocka-trostnikovyj-pressovannyj-kuskovoj-kolotyj-420g-3651345	Wed Jul  3 15:04:49 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар Мистраль тростниковый нерафинированный кусковой, 500г	449,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/83/p/sahar-mistral-trostnikovyj-nerafinirovannyj-kuskovoj-500g-2113550	Wed Jul  3 15:04:49 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар Чуточка прессованный кусковой колотый, 420г	159,99 ₽/шт	420 гр	https://www.perekrestok.ru/cat/83/p/sahar-cutocka-pressovannyj-kuskovoj-kolotyj-420g-3651344	Wed Jul  3 15:04:49 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар Советский Экстра, 1кг	129,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/83/p/sahar-sovetskij-ekstra-1kg-3650732	Wed Jul  3 15:04:49 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар Чайкофский белый кристаллический свекловичный категории экстра, 750г	119,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/83/p/sahar-cajkofskij-belyj-kristalliceskij-sveklovicnyj-kategorii-ekstra-750g-3902622	Wed Jul  3 15:04:49 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар Мистраль тростниковый нерафинированный, 900г	299,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/83/p/sahar-mistral-trostnikovyj-nerafinirovannyj-900g-3626867	Wed Jul  3 15:04:49 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар тростниковый кристаллический Маркет, 1кг	249,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/83/p/sahar-trostnikovyj-kristalliceskij-market-1kg-4269179	Wed Jul  3 15:04:49 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар тростниковый кристаллический нерафинированный Market Collection, 650г	239,99 ₽/шт	650 гр	https://www.perekrestok.ru/cat/83/p/sahar-trostnikovyj-kristalliceskij-nerafinirovannyj-market-collection-650g-4293934	Wed Jul  3 15:04:49 2024	none	none	none	none	none	none	none	none	none	none	none
