name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Шарики Любятово шоколадные, 500г	229,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/748/p/sariki-lubatovo-sokoladnye-500g-3659063	Wed Jul  3 15:04:55 2024	none	none	none	none	none	none	none	none	none	none	none
Завтраки Любятово Шарики шоколадные готовые, 200г	124,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/749/p/zavtraki-lubatovo-sariki-sokoladnye-gotovye-200g-4123127	Wed Jul  3 15:04:55 2024	none	none	none	none	none	none	none	none	none	none	none
Готовый шоколадный завтрак Хрутка обогащённый кальцием, 350г	189,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/749/p/gotovyj-sokoladnyj-zavtrak-hrutka-obogasennyj-kalciem-350g-4239005	Wed Jul  3 15:04:55 2024	none	none	none	none	none	none	none	none	none	none	none
Готовый шоколадный завтрак Хрутка DUO обогащенный кальцием, 350г	189,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/749/p/gotovyj-sokoladnyj-zavtrak-hrutka-duo-obogasennyj-kalciem-350g-4239004	Wed Jul  3 15:04:55 2024	none	none	none	none	none	none	none	none	none	none	none
Шарики Ухтышки со вкусом шоколада, 250г	104,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/749/p/sariki-uhtyski-so-vkusom-sokolada-250g-4030128	Wed Jul  3 15:04:55 2024	none	none	none	none	none	none	none	none	none	none	none
Готовый шоколадный завтрак Хрутка DUO обогащённый кальцием, 230г	159,99 ₽/шт	230 гр	https://www.perekrestok.ru/cat/749/p/gotovyj-sokoladnyj-zavtrak-hrutka-duo-obogasennyj-kalciem-230g-4239009	Wed Jul  3 15:04:55 2024	none	none	none	none	none	none	none	none	none	none	none
Готовый шоколадный завтрак Хрутка обогащённый кальцием, 650г	289,99 ₽/шт	650 гр	https://www.perekrestok.ru/cat/749/p/gotovyj-sokoladnyj-zavtrak-hrutka-obogasennyj-kalciem-650g-4239008	Wed Jul  3 15:04:55 2024	none	none	none	none	none	none	none	none	none	none	none
Готовый шоколадный завтрак Хрутка обогащенный кальцием, 230г	169,99 ₽/шт	230 гр	https://www.perekrestok.ru/cat/749/p/gotovyj-sokoladnyj-zavtrak-hrutka-obogasennyj-kalciem-230g-4239012	Wed Jul  3 15:04:55 2024	none	none	none	none	none	none	none	none	none	none	none
Шарики Nestlé Хрутка мультизлаковые медовые, 230г	139,99 ₽/шт	230 гр	https://www.perekrestok.ru/cat/749/p/sariki-nestle-hrutka-multizlakovye-medovye-230g-3363324	Wed Jul  3 15:04:55 2024	none	none	none	none	none	none	none	none	none	none	none
Шарики Любятово Дуо Микс шоколадные, 200г	164,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/749/p/sariki-lubatovo-duo-miks-sokoladnye-200g-4263849	Wed Jul  3 15:04:55 2024	none	none	none	none	none	none	none	none	none	none	none
Шарики кукурузные Happy Mallow глазированные обогащённые витаминами и железом с Crispy, 240г	309,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/251/p/sariki-kukuruznye-happy-mallow-glazirovannye-obogasennye-vitaminami-i-zelezom-s-crispy-240g-4127886	Wed Jul  3 15:04:55 2024	none	none	none	none	none	none	none	none	none	none	none
Шарики Увелка клубнично-йогуртовые, 200г	69,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/749/p/sariki-uvelka-klubnicno-jogurtovye-200g-4070024	Wed Jul  3 15:19:37 2024	none	none	none	none	none	none	none	none	none	none	none
Шарики Увелка сливочно-банановые глазированные сахарным сиропом, 200г	69,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/749/p/sariki-uvelka-slivocno-bananovye-glazirovannye-saharnym-siropom-200g-4131236	Wed Jul  3 15:19:37 2024	none	none	none	none	none	none	none	none	none	none	none
Завтрак сухой Любятово Медовые шарики и звездочки, 420г	169,99 ₽/шт	420 гр	https://www.perekrestok.ru/cat/749/p/zavtrak-suhoj-lubatovo-medovye-sariki-i-zvezdocki-420g-3659064	Wed Jul  3 15:19:37 2024	none	none	none	none	none	none	none	none	none	none	none
Готовый шоколадный завтрак Хрутка обогащённый кальцием, 650г	369,99 ₽/шт	650 гр	https://www.perekrestok.ru/cat/749/p/gotovyj-sokoladnyj-zavtrak-hrutka-obogasennyj-kalciem-650g-4239011	Wed Jul  3 15:19:37 2024	none	none	none	none	none	none	none	none	none	none	none
Шарики Кузя Лакомкин шоколадные мультизерновые, 215г	84,99 ₽/шт	215 гр	https://www.perekrestok.ru/cat/749/p/sariki-kuza-lakomkin-sokoladnye-multizernovye-215g-3606791	Wed Jul  3 15:19:37 2024	none	none	none	none	none	none	none	none	none	none	none
Шарики Leonardo шоколадные, 200г	114,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/749/p/sariki-leonardo-sokoladnye-200g-4239614	Wed Jul  3 15:19:37 2024	none	none	none	none	none	none	none	none	none	none	none
Завтрак готовый Вастэко из полбы шоколадные шарики, 200г	179,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/749/p/zavtrak-gotovyj-vasteko-iz-polby-sokoladnye-sariki-200g-3984457	Wed Jul  3 15:19:37 2024	none	none	none	none	none	none	none	none	none	none	none
