name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Семечки От Мартина отборные жареные, 100г	79,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-zarenye-100g-3072541	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
Семечки От Мартина чёрные отборные жареные с морской солью, 100г	59,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-cernye-otbornye-zarenye-s-morskoj-solu-100g-3469303	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
Семечки подсолнечника Джинн жареные солёные, 100г	99,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semecki-podsolnecnika-dzinn-zarenye-solenye-100g-4066289	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
Семечки От Мартина отборные жареные, 200г	149,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-zarenye-200g-3403508	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
Семечки подсолнуха От Мартина полосатые с солью, 150г	134,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/161/p/semecki-podsolnuha-ot-martina-polosatye-s-solu-150g-3661124	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
Семечки От Мартина отборные, 200г	149,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-200g-3669122	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
Семечки подсолнечника жареные Пр!ст, 100г	12,80 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semecki-podsolnecnika-zarenye-pr-st-100g-3473272	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
Семечки От Мартина белые солёные, 100г	85,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-belye-solenye-100g-3348828	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
Семечки подсолнечника жареные Пр!ст, 300г	75,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/161/p/semecki-podsolnecnika-zarenye-pr-st-300g-3473273	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
Семечки От Мартина отборные, 500г	369,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-500g-3624461	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
Семечки подсолнечника От Атамана жареные с морской солью, 100г	49,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semecki-podsolnecnika-ot-atamana-zarenye-s-morskoj-solu-100g-3613320	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
Семечки От Мартина отборные микс жареные солёные с несолёными, 200г	149,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/161/p/semecki-ot-martina-otbornye-miks-zarenye-solenye-s-nesolenymi-200g-3669391	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
Семена тыквы очищенные  Зелёная Линия, 150г	229,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/161/p/semena-tykvy-ocisennye-zelenaa-linia-150g-4116888	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
Семечки тыквенные От Мартина жареные неочищенные с солью, 100г	159,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semecki-tykvennye-ot-martina-zarenye-neocisennye-s-solu-100g-3503953	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
Семена тыквы обжаренные солёные Маркет, 100г	149,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/161/p/semena-tykvy-obzarennye-solenye-market-100g-4302861	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
Семечки тыквенные Семушка жареные 80г	209,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/161/p/semecki-tykvennye-semuska-zarenye-80g-3363400	Wed Jul  3 15:05:10 2024	none	none	none	none	none	none	none	none	none	none	none
