name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сидр Дальняя Дача №1 яблочный сухой, 500мл	239,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/7/p/sidr-dalnaa-daca-no1-ablocnyj-suhoj-500ml-4250517	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Дальняя Дача №2 яблочный полусухой, 500мл	239,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/7/p/sidr-dalnaa-daca-no2-ablocnyj-polusuhoj-500ml-4250518	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Double Tree яблоко полусухой непастеризованный фильтрованный газированный 5.6%, 450мл	99,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/7/p/sidr-double-tree-abloko-polusuhoj-nepasterizovannyj-filtrovannyj-gazirovannyj-5-6-450ml-4244955	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Василеостровская Пивоварня игристый полусухой пастеризованный фильтрованный 4.7%, 750мл	219,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/7/p/sidr-vasileostrovskaa-pivovarna-igristyj-polusuhoj-pasterizovannyj-filtrovannyj-4-7-750ml-4282287	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр яблочный игристый полусухой 3.9% Маркет, 500мл	199,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/7/p/sidr-ablocnyj-igristyj-polusuhoj-3-9-market-500ml-4255344	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Chesters фруктовый Вишневый сладкий газированный 5%, 450мл	89,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/7/p/sidr-chesters-fruktovyj-visnevyj-sladkij-gazirovannyj-5-450ml-4268529	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Chester’s грушевый сладкий газированный 5%, 450мл	89,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/7/p/sidr-chesters-grusevyj-sladkij-gazirovannyj-5-450ml-4268530	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Chester’s яблочный сладкий газированный 5%, 450мл	89,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/7/p/sidr-chesters-ablocnyj-sladkij-gazirovannyj-5-450ml-4268532	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Bon Season газированный пастеризованный сладкий 4.5%, 400мл	75,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/7/p/sidr-bon-season-gazirovannyj-pasterizovannyj-sladkij-4-5-400ml-4200679	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Bon Season газированный пастеризованный сладкий 4.5%, 430мл	75,99 ₽/шт	430 мл	https://www.perekrestok.ru/cat/7/p/sidr-bon-season-gazirovannyj-pasterizovannyj-sladkij-4-5-430ml-4200680	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Дальняя Дача №3 яблочный полусладкий, 500мл	239,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/7/p/sidr-dalnaa-daca-no3-ablocnyj-polusladkij-500ml-4250516	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Double Tree PR груша полусладкий непастеризованный фильтрованный газированный 5.6%, 450мл	99,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/7/p/sidr-double-tree-pr-grusa-polusladkij-nepasterizovannyj-filtrovannyj-gazirovannyj-5-6-450ml-4244953	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Double Tree красное яблоко полусладкий непастеризованный фильтрованный газированный 5.6%, 450мл	99,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/7/p/sidr-double-tree-krasnoe-abloko-polusladkij-nepasterizovannyj-filtrovannyj-gazirovannyj-5-6-450ml-4244952	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Cidre Royal Яблочный с грушей особый полусладкий газированный, 330мл	99,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/7/p/sidr-cidre-royal-ablocnyj-s-grusej-osobyj-polusladkij-gazirovannyj-330ml-4096585	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Medovarus Пуаре грушевый полусладкий игристый 4.5%, 330мл	99,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/7/p/sidr-medovarus-puare-grusevyj-polusladkij-igristyj-4-5-330ml-3633220	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Яблочный газированный полусладкий 5% Маркет, 500мл	199,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/7/p/sidr-ablocnyj-gazirovannyj-polusladkij-5-market-500ml-4255493	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Cidre Royal Яблочный особый полусладкий 4.5%, 0.33л	134,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/7/p/sidr-cidre-royal-ablocnyj-osobyj-polusladkij-4-5-0-33l-4097470	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Medovarus яблочный полусладкий жемчужный игристый 4.5%, 330мл	99,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/7/p/sidr-medovarus-ablocnyj-polusladkij-zemcuznyj-igristyj-4-5-330ml-3632295	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр St. Anton Пуаре грушевый полусладкий газированный 5%, 500мл	174,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/7/p/sidr-st-anton-puare-grusevyj-polusladkij-gazirovannyj-5-500ml-3482000	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Possmann Яблочный фильтрованный 4.2%, 1л	449,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/7/p/sidr-possmann-ablocnyj-filtrovannyj-4-2-1l-4199708	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Медовуха Традиционная фильтрованная непастеризованная 5.8%, 1л	239,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/7/p/medovuha-tradicionnaa-filtrovannaa-nepasterizovannaa-5-8-1l-4323341	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр La Bolee Bretonne игристый полусухой 5%, 750мл	409,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/7/p/sidr-la-bolee-bretonne-igristyj-polusuhoj-5-750ml-4269076	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Медовуха Хмельной мёд Вишнёвый крик фильтрованная непастеризованная 5.5%, 1л	259,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/7/p/medovuha-hmelnoj-med-visnevyj-krik-filtrovannaa-nepasterizovannaa-5-5-1l-4323339	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Пуаре Clos Des Ducs игристый полусладкий 3%, 750мл	519,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/7/p/puare-clos-des-ducs-igristyj-polusladkij-3-750ml-4269077	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр фруктовый Бон Сезон Груша ароматизированный газированный сладкий фильтрованный пастеризованный, 400мл	75,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/9/p/sidr-fruktovyj-bon-sezon-grusa-aromatizirovannyj-gazirovannyj-sladkij-filtrovannyj-pasterizovannyj-400ml-4269226	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Пикси Традиционный полусладкий нефильтрованный непастеризованный осветлённый 5.5%, 500мл	249,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/7/p/sidr-piksi-tradicionnyj-polusladkij-nefiltrovannyj-nepasterizovannyj-osvetlennyj-5-5-500ml-4325905	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
Сидр Bullevie 1883 Традиционный полусладкий нефильтрованный осветлённый 5.5%, 500мл	249,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/7/p/sidr-bullevie-1883-tradicionnyj-polusladkij-nefiltrovannyj-osvetlennyj-5-5-500ml-4325901	Wed Jul  3 15:05:31 2024	none	none	none	none	none	none	none	none	none	none	none
