name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сироп кленовый Зелёная Линия, 200мл	469,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/252/p/sirop-klenovyj-zelenaa-linia-200ml-4155971	Wed Jul  3 15:05:17 2024	none	none	none	none	none	none	none	none	none	none	none
Сироп Клубничный Маркет, 250мл	129,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/110/p/sirop-klubnicnyj-market-250ml-4277904	Wed Jul  3 15:05:17 2024	none	none	none	none	none	none	none	none	none	none	none
Сироп со вкусом малины Маркет, 250мл	129,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/110/p/sirop-so-vkusom-maliny-market-250ml-4277905	Wed Jul  3 15:05:17 2024	none	none	none	none	none	none	none	none	none	none	none
Сироп голубой агавы светлый Зелёная Линия, 240мл	269,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/252/p/sirop-goluboj-agavy-svetlyj-zelenaa-linia-240ml-4038274	Wed Jul  3 15:05:17 2024	none	none	none	none	none	none	none	none	none	none	none
Сироп Мохито со вкусом лимона и мяты Маркет, 250мл	139,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/110/p/sirop-mohito-so-vkusom-limona-i-maty-market-250ml-4277909	Wed Jul  3 15:05:17 2024	none	none	none	none	none	none	none	none	none	none	none
Сироп Маракуйя Маркет, 250мл	139,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/110/p/sirop-marakuja-market-250ml-4277906	Wed Jul  3 15:05:17 2024	none	none	none	none	none	none	none	none	none	none	none
Сироп голубой агавы тёмный Зелёная Линия, 240мл	269,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/252/p/sirop-goluboj-agavy-temnyj-zelenaa-linia-240ml-4038275	Wed Jul  3 15:05:17 2024	none	none	none	none	none	none	none	none	none	none	none
Сироп Соленая Карамель Маркет, 250 мл	139,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/110/p/sirop-solenaa-karamel-market-250-ml-4277908	Wed Jul  3 15:05:17 2024	none	none	none	none	none	none	none	none	none	none	none
Топпинг Махеевъ мягкая карамель, 300мл	99,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/110/p/topping-maheev-magkaa-karamel-300ml-4038129	Wed Jul  3 15:05:17 2024	none	none	none	none	none	none	none	none	none	none	none
Сироп Мадагаскарская ваниль Маркет, 250мл	139,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/110/p/sirop-madagaskarskaa-vanil-market-250ml-4277907	Wed Jul  3 15:05:17 2024	none	none	none	none	none	none	none	none	none	none	none
Сбитень Столбушино медовый с травами и пряностями Зелёная Линия, 250мл	409,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/110/p/sbiten-stolbusino-medovyj-s-travami-i-pranostami-zelenaa-linia-250ml-4200319	Wed Jul  3 15:05:17 2024	none	none	none	none	none	none	none	none	none	none	none
Сироп Имбирный с лимоном фреш, 250мл	159,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/110/p/sirop-imbirnyj-s-limonom-fres-250ml-4027434	Wed Jul  3 15:19:56 2024	none	none	none	none	none	none	none	none	none	none	none
