name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Напиток Nemiroff Коктейль слабоалкогольный со вкусом дыни текилы лайма 7%, 330мл	83,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/11/p/napitok-nemiroff-koktejl-slaboalkogolnyj-so-vkusom-dyni-tekily-lajma-7-330ml-4297346	Wed Jul  3 15:05:38 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Nemiroff слабоалкогольный спиртованный газированный со вкусом ананаса рома и кокоса, 330мл	85,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/11/p/napitok-nemiroff-slaboalkogolnyj-spirtovannyj-gazirovannyj-so-vkusom-ananasa-roma-i-kokosa-330ml-4267795	Wed Jul  3 15:05:38 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Nemiroff спиртованный газированный со вкусом ежевики рома и лайма, 330мл	85,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/11/p/napitok-nemiroff-spirtovannyj-gazirovannyj-so-vkusom-ezeviki-roma-i-lajma-330ml-4267799	Wed Jul  3 15:05:38 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток слабоалкогольный Relax Royal Dream газированный 5.5%, 330мл	104,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/11/p/napitok-slaboalkogolnyj-relax-royal-dream-gazirovannyj-5-5-330ml-4233118	Wed Jul  3 15:05:38 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Feellini Dessert Citrus слабоалкогольный газированный 5.5%, 330мл	63,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/11/p/napitok-feellini-dessert-citrus-slaboalkogolnyj-gazirovannyj-5-5-330ml-4151627	Wed Jul  3 15:05:38 2024	none	none	none	none	none	none	none	none	none	none	none
Соджу Jinro со вкусом и ароматом клубники 13%, 360мл	549,99 ₽/шт	360 мл	https://www.perekrestok.ru/cat/11/p/sodzu-jinro-so-vkusom-i-aromatom-klubniki-13-360ml-4063715	Wed Jul  3 15:05:38 2024	none	none	none	none	none	none	none	none	none	none	none
Соджу Jinro со вкусом и ароматом грейпфрута 13%, 360мл	549,99 ₽/шт	360 мл	https://www.perekrestok.ru/cat/11/p/sodzu-jinro-so-vkusom-i-aromatom-grejpfruta-13-360ml-4063710	Wed Jul  3 15:05:38 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Джин-тоник классический слабоалкогольный 7.2%, 450мл	124,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/11/p/napitok-dzin-tonik-klassiceskij-slaboalkogolnyj-7-2-450ml-3977131	Wed Jul  3 15:05:38 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток слабоалкогольный Hooch Супер со вкусом грейпфрута газированный 7.2%, 450мл	119,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/11/p/napitok-slaboalkogolnyj-hooch-super-so-vkusom-grejpfruta-gazirovannyj-7-2-450ml-3969441	Wed Jul  3 15:05:38 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток слабоалкогольный Hooch Супер со вкусом чёрной смородины газированный 7.2%, 450мл	139,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/11/p/napitok-slaboalkogolnyj-hooch-super-so-vkusom-cernoj-smorodiny-gazirovannyj-7-2-450ml-3969442	Wed Jul  3 15:05:38 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль Черный Русский с коньяком и вкусом миндаля слабоалкогольный 7.2%, 450мл	129,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/11/p/koktejl-cernyj-russkij-s-konakom-i-vkusom-mindala-slaboalkogolnyj-7-2-450ml-3977135	Wed Jul  3 15:05:38 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток слабоалкогольный Джага газированный 7.2%, 450мл	139,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/11/p/napitok-slaboalkogolnyj-dzaga-gazirovannyj-7-2-450ml-4250087	Wed Jul  3 15:05:38 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток слабоалкогольный Казанова Дыня газированный 7.2%, 450мл	139,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/11/p/napitok-slaboalkogolnyj-kazanova-dyna-gazirovannyj-7-2-450ml-3690257	Wed Jul  3 15:05:38 2024	none	none	none	none	none	none	none	none	none	none	none
Спиртной напиток Aperol в наборе с бокалом 11%, 700мл	1 699,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/3/p/spirtnoj-napitok-aperol-v-nabore-s-bokalom-11-700ml-4309022	Wed Jul  3 15:05:38 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Santanelli Рэд слабоалкогольный газированный 7.5%, 750мл	164,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/3/p/napitok-santanelli-red-slaboalkogolnyj-gazirovannyj-7-5-750ml-4216012	Wed Jul  3 15:05:38 2024	none	none	none	none	none	none	none	none	none	none	none
