name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Коктейль J7 яблоко-персик-манго с овсяными хлопьями, 300мл	104,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/koktejl-j7-abloko-persik-mango-s-ovsanymi-hlopami-300ml-4227656	Wed Jul  3 15:03:45 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль J7 яблоко-персик-манго с овсяными хлопьями, 300мл	104,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/koktejl-j7-abloko-persik-mango-s-ovsanymi-hlopami-300ml-4227656	Wed Jul  3 15:03:45 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток сокосодержащий Добрый Ягодный микс обогащённый витаминами для детей, 950мл	99,99 ₽/шт	950 мл	https://www.perekrestok.ru/cat/213/p/napitok-sokosoderzasij-dobryj-agodnyj-miks-obogasennyj-vitaminami-dla-detej-950ml-4192482	Wed Jul  3 15:03:45 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток сокосодержащий Добрый Тропический микс обогащённый витаминами для детей, 950мл	99,99 ₽/шт	950 мл	https://www.perekrestok.ru/cat/213/p/napitok-sokosoderzasij-dobryj-tropiceskij-miks-obogasennyj-vitaminami-dla-detej-950ml-4192483	Wed Jul  3 15:03:45 2024	none	none	none	none	none	none	none	none	none	none	none
Смузи Be Up ягодно-фруктовый банан клубника, 300мл	109,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/smuzi-be-up-agodno-fruktovyj-banan-klubnika-300ml-4239132	Wed Jul  3 15:03:45 2024	none	none	none	none	none	none	none	none	none	none	none
Смузи Be Up фруктовый банан маракуйя, 300мл	109,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/smuzi-be-up-fruktovyj-banan-marakuja-300ml-4239124	Wed Jul  3 15:03:45 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток безалкогольный Slim Dream Смузи Банан-клубника-базилик негазированный, 300мл	129,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/napitok-bezalkogolnyj-slim-dream-smuzi-banan-klubnika-bazilik-negazirovannyj-300ml-4141061	Wed Jul  3 15:03:45 2024	none	none	none	none	none	none	none	none	none	none	none
Продукт питьевой J7 Полезный завтрак Яблоко-Ананас-Банан-Киви-Манго, 300мл	99,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/produkt-pitevoj-j7-poleznyj-zavtrak-abloko-ananas-banan-kivi-mango-300ml-4123388	Thu Jul  4 09:45:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль J7 из вишни, бананов и яблок с овсяными хлопьями, 300мл	85,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/koktejl-j7-iz-visni-bananov-i-ablok-s-ovsanymi-hlopami-300ml-4227655	Thu Jul  4 09:45:48 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль J7 из вишни, бананов и яблок с овсяными хлопьями, 300мл	85,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/koktejl-j7-iz-visni-bananov-i-ablok-s-ovsanymi-hlopami-300ml-4227655	Thu Jul  4 09:45:48 2024	none	none	none	none	none	none	none	none	none	none	none
Продукт питьевой J7 Полезный завтрак Яблоко-Ананас-Банан-Киви-Манго, 300мл	99,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/produkt-pitevoj-j7-poleznyj-zavtrak-abloko-ananas-banan-kivi-mango-300ml-4123388	Thu Jul  4 09:45:48 2024	none	none	none	none	none	none	none	none	none	none	none
