name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Кукурузные снеки Cheetos Сыр, 85г	84,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/709/p/kukuruznye-sneki-cheetos-syr-85g-3196707	Wed Jul  3 15:03:04 2024	none	none	none	none	none	none	none	none	none	none	none
Палочки кукурузные Cheetos Сыр, 50г	59,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/palocki-kukuruznye-cheetos-syr-50g-4179192	Wed Jul  3 15:03:04 2024	none	none	none	none	none	none	none	none	none	none	none
Кукурузные снеки Cheetos Кетчуп, 85г	84,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/709/p/kukuruznye-sneki-cheetos-ketcup-85g-3224542	Wed Jul  3 15:03:04 2024	none	none	none	none	none	none	none	none	none	none	none
Палочки Cheetos кукурузные Кетчуп, 50г	65,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/palocki-cheetos-kukuruznye-ketcup-50g-4179193	Wed Jul  3 15:03:04 2024	none	none	none	none	none	none	none	none	none	none	none
Шарики кукурузные СырBall со вкусом сыра, 140г	144,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/709/p/sariki-kukuruznye-syrball-so-vkusom-syra-140g-3437912	Wed Jul  3 15:03:04 2024	none	none	none	none	none	none	none	none	none	none	none
Снеки Cheetos Ветчина и сыр кукурузные, 50г	75,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/sneki-cheetos-vetcina-i-syr-kukuruznye-50g-4281894	Wed Jul  3 15:03:04 2024	none	none	none	none	none	none	none	none	none	none	none
Снеки Cheetos кукурузные со вкусом краба, 50г	65,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/sneki-cheetos-kukuruznye-so-vkusom-kraba-50g-4237428	Wed Jul  3 15:03:04 2024	none	none	none	none	none	none	none	none	none	none	none
Снеки Сырколбас кукурузные со вкусом сыр и колбаса, 100г	149,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/709/p/sneki-syrkolbas-kukuruznye-so-vkusom-syr-i-kolbasa-100g-4233208	Wed Jul  3 15:03:04 2024	none	none	none	none	none	none	none	none	none	none	none
Кукуруза Грызли жареная со вкусом бекона, 50г	65,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/kukuruza-gryzli-zarenaa-so-vkusom-bekona-50g-4345228	Wed Jul  3 15:03:04 2024	none	none	none	none	none	none	none	none	none	none	none
Кукуруза Грызли жареная со вкусом васаби, 50г	65,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/kukuruza-gryzli-zarenaa-so-vkusom-vasabi-50g-4345231	Wed Jul  3 15:03:04 2024	none	none	none	none	none	none	none	none	none	none	none
Кукуруза Грызли жареная со вкусом хрена, 50г	65,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/709/p/kukuruza-gryzli-zarenaa-so-vkusom-hrena-50g-4345224	Wed Jul  3 15:03:04 2024	none	none	none	none	none	none	none	none	none	none	none
Шарики СырBall кукурузные со вкусом кетчупа, 140г	99,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/709/p/sariki-syrball-kukuruznye-so-vkusom-ketcupa-140g-4276923	Wed Jul  3 15:03:04 2024	none	none	none	none	none	none	none	none	none	none	none
Снеки Сыр Cheesky Хрустящая Моцарелла со вкусом лука со сметаной 30%, 20г	58,99 ₽/шт	20 гр	https://www.perekrestok.ru/cat/709/p/sneki-syr-cheesky-hrustasaa-mocarella-so-vkusom-luka-so-smetanoj-30-20g-3956395	Wed Jul  3 15:03:04 2024	none	none	none	none	none	none	none	none	none	none	none
Зерна кукурузы обжаренные солёные Маркет, 100г	95,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/709/p/zerna-kukuruzy-obzarennye-solenye-market-100g-4312216	Thu Jul  4 08:47:35 2024	none	none	none	none	none	none	none	none	none	none	none
Чипсы Bitcom хеллоины с луком и сметаной хлебные, 150г	63,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/709/p/cipsy-bitcom-helloiny-s-lukom-i-smetanoj-hlebnye-150g-4235660	Thu Jul  4 08:47:35 2024	none	none	none	none	none	none	none	none	none	none	none
Лавашики Azar хрустящие со вкусом и ароматом сыр с чесноком, 90г	114,99 ₽/шт	90 гр	https://www.perekrestok.ru/cat/709/p/lavasiki-azar-hrustasie-so-vkusom-i-aromatom-syr-s-cesnokom-90g-4260002	Thu Jul  4 08:47:35 2024	none	none	none	none	none	none	none	none	none	none	none
