name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Шоколад молочный Alpen Gold Max Fun взрывная карамель-мармелад-печенье, 150г	239,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-alpen-gold-max-fun-vzryvnaa-karamel-marmelad-pecene-150g-4053803	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Milka, 85г	144,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-milka-85g-4109507	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Milka с цельным фундуком, 85г	149,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-milka-s-celnym-fundukom-85g-4109505	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад Babyfox молочный с молочной начинкой, 45г	47,99 ₽/шт	45 гр	https://www.perekrestok.ru/cat/195/p/sokolad-babyfox-molocnyj-s-molocnoj-nacinkoj-45g-4289719	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Ritter Sport Цельный лесной орех, 100г	149,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-ritter-sport-celnyj-lesnoj-oreh-100g-3490515	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Kinder Chocolate с молочной начинкой, 50г	79,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-kinder-chocolate-s-molocnoj-nacinkoj-50g-17342	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Kinder Chocolate Country со злаками, 23.5г	59,99 ₽/шт	24 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-kinder-chocolate-country-so-zlakami-23-5g-71031	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад Alpen Gold молочный с фундуком, 80г	109,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/195/p/sokolad-alpen-gold-molocnyj-s-fundukom-80g-4329955	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад Alpen Gold молочный, 80г	119,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/195/p/sokolad-alpen-gold-molocnyj-80g-4329962	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Kinder Chocolate с молочной начинкой, 100г	169,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-kinder-chocolate-s-molocnoj-nacinkoj-100g-17333	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад Alpen Gold молочный с фундуком и изюмом, 80г	109,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/195/p/sokolad-alpen-gold-molocnyj-s-fundukom-i-izumom-80g-4329958	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Воздушный пористый, 85г	99,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-vozdusnyj-poristyj-85g-3468717	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Алёнка, 20г	43,99 ₽/шт	20 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-alenka-20g-2158976	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад SNAQ FABRIQ молочный со сливочной начинкой, 34г	75,99 ₽/шт	34 гр	https://www.perekrestok.ru/cat/195/p/sokolad-snaq-fabriq-molocnyj-so-slivocnoj-nacinkoj-34g-4287178	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Toblerone швейцарский с медово-миндальной нугой, 100г	189,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-toblerone-svejcarskij-s-medovo-mindalnoj-nugoj-100g-25448	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Milka с карамельной начинкой, 90г	154,99 ₽/шт	90 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-milka-s-karamelnoj-nacinkoj-90g-3468707	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Milka с фундуком, 85г	104,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-milka-s-fundukom-85g-4109510	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Ritter Sport Альпийское молоко, 100г	104,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-ritter-sport-alpijskoe-moloko-100g-4258927	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Яйцо шоколадное Kinder сюрприз с игрушкой в ассортименте, 20г	99,99 ₽/шт	20 гр	https://www.perekrestok.ru/cat/195/p/ajco-sokoladnoe-kinder-surpriz-s-igruskoj-v-assortimente-20g-3157836	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Alpen Gold Орео со вкусом ванили и кусочками печенья, 90г	93,99 ₽/шт	90 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-alpen-gold-oreo-so-vkusom-vanili-i-kusockami-pecena-90g-4158032	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Milka Bubbles пористый, 76г	164,99 ₽/шт	76 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-milka-bubbles-poristyj-76g-4109513	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Milka с цельным миндалём, 85г	124,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-milka-s-celnym-mindalem-85g-4109511	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Ritter Sport с клубнично-йогуртовой начинкой и кусочками клубники, 100г	184,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-ritter-sport-s-klubnicno-jogurtovoj-nacinkoj-i-kusockami-klubniki-100g-3921800	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад Alpen Gold молочный с соленым арахисом и крекером, 80г	109,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/195/p/sokolad-alpen-gold-molocnyj-s-solenym-arahisom-i-krekerom-80g-4329956	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Яйцо Kinder Сюрприз из молочного шоколада с игрушкой ApplayDu, 20г	99,99 ₽/шт	20 гр	https://www.perekrestok.ru/cat/195/p/ajco-kinder-surpriz-iz-molocnogo-sokolada-s-igruskoj-applaydu-20g-3147882	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад Alpen Gold молочный с клубнично-йогуртовой начинкой, 80г	109,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/195/p/sokolad-alpen-gold-molocnyj-s-klubnicno-jogurtovoj-nacinkoj-80g-4329953	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Ritter Sport с лесным орехом, 100г	169,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-ritter-sport-s-lesnym-orehom-100g-3682177	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Ritter Sport Какао Мусс, 100г	219,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-ritter-sport-kakao-muss-100g-4318167	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Ritter Sport с начинкой какао и вафли, 100г	184,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-ritter-sport-s-nacinkoj-kakao-i-vafli-100g-3966430	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
Шоколад молочный Kinder Chocolate со злаками, 94г	239,99 ₽/шт	94 гр	https://www.perekrestok.ru/cat/195/p/sokolad-molocnyj-kinder-chocolate-so-zlakami-94g-3447877	Wed Jul  3 15:03:17 2024	none	none	none	none	none	none	none	none	none	none	none
