name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Соль морская йодированная поваренная пищевая Маркет Перекрёсток, 500г	69,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/101/p/sol-morskaa-jodirovannaa-povarennaa-pisevaa-market-perekrestok-500g-3652519	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль гималайская Зелёная Линия, 400г	99,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/101/p/sol-gimalajskaa-zelenaa-linia-400g-4221321	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль Адыгейская Абадзехская поваренная пищевая Маркет Перекрёсток, 300г	69,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/101/p/sol-adygejskaa-abadzehskaa-povarennaa-pisevaa-market-perekrestok-300g-4105539	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль пищевая универсальная с грузинскими травами Маркет Перекрёсток, 200г	129,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/101/p/sol-pisevaa-universalnaa-s-gruzinskimi-travami-market-perekrestok-200g-4105542	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль поваренная пищевая крупная, 1кг	13,90 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/101/p/sol-povarennaa-pisevaa-krupnaa-1kg-3255026	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль поваренная пищевая мелкая, 1кг	25,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/101/p/sol-povarennaa-pisevaa-melkaa-1kg-3231335	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль Salina каменная поваренная пищевая помол №1, 1кг	39,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/101/p/sol-salina-kamennaa-povarennaa-pisevaa-pomol-no1-1kg-3450465	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль Адыгейская Абадзехская поваренная пищевая Маркет Перекрёсток, 300г	69,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/101/p/sol-adygejskaa-abadzehskaa-povarennaa-pisevaa-market-perekrestok-300g-4105539	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль Salina пищевая каменная, 1кг	39,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/101/p/sol-salina-pisevaa-kamennaa-1kg-3958082	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль Илецкая поваренная пищевая высшего сорта помол 1, 500г	83,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/101/p/sol-ileckaa-povarennaa-pisevaa-vyssego-sorta-pomol-1-500g-3613637	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль Валетек пищевая с пониженным содержанием натрия-калий-магний-йод, 350г	83,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/101/p/sol-valetek-pisevaa-s-ponizennym-soderzaniem-natria-kalij-magnij-jod-350g-3393119	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль Илецкая поваренная пищевая высшего сорта помол 1, 180г	63,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/101/p/sol-ileckaa-povarennaa-pisevaa-vyssego-sorta-pomol-1-180g-3613636	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль Четверговая Чёрная поваренная пищевая, 140г	124,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/101/p/sol-cetvergovaa-cernaa-povarennaa-pisevaa-140g-3632102	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль морская йодированная поваренная пищевая Маркет Перекрёсток, 500г	69,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/101/p/sol-morskaa-jodirovannaa-povarennaa-pisevaa-market-perekrestok-500g-3652519	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль 4life морская атлантическая йодированная пищевая мелкая, 500г	179,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/101/p/sol-4life-morskaa-atlanticeskaa-jodirovannaa-pisevaa-melkaa-500g-4117216	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль 4Life морская йодированная пищевая мелкая, 250г	104,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/101/p/sol-4life-morskaa-jodirovannaa-pisevaa-melkaa-250g-3507368	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль 4Life морская йодированная пищевая мелкая, 1кг	119,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/101/p/sol-4life-morskaa-jodirovannaa-pisevaa-melkaa-1kg-2157581	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль морская йодированная поваренная пищевая Маркет Перекрёсток, 500г	69,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/101/p/sol-morskaa-jodirovannaa-povarennaa-pisevaa-market-perekrestok-500g-3652519	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль йодированная Экстра Пр!ст, 500г	69,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/101/p/sol-jodirovannaa-ekstra-pr-st-500g-4335115	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль Setra йодированная мелкая, 500г	59,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/101/p/sol-setra-jodirovannaa-melkaa-500g-3224596	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль йодированная пищевая Маркет, 500г	49,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/101/p/sol-jodirovannaa-pisevaa-market-500g-4266811	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль Setra йодированная пищевая крупная, 500г	59,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/101/p/sol-setra-jodirovannaa-pisevaa-krupnaa-500g-3424885	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль Setra йодированная мелкая, 250г	109,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/101/p/sol-setra-jodirovannaa-melkaa-250g-3224598	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль 4Life морская йодированная пищевая мелкая, 250г	104,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/101/p/sol-4life-morskaa-jodirovannaa-pisevaa-melkaa-250g-3507368	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль пищевая морская йодированная помол №0 Маркет, 250г	79,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/101/p/sol-pisevaa-morskaa-jodirovannaa-pomol-no0-market-250g-4328849	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль 4Life морская йодированная пищевая мелкая, 1кг	119,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/101/p/sol-4life-morskaa-jodirovannaa-pisevaa-melkaa-1kg-2157581	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
Соль гималайская Зелёная Линия, 400г	99,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/101/p/sol-gimalajskaa-zelenaa-linia-400g-4221321	Wed Jul  3 15:03:01 2024	none	none	none	none	none	none	none	none	none	none	none
