name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Морковь по-домашнему Маркет Перекрёсток, 300г	129,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/149/p/morkov-po-domasnemu-market-perekrestok-300g-4025047	Wed Jul  3 14:58:00 2024	Морковь по-домашнему Маркет Перекрёсток, 300г	Цена59,99 ₽	Маркет	67.1	1.1 г	4.7 г	5.1 г	Морковь, вода, масло подсолнечное, соль, регулятор кислотности - уксусная кислота, чеснок свежий, усилитель вкуса и аромата - глутомат натрия, кориандр, консервант - сорбиновая кислота, перец чили молотый, комплексная пищевая добавка подсластитель (е952, е954). 	True	True	Wed Jul  3 14:59:24 2024
Перец Чили маринованный Market Collection, 335г	219,99 ₽/шт	335 гр	https://www.perekrestok.ru/cat/76/p/perec-cili-marinovannyj-market-collection-335g-4295387	Wed Jul  3 14:58:00 2024	Перец Чили маринованный Market Collection, 335г	Цена219,99 ₽	Market Collection	42.0	1.7 г	0.3 г	8.1 г	Красный острый перец чили, вода, сахар, соль, укроп, уксусная кислота, чеснок. 	True	True	Wed Jul  3 14:59:25 2024
Огурцы солёные Маркет Fresh, 300г	139,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/149/p/ogurcy-solenye-market-fresh-300g-4188777	Wed Jul  3 14:58:00 2024	Огурцы солёные Маркет Fresh, 300г	Цена139,99 ₽	Маркет	10.0	1.7 г	0.0 г	0.8 г	Огурцы, рассол (вода, соль, чеснок, укроп). 	True	True	Wed Jul  3 14:59:26 2024
Огурцы соленые Маркет Перекрёсток, 500г	139,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/149/p/ogurcy-solenye-market-perekrestok-500g-4187465	Wed Jul  3 14:58:00 2024	none	none	none	none	none	none	none	none	none	none	none
Огурцы солёные Маркет Перекрёсток, 600г	189,99 ₽/шт	600 гр	https://www.perekrestok.ru/cat/149/p/ogurcy-solenye-market-perekrestok-600g-4018706	Wed Jul  3 14:58:00 2024	none	none	none	none	none	none	none	none	none	none	none
Огурцы отборные солёные Market Collection, 600г	169,99 ₽/шт	600 гр	https://www.perekrestok.ru/cat/149/p/ogurcy-otbornye-solenye-market-collection-600g-4188778	Wed Jul  3 14:58:00 2024	none	none	none	none	none	none	none	none	none	none	none
Томаты черри красные солёные Маркет Перекрёсток, 500г	149,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/76/p/tomaty-cerri-krasnye-solenye-market-perekrestok-500g-4020063	Wed Jul  3 14:58:00 2024	none	none	none	none	none	none	none	none	none	none	none
Томаты солёные красные Маркет Перекрёсток, 1кг	169,99 ₽/шт	1000 гр	https://www.perekrestok.ru/cat/149/p/tomaty-solenye-krasnye-market-perekrestok-1kg-4179200	Wed Jul  3 14:58:00 2024	none	none	none	none	none	none	none	none	none	none	none
Капуста по-деревенски квашеная Маркет Перекрёсток, 900г	209,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/149/p/kapusta-po-derevenski-kvasenaa-market-perekrestok-900g-4177537	Wed Jul  3 14:58:00 2024	none	none	none	none	none	none	none	none	none	none	none
Капуста Сладкая квашеная шинкованная Маркет Перекрёсток, 500г	89,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/149/p/kapusta-sladkaa-kvasenaa-sinkovannaa-market-perekrestok-500g-4192371	Wed Jul  3 14:58:00 2024	none	none	none	none	none	none	none	none	none	none	none
Капуста маринованная сладкая Маркет Fresh, 900г	199,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/149/p/kapusta-marinovannaa-sladkaa-market-fresh-900g-4305774	Wed Jul  3 14:58:00 2024	none	none	none	none	none	none	none	none	none	none	none
Капуста Фитнес маринованная Маркет Fresh, 500г	139,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/149/p/kapusta-fitnes-marinovannaa-market-fresh-500g-4343646	Wed Jul  3 14:58:00 2024	none	none	none	none	none	none	none	none	none	none	none
