name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Рыба Горбуша ломтики, 150г	144,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/812/p/ryba-gorbusa-lomtiki-150g-3306370	Wed Jul  3 15:04:16 2024	none	none	none	none	none	none	none	none	none	none	none
Форель радужная филе-кусок слабосолёная Пр!ст, 130г	289,99 ₽/шт	130 гр	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-file-kusok-slabosolenaa-pr-st-130g-4066444	Wed Jul  3 15:04:16 2024	none	none	none	none	none	none	none	none	none	none	none
Форель Рыба-Рыба радужная слабосолёная филе-ломтики, 100г	229,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/812/p/forel-ryba-ryba-raduznaa-slabosolenaa-file-lomtiki-100g-4349602	Wed Jul  3 15:04:16 2024	none	none	none	none	none	none	none	none	none	none	none
Горбуша 3 Fish слабосолёная кусочки для бутербродов, 80г	114,99 ₽/шт	80 мл	https://www.perekrestok.ru/cat/812/p/gorbusa-3-fish-slabosolenaa-kusocki-dla-buterbrodov-80g-3671589	Wed Jul  3 15:04:16 2024	none	none	none	none	none	none	none	none	none	none	none
Форель радужная филе-ломтики слабосоленая Маркет, 120г	199,99 ₽/шт	120 мл	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-file-lomtiki-slabosolenaa-market-120g-4299647	Wed Jul  3 15:04:16 2024	none	none	none	none	none	none	none	none	none	none	none
Форель радужная Меридиан  филе-ломтики слабосолёная, 120г	279,99 ₽/шт	120 гр	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-meridian-file-lomtiki-slabosolenaa-120g-11778	Wed Jul  3 15:04:16 2024	none	none	none	none	none	none	none	none	none	none	none
Форель Сильвер Фиш слабосолёная филе ломтики, 100г	299,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/175/p/forel-silver-fis-slabosolenaa-file-lomtiki-100g-4341150	Wed Jul  3 15:04:16 2024	none	none	none	none	none	none	none	none	none	none	none
Семга Gustafsen филе-кусок солёная, 150г	499,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/175/p/semga-gustafsen-file-kusok-solenaa-150g-4357050	Wed Jul  3 15:04:16 2024	none	none	none	none	none	none	none	none	none	none	none
Филе сельди атлантической слабосоленое в масле Маркет, 250г	159,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/812/p/file-seldi-atlanticeskoj-slabosolenoe-v-masle-market-250g-4275608	Wed Jul  3 15:04:16 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь Атлантика Малосольная филе-кусочки в масле, 240г	149,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/175/p/seld-atlantika-malosolnaa-file-kusocki-v-masle-240g-4056953	Wed Jul  3 15:04:16 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь Балтийский Берег жирная специального посола, 650г	179,99 ₽/шт	650 гр	https://www.perekrestok.ru/cat/812/p/seld-baltijskij-bereg-zirnaa-specialnogo-posola-650g-3463843	Wed Jul  3 15:04:16 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь Филе-кусочки в уксусно-масляной заливке, 280	189,99 ₽/шт	280 гр	https://www.perekrestok.ru/cat/812/p/seld-file-kusocki-v-uksusno-maslanoj-zalivke-280-4255358	Wed Jul  3 15:04:16 2024	none	none	none	none	none	none	none	none	none	none	none
Сельдь Атлантика филе-кусочки в масле с луком, 240г	149,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/175/p/seld-atlantika-file-kusocki-v-masle-s-lukom-240g-4056955	Wed Jul  3 15:04:16 2024	none	none	none	none	none	none	none	none	none	none	none
Форель Балтийский Берег филе-кусок слабосолёная, 200г	502,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/forel-baltijskij-bereg-file-kusok-slabosolenaa-200g-3923407	Wed Jul  3 15:19:00 2024	none	none	none	none	none	none	none	none	none	none	none
Форель Русское Море филе-кусок слабосолёная, 200г	574,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/forel-russkoe-more-file-kusok-slabosolenaa-200g-3387455	Wed Jul  3 15:19:00 2024	none	none	none	none	none	none	none	none	none	none	none
Форель Меридиан радужная филе-кусок с кожей слабосоленая охлажденная, 200г	466,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/forel-meridian-raduznaa-file-kusok-s-kozej-slabosolenaa-ohlazdennaa-200g-4285178	Wed Jul  3 15:19:00 2024	none	none	none	none	none	none	none	none	none	none	none
Форель радужная слабосоленая филе-кусок с кожей Маркет, 150г	269,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-slabosolenaa-file-kusok-s-kozej-market-150g-4263077	Wed Jul  3 15:19:00 2024	none	none	none	none	none	none	none	none	none	none	none
Форель Gustafsen радужная соленая филе-кусок, 150г	349,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/812/p/forel-gustafsen-raduznaa-solenaa-file-kusok-150g-4217902	Wed Jul  3 15:19:00 2024	none	none	none	none	none	none	none	none	none	none	none
Форель Мередиан Мирамар филе-кусок слабосолёная, 200г	349,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/812/p/forel-meredian-miramar-file-kusok-slabosolenaa-200g-4132667	Wed Jul  3 15:19:00 2024	none	none	none	none	none	none	none	none	none	none	none
Форель нарезка слабосолёная	2 499,00 ₽/кг	none	https://www.perekrestok.ru/cat/812/p/forel-narezka-slabosolenaa-6204	Wed Jul  3 15:19:00 2024	none	none	none	none	none	none	none	none	none	none	none
