name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Базилик измельчённый Маркет Перекрёсток, 7г	53,99 ₽/шт	7 гр	https://www.perekrestok.ru/cat/103/p/bazilik-izmelcennyj-market-perekrestok-7g-3481038	Wed Jul  3 15:02:58 2024	none	none	none	none	none	none	none	none	none	none	none
Приправа Kotanyi итальянские травы, 14г	59,99 ₽/шт	14 гр	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-italanskie-travy-14g-3385945	Wed Jul  3 15:02:58 2024	none	none	none	none	none	none	none	none	none	none	none
Укроп измельчённый Маркет Перекрёсток, 7г	51,99 ₽/шт	7 гр	https://www.perekrestok.ru/cat/103/p/ukrop-izmelcennyj-market-perekrestok-7g-3481036	Wed Jul  3 15:02:58 2024	none	none	none	none	none	none	none	none	none	none	none
Кумин целый Маркет Перекрёсток, 13г	51,99 ₽/шт	13 гр	https://www.perekrestok.ru/cat/103/p/kumin-celyj-market-perekrestok-13g-3900618	Wed Jul  3 15:02:58 2024	none	none	none	none	none	none	none	none	none	none	none
Петрушка нарезанная Маркет Перекрёсток, 7г	53,99 ₽/шт	7 гр	https://www.perekrestok.ru/cat/103/p/petruska-narezannaa-market-perekrestok-7g-3481037	Wed Jul  3 15:02:58 2024	none	none	none	none	none	none	none	none	none	none	none
Приправа зелень для супа нарезанная Маркет Перекрёсток, 16г	51,99 ₽/шт	16 гр	https://www.perekrestok.ru/cat/103/p/priprava-zelen-dla-supa-narezannaa-market-perekrestok-16g-3900150	Wed Jul  3 15:02:58 2024	none	none	none	none	none	none	none	none	none	none	none
Гвоздика целая Маркет Перекрёсток, 10г	60,99 ₽/шт	10 гр	https://www.perekrestok.ru/cat/103/p/gvozdika-celaa-market-perekrestok-10g-3900617	Wed Jul  3 15:02:58 2024	none	none	none	none	none	none	none	none	none	none	none
Приправа хмели-сунели Маркет Перекрёсток, 28г	67,99 ₽/шт	28 гр	https://www.perekrestok.ru/cat/103/p/priprava-hmeli-suneli-market-perekrestok-28g-3689198	Wed Jul  3 15:02:58 2024	none	none	none	none	none	none	none	none	none	none	none
Кардамон Kotanyi молотый, 10г	174,99 ₽/шт	10 гр	https://www.perekrestok.ru/cat/103/p/kardamon-kotanyi-molotyj-10g-3451332	Wed Jul  3 15:02:58 2024	none	none	none	none	none	none	none	none	none	none	none
Шафран Kotanyi натуральный, 0.12г	174,99 ₽/шт	12 гр	https://www.perekrestok.ru/cat/103/p/safran-kotanyi-naturalnyj-0-12g-3292241	Wed Jul  3 15:02:58 2024	none	none	none	none	none	none	none	none	none	none	none
