name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Печень говяжья Перекрёсток дефростированная	369,99 ₽/кг	none	https://www.perekrestok.ru/cat/141/p/pecen-govaza-perekrestok-defrostirovannaa-2159	Wed Jul  3 15:04:06 2024	none	none	none	none	none	none	none	none	none	none	none
Печень цыпленка-бройлера Север охлаждённая, 650г	169,99 ₽/шт	650 гр	https://www.perekrestok.ru/cat/141/p/pecen-cyplenka-brojlera-sever-ohlazdennaa-650g-3908228	Wed Jul  3 15:04:06 2024	none	none	none	none	none	none	none	none	none	none	none
Шея Индилайт охлаждённая	229,99 ₽/кг	none	https://www.perekrestok.ru/cat/141/p/sea-indilajt-ohlazdennaa-4095778	Wed Jul  3 15:04:06 2024	none	none	none	none	none	none	none	none	none	none	none
Шеи цыплят-бройлеров Троекурово охлаждённые, 500г	83,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/141/p/sei-cyplat-brojlerov-troekurovo-ohlazdennye-500g-3692843	Wed Jul  3 15:04:06 2024	none	none	none	none	none	none	none	none	none	none	none
Печень цыплят-бройлеров Благояр охлаждённая, 490г	139,99 ₽/шт	490 гр	https://www.perekrestok.ru/cat/141/p/pecen-cyplat-brojlerov-blagoar-ohlazdennaa-490g-4021228	Wed Jul  3 15:18:51 2024	none	none	none	none	none	none	none	none	none	none	none
Сердце индейки охлаждённое Зелёная Линия, 500г	259,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/141/p/serdce-indejki-ohlazdennoe-zelenaa-linia-500g-4326979	Wed Jul  3 15:18:51 2024	none	none	none	none	none	none	none	none	none	none	none
Сердце цыплёнка-бройлера Благояр охлаждённое, 490г	239,99 ₽/шт	490 гр	https://www.perekrestok.ru/cat/141/p/serdce-cyplenka-brojlera-blagoar-ohlazdennoe-490g-4021225	Wed Jul  3 15:18:51 2024	none	none	none	none	none	none	none	none	none	none	none
Желудки утёнка Озёрка мышечные охлаждённые, 500г	139,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/141/p/zeludki-utenka-ozerka-mysecnye-ohlazdennye-500g-4116901	Wed Jul  3 15:18:51 2024	none	none	none	none	none	none	none	none	none	none	none
Шеи цыплёнка-бройлера Благояр охлаждённые, 490г	59,99 ₽/шт	490 гр	https://www.perekrestok.ru/cat/141/p/sei-cyplenka-brojlera-blagoar-ohlazdennye-490g-4021229	Wed Jul  3 15:18:51 2024	none	none	none	none	none	none	none	none	none	none	none
Язык говяжий Перекрёсток дефростированный	919,99 ₽/кг	none	https://www.perekrestok.ru/cat/141/p/azyk-govazij-perekrestok-defrostirovannyj-2155	Wed Jul  3 15:18:51 2024	none	none	none	none	none	none	none	none	none	none	none
Печень куриная An-Noor Халяль охлаждённая, 490г	144,99 ₽/шт	490 гр	https://www.perekrestok.ru/cat/141/p/pecen-kurinaa-an-noor-halal-ohlazdennaa-490g-4186581	Thu Jul  4 10:31:48 2024	none	none	none	none	none	none	none	none	none	none	none
Печень цыплёнка-бройлера Петелинка охлаждённая, 500г	195,00 ₽/шт	500 гр	https://www.perekrestok.ru/cat/141/p/pecen-cyplenka-brojlera-petelinka-ohlazdennaa-500g-3628376	Thu Jul  4 10:31:48 2024	none	none	none	none	none	none	none	none	none	none	none
Сердце куриное An-Noor Халяль охлаждённое, 490г	209,99 ₽/шт	490 гр	https://www.perekrestok.ru/cat/141/p/serdce-kurinoe-an-noor-halal-ohlazdennoe-490g-4186583	Thu Jul  4 10:31:48 2024	none	none	none	none	none	none	none	none	none	none	none
Сердце цыплят-бройлеров Петелинка охлаждённое, 500г	299,00 ₽/шт	500 гр	https://www.perekrestok.ru/cat/141/p/serdce-cyplat-brojlerov-petelinka-ohlazdennoe-500g-3637167	Thu Jul  4 10:31:48 2024	none	none	none	none	none	none	none	none	none	none	none
Сердце QEGG перепела натуральное охлажденное, 350г	419,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/141/p/serdce-qegg-perepela-naturalnoe-ohlazdennoe-350g-4282081	Thu Jul  4 10:31:48 2024	none	none	none	none	none	none	none	none	none	none	none
Желудки куриные Петелинка мышечные охлаждённые, 500г	159,00 ₽/шт	500 гр	https://www.perekrestok.ru/cat/141/p/zeludki-kurinye-petelinka-mysecnye-ohlazdennye-500g-3628375	Thu Jul  4 10:31:48 2024	none	none	none	none	none	none	none	none	none	none	none
