name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сухарики-гренки Воронцовские ржаные со вкусом чеснока, 60г	43,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/711/p/suhariki-grenki-voroncovskie-rzanye-so-vkusom-cesnoka-60g-3427610	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки Воронцовские Бородинские с чесноком, 100г	59,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/711/p/grenki-voroncovskie-borodinskie-s-cesnokom-100g-4328538	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Палочки с чесноком, 100г	84,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/711/p/palocki-s-cesnokom-100g-3651147	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Сухарики-гренки Три Семёрки со вкусом чеснока, 150г	73,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/711/p/suhariki-grenki-tri-semerki-so-vkusom-cesnoka-150g-3611032	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки Гренковъ ржано-пшеничные с чесноком, 100г	89,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/711/p/grenki-grenkov-rzano-psenicnye-s-cesnokom-100g-4350166	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Сухарики Три корочки ржаные со вкусом холодец с хреном, 100г	55,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/711/p/suhariki-tri-korocki-rzanye-so-vkusom-holodec-s-hrenom-100g-2063961	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Сухарики Три корочки ржаные со вкусом холодец с хреном, 60г + горчичный соус, 25мл	39,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/711/p/suhariki-tri-korocki-rzanye-so-vkusom-holodec-s-hrenom-60g-gorcicnyj-sous-25ml-3911761	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Сухарики Хрустеам Багет воздушные со вкусом Индейка с горчичным соусом, 100г	119,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/711/p/suhariki-hrusteam-baget-vozdusnye-so-vkusom-indejka-s-gorcicnym-sousom-100g-4281419	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Сухарики Эу, Пацан! ржаные со вкусом говядины с луком хрустящие, 30г	34,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/711/p/suhariki-eu-pacan-rzanye-so-vkusom-govadiny-s-lukom-hrustasie-30g-4331708	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Сухарики Lava Lava ржаные со вкусом шаурмы, 30г	47,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/711/p/suhariki-lava-lava-rzanye-so-vkusom-saurmy-30g-4302331	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
