name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Кумкват цукаты Пр!ст, 100г	99,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/160/p/kumkvat-cukaty-pr-st-100g-3676270	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Помело Albero Verde, 150г	229,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/160/p/pomelo-albero-verde-150g-4053141	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Изюм Голден Маркет, 250г	119,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/160/p/izum-golden-market-250g-4316951	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Виноград сушёный Пр!ст, 100г	27,30 ₽/шт	100 гр	https://www.perekrestok.ru/cat/160/p/vinograd-susenyj-pr-st-100g-3959493	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Смесь винограда сушёная Маркет Перекрёсток, 180г	229,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/160/p/smes-vinograda-susenaa-market-perekrestok-180g-3651928	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Виноград сушёный Маркет Перекрёсток, 200г	164,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/160/p/vinograd-susenyj-market-perekrestok-200g-3469368	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Финики Меджул Маркет Collection, 200г	389,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/160/p/finiki-medzul-market-collection-200g-4286638	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Ягоды годжи сушеные Зелёная Линия, 100г	209,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/160/p/agody-godzi-susenye-zelenaa-linia-100g-4271621	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Чернослив без косточки Пр!ст, 500г	399,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/160/p/cernosliv-bez-kostocki-pr-st-500g-4314010	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Абрикос сушёный без косточки Пр!ст, 500г	299,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/160/p/abrikos-susenyj-bez-kostocki-pr-st-500g-4314011	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Яблоко резаное сушёное Маркет Перекрёсток, 200г	289,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/160/p/abloko-rezanoe-susenoe-market-perekrestok-200g-3972139	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Чернослив Пр!ст, 100г	58,90 ₽/шт	100 гр	https://www.perekrestok.ru/cat/160/p/cernosliv-pr-st-100g-4236206	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Абрикос сушёный Маркет Перекрёсток, 150г	284,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/160/p/abrikos-susenyj-market-perekrestok-150g-3651924	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Абрикос сушеный без косточек Пр!ст, 100г	79,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/160/p/abrikos-susenyj-bez-kostocek-pr-st-100g-4273146	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Чернослив без косточки сушёный Маркет Перекрёсток, 150г	179,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/160/p/cernosliv-bez-kostocki-susenyj-market-perekrestok-150g-3651925	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Смесь компотная из сухофруктов Маркет, 500г	219,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/160/p/smes-kompotnaa-iz-suhofruktov-market-500g-4312918	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Финики сушеные с косточкой Пр!ст, 300г	89,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/160/p/finiki-susenye-s-kostockoj-pr-st-300g-4287359	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Финики Befresh Мазафати сушёные, 550г	299,99 ₽/шт	550 гр	https://www.perekrestok.ru/cat/160/p/finiki-befresh-mazafati-susenye-550g-4118056	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Финики сушёные Маркет Перекрёсток, 200г	119,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/160/p/finiki-susenye-market-perekrestok-200g-4103572	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Чипсы банановые Пр!ст, 130г	114,99 ₽/шт	130 гр	https://www.perekrestok.ru/cat/160/p/cipsy-bananovye-pr-st-130g-4034931	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Манго сушеное Маркет, 500г	589,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/160/p/mango-susenoe-market-500g-4327421	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Бананы Naturfoods вяленые, 200г	154,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/160/p/banany-naturfoods-valenye-200g-3661298	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Чипсы Вкусы Мира кокосовые, 40г	164,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/160/p/cipsy-vkusy-mira-kokosovye-40g-3618875	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Плоды манго сушеные Маркет, 200г	339,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/160/p/plody-mango-susenye-market-200g-4275526	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Абрикосы сушеные без косточек Маркет, 150г	169,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/160/p/abrikosy-susenye-bez-kostocek-market-150g-4336452	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Абрикосы сушеные без косточки Зелёная Линия, 150г	359,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/160/p/abrikosy-susenye-bez-kostocki-zelenaa-linia-150g-4288280	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Таро жареное Tamarind House с начинкой из маракуйи, 40г	129,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/160/p/taro-zarenoe-tamarind-house-s-nacinkoj-iz-marakuji-40g-4346163	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Хурма сушеная Market Collection, 250г	459,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/160/p/hurma-susenaa-market-collection-250g-4291760	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Инжир сушеный Маркет Перекрёсток, 140г	199,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/160/p/inzir-susenyj-market-perekrestok-140g-4228874	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Чернослив Дары природы сушеный, 150г	289,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/160/p/cernosliv-dary-prirody-susenyj-150g-13921	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Яблоко Экофермер сушёное, 75г	139,99 ₽/шт	75 гр	https://www.perekrestok.ru/cat/160/p/abloko-ekofermer-susenoe-75g-3661355	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Банан жареный Tamarind House с начинкой из маракуйи, 45г	129,99 ₽/шт	45 гр	https://www.perekrestok.ru/cat/160/p/banan-zarenyj-tamarind-house-s-nacinkoj-iz-marakuji-45g-4346164	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Плоды дыни мускусной сушёные Маркет Collection, 100г	339,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/160/p/plody-dyni-muskusnoj-susenye-market-collection-100g-4322445	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Виноград сушеный без косточек Пр!ст, 500г	199,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/160/p/vinograd-susenyj-bez-kostocek-pr-st-500g-4308580	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Кольца яблочные Экофермер в тёмном шоколаде с вишней, 100г	209,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/160/p/kolca-ablocnye-ekofermer-v-temnom-sokolade-s-visnej-100g-4066329	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Плоды папайи сушеные Маркет, 200г	339,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/160/p/plody-papaji-susenye-market-200g-4275527	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Плоды маракуйи сушеные Маркет, 200г	369,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/160/p/plody-marakuji-susenye-market-200g-4275528	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Кокос King сушеный, 500г	819,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/160/p/kokos-king-susenyj-500g-4252263	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Финики Меджул с косточкой Зелёная Линия, 60г	139,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/160/p/finiki-medzul-s-kostockoj-zelenaa-linia-60g-4242136	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
Манго Albero Verde вяленое, 200г	469,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/160/p/mango-albero-verde-valenoe-200g-4053142	Wed Jul  3 15:05:12 2024	none	none	none	none	none	none	none	none	none	none	none
