name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Суп Суперсуп мясной, 70г	42,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/169/p/sup-supersup-masnoj-70g-3294699	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Knorr куриный с сухариками, 16г	35,99 ₽/шт	16 гр	https://www.perekrestok.ru/cat/169/p/sup-knorr-kurinyj-s-suharikami-16g-3190239	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Суперсуп куриный, 70г	38,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/169/p/sup-supersup-kurinyj-70g-3294696	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Knorr куриный с лапшой, 13г	37,99 ₽/шт	13 гр	https://www.perekrestok.ru/cat/169/p/sup-knorr-kurinyj-s-lapsoj-13g-3190232	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Русский продукт куриный со звёздочками, 70г	40,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/169/p/sup-russkij-produkt-kurinyj-so-zvezdockami-70g-4087460	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Суперсуп куриный с гренками, 40г	67,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/169/p/sup-supersup-kurinyj-s-grenkami-40g-3015652	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп-пюре из картофеля с курицей Шеф Перекрёсток, 270г	159,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/169/p/sup-pure-iz-kartofela-s-kuricej-sef-perekrestok-270g-4292951	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Knorr Чашка супа борщ с сухариками, 14.8г	35,99 ₽/шт	15 гр	https://www.perekrestok.ru/cat/169/p/sup-knorr-caska-supa-bors-s-suharikami-14-8g-3190230	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Суперсуп борщ с настоящим мясом, 70г	69,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/169/p/sup-supersup-bors-s-nastoasim-masom-70g-3646305	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Knorr харчо с сухариками, 13.7г	35,99 ₽/шт	14 гр	https://www.perekrestok.ru/cat/169/p/sup-knorr-harco-s-suharikami-13-7g-3190242	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Суперсуп харчо по-кавказски, 70г	55,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/169/p/sup-supersup-harco-po-kavkazski-70g-3294701	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Knorr гороховый с сухариками, 21г	35,99 ₽/шт	20 гр	https://www.perekrestok.ru/cat/169/p/sup-knorr-gorohovyj-s-suharikami-21g-3190246	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Суперсуп гороховый с беконом, 70г	49,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/169/p/sup-supersup-gorohovyj-s-bekonom-70g-2072497	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Maggi Горячая кружка грибной с сухариками, 20г	39,99 ₽/шт	20 гр	https://www.perekrestok.ru/cat/169/p/sup-maggi-goracaa-kruzka-gribnoj-s-suharikami-20g-2084609	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп-пюре сухой Русский Продукт Суперсытный грибной с сухариками, 18г	24,99 ₽/шт	18 гр	https://www.perekrestok.ru/cat/169/p/sup-pure-suhoj-russkij-produkt-supersytnyj-gribnoj-s-suharikami-18g-4097508	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Крем-суп Bionova протеиновый грибной, 20г	81,99 ₽/шт	20 гр	https://www.perekrestok.ru/cat/65/p/krem-sup-bionova-proteinovyj-gribnoj-20g-4013369	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Крем-суп Everyday грибной с лисичками и пшеничными сухариками, 25г	47,99 ₽/шт	25 гр	https://www.perekrestok.ru/cat/169/p/krem-sup-everyday-gribnoj-s-lisickami-i-psenicnymi-suharikami-25g-4109121	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Knorr сырный с сухариками, 15.6г	35,99 ₽/шт	16 гр	https://www.perekrestok.ru/cat/169/p/sup-knorr-syrnyj-s-suharikami-15-6g-3190234	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Русский Продукт Алфавит на 5+, 70г	38,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/169/p/sup-russkij-produkt-alfavit-na-5-70g-4231556	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Крем-суп Bionova протеиновый томатный, 20г	93,99 ₽/шт	20 гр	https://www.perekrestok.ru/cat/65/p/krem-sup-bionova-proteinovyj-tomatnyj-20g-4013370	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Рассольник Маркет, 150г	114,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/169/p/sup-rassolnik-market-150g-4326673	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Cуп Харчо Маркет, 150г	104,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/169/p/cup-harco-market-150g-4326674	Wed Jul  3 15:05:01 2024	none	none	none	none	none	none	none	none	none	none	none
Вермишель Роллтон с курицей на домашнем бульоне быстрого приготовления, 60г	26,99 ₽/шт	62 гр	https://www.perekrestok.ru/cat/169/p/vermisel-rollton-s-kuricej-na-domasnem-bulone-bystrogo-prigotovlenia-60g-2162810	Wed Jul  3 15:19:43 2024	none	none	none	none	none	none	none	none	none	none	none
Крем-суп Easy Base Гороховый Барбекю моментального приготовления, 50г	99,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/65/p/krem-sup-easy-base-gorohovyj-barbeku-momentalnogo-prigotovlenia-50g-4257517	Wed Jul  3 15:19:43 2024	none	none	none	none	none	none	none	none	none	none	none
Крем-суп Everyday быстрого приготовления Грибной с лисичками и пшеничными сухариками, 32г	89,99 ₽/шт	32 гр	https://www.perekrestok.ru/cat/169/p/krem-sup-everyday-bystrogo-prigotovlenia-gribnoj-s-lisickami-i-psenicnymi-suharikami-32g-4221770	Wed Jul  3 15:19:43 2024	none	none	none	none	none	none	none	none	none	none	none
Крем-суп Yelli нежный грибной с нутом, 70г	109,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/169/p/krem-sup-yelli-neznyj-gribnoj-s-nutom-70g-4253777	Wed Jul  3 15:19:43 2024	none	none	none	none	none	none	none	none	none	none	none
Крем-суп Everyday По-восточному пряный тыквенный, 30г	49,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/169/p/krem-sup-everyday-po-vostocnomu-pranyj-tykvennyj-30g-4121696	Wed Jul  3 15:19:43 2024	none	none	none	none	none	none	none	none	none	none	none
Крем-суп Everyday из шпината с сельдереем и пшеничными сухариками, 15x26г	65,99 ₽/шт	26 гр	https://www.perekrestok.ru/cat/169/p/krem-sup-everyday-iz-spinata-s-seldereem-i-psenicnymi-suharikami-15x26g-4109120	Wed Jul  3 15:19:43 2024	none	none	none	none	none	none	none	none	none	none	none
Крем-суп Yelli томатный пряный с базиликом, 70г	109,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/169/p/krem-sup-yelli-tomatnyj-pranyj-s-bazilikom-70g-4253780	Wed Jul  3 15:19:43 2024	none	none	none	none	none	none	none	none	none	none	none
Крем-суп Yelli ароматный тыквенный с карри, 70г	109,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/169/p/krem-sup-yelli-aromatnyj-tykvennyj-s-karri-70g-4253781	Wed Jul  3 15:19:43 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Asian Fusion с морским гребешком быстрого приготовления, 12г	49,99 ₽/шт	12 гр	https://www.perekrestok.ru/cat/169/p/sup-asian-fusion-s-morskim-grebeskom-bystrogo-prigotovlenia-12g-3407794	Wed Jul  3 15:19:43 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Fusion грибной с яйцом, 12г	49,99 ₽/шт	12 гр	https://www.perekrestok.ru/cat/169/p/sup-fusion-gribnoj-s-ajcom-12g-3407793	Wed Jul  3 15:19:43 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Asian Fusion из морепродуктов с креветками, 12г	79,99 ₽/шт	12 гр	https://www.perekrestok.ru/cat/169/p/sup-asian-fusion-iz-moreproduktov-s-krevetkami-12g-3407792	Wed Jul  3 15:19:43 2024	none	none	none	none	none	none	none	none	none	none	none
Суп Asian Fusion грибной со шпинатом и яйцом, 12г	89,99 ₽/шт	12 гр	https://www.perekrestok.ru/cat/169/p/sup-asian-fusion-gribnoj-so-spinatom-i-ajcom-12g-3407791	Wed Jul  3 15:19:43 2024	none	none	none	none	none	none	none	none	none	none	none
Крем-суп Bionova протеиновый свекольный, 20г	85,99 ₽/шт	20 гр	https://www.perekrestok.ru/cat/65/p/krem-sup-bionova-proteinovyj-svekolnyj-20g-4013373	Thu Jul  4 10:32:55 2024	none	none	none	none	none	none	none	none	none	none	none
