name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Кальмар Сухогруз сушёно-вяленый полоски, 70г	154,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/812/p/kalmar-suhogruz-suseno-valenyj-poloski-70g-3692498	Wed Jul  3 15:04:21 2024	none	none	none	none	none	none	none	none	none	none	none
Кальмар Сухогруз сушёный шинкованный, 70г	164,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/812/p/kalmar-suhogruz-susenyj-sinkovannyj-70g-2154903	Wed Jul  3 15:04:21 2024	none	none	none	none	none	none	none	none	none	none	none
Лещ Тарань-ка солёно-сушёный неразделанный, 250г	119,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/812/p/les-taran-ka-soleno-susenyj-nerazdelannyj-250g-3448516	Wed Jul  3 15:04:21 2024	none	none	none	none	none	none	none	none	none	none	none
Горбуша соломка вяленая Маркет, 40г	69,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-solomka-valenaa-market-40g-4309430	Wed Jul  3 15:04:21 2024	none	none	none	none	none	none	none	none	none	none	none
Рыбка Янтарная с перцем сушено-вяленая Маркет, 70г	69,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/812/p/rybka-antarnaa-s-percem-suseno-valenaa-market-70g-4309427	Wed Jul  3 15:04:21 2024	none	none	none	none	none	none	none	none	none	none	none
Путассу Сухогруз сушёная стружка, 70г	154,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/812/p/putassu-suhogruz-susenaa-struzka-70g-2173039	Wed Jul  3 15:04:21 2024	none	none	none	none	none	none	none	none	none	none	none
Путассу Сухогруз сушёная с перцем, 70г	139,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/812/p/putassu-suhogruz-susenaa-s-percem-70g-3360239	Wed Jul  3 15:04:21 2024	none	none	none	none	none	none	none	none	none	none	none
Жёлтый полосатик сушено-вяленый Маркет, 70г	114,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/178/p/zeltyj-polosatik-suseno-valenyj-market-70g-4284124	Wed Jul  3 15:04:21 2024	none	none	none	none	none	none	none	none	none	none	none
Минтай Сухогруз сушёный нарезка, 70г	164,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/812/p/mintaj-suhogruz-susenyj-narezka-70g-3400074	Wed Jul  3 15:04:21 2024	none	none	none	none	none	none	none	none	none	none	none
Ставридка Сухогруз сушёная, 70г	179,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/812/p/stavridka-suhogruz-susenaa-70g-3193121	Wed Jul  3 15:04:21 2024	none	none	none	none	none	none	none	none	none	none	none
Янтарная рыбка Сухогруз сушёная филе, 70г	154,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/812/p/antarnaa-rybka-suhogruz-susenaa-file-70g-3360236	Wed Jul  3 15:04:21 2024	none	none	none	none	none	none	none	none	none	none	none
Анчоус Сухогруз сушёный, 70г	149,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/812/p/ancous-suhogruz-susenyj-70g-3022552	Wed Jul  3 15:04:21 2024	none	none	none	none	none	none	none	none	none	none	none
Таранка Тарань-Ка сушёная соломка с красным перцем, 100г	119,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/812/p/taranka-taran-ka-susenaa-solomka-s-krasnym-percem-100g-4108393	Wed Jul  3 15:04:21 2024	none	none	none	none	none	none	none	none	none	none	none
Путассу северная Тарань-Ка Рыбка янтарная кусочки с красным перцем, 100г	144,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/812/p/putassu-severnaa-taran-ka-rybka-antarnaa-kusocki-s-krasnym-percem-100g-4125014	Thu Jul  4 10:32:07 2024	none	none	none	none	none	none	none	none	none	none	none
Жёлтый полосатик Сухогруз сушёный, 70г	159,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/812/p/zeltyj-polosatik-suhogruz-susenyj-70g-2173043	Thu Jul  4 10:32:07 2024	none	none	none	none	none	none	none	none	none	none	none
Янтарная рыбка Тарань-ка солёно-сушёная филе, 100г	119,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/812/p/antarnaa-rybka-taran-ka-soleno-susenaa-file-100g-3448529	Thu Jul  4 10:32:07 2024	none	none	none	none	none	none	none	none	none	none	none
Горбуша Тарань-ка соломка сушеная, 80г	219,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-taran-ka-solomka-susenaa-80g-4231626	Thu Jul  4 10:32:07 2024	none	none	none	none	none	none	none	none	none	none	none
Чипсы Рыбная История Ай из лососевых рыб сушеная, 30г	49,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/812/p/cipsy-rybnaa-istoria-aj-iz-lososevyh-ryb-susenaa-30g-4230786	Thu Jul  4 10:32:07 2024	none	none	none	none	none	none	none	none	none	none	none
