name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сушки Ладожский малышок горчичные Зелёная Линия, 300г	53,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/199/p/suski-ladozskij-malysok-gorcicnye-zelenaa-linia-300g-4066393	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Баранки Волжский Пекарь Волжские горчичные, 300г	81,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/199/p/baranki-volzskij-pekar-volzskie-gorcicnye-300g-4315708	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Сушки Хлебный Дом Горчичные, 250г	65,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/199/p/suski-hlebnyj-dom-gorcicnye-250g-4315717	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Сушки Ладожский малышок с маком Зелёная Линия, 300г	69,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/199/p/suski-ladozskij-malysok-s-makom-zelenaa-linia-300g-4066395	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Сушки Невская Сушка маковые, 275г	85,99 ₽/шт	275 гр	https://www.perekrestok.ru/cat/199/p/suski-nevskaa-suska-makovye-275g-29630	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Мини-сушки Невская Сушка с маком, 200г	93,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/199/p/mini-suski-nevskaa-suska-s-makom-200g-3360910	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Мини-сушки Волжский Пекарь с маком, 180г	51,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/199/p/mini-suski-volzskij-pekar-s-makom-180g-3623258	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Сушки Ладожский малышок простые Зелёная Линия, 300г	67,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/199/p/suski-ladozskij-malysok-prostye-zelenaa-linia-300g-4066394	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Тараллини Nina Farina классические, 180г	63,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/199/p/tarallini-nina-farina-klassiceskie-180g-3963489	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Сушки Семейка Озби Челночок, 200г	49,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/199/p/suski-semejka-ozbi-celnocok-200g-45296	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Баранки Волжский Пекарь Волжские сдобные, 300г	81,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/199/p/baranki-volzskij-pekar-volzskie-sdobnye-300g-4315711	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Тараллини Nina Farina с чесноком, 180г	57,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/199/p/tarallini-nina-farina-s-cesnokom-180g-4073690	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Тараллини Nina Farina с томатом и ароматными травами, 180г	59,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/199/p/tarallini-nina-farina-s-tomatom-i-aromatnymi-travami-180g-4073689	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Мини-сушки Каравай Классические простые, 200г	106,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/199/p/mini-suski-karavaj-klassiceskie-prostye-200g-3641527	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Мини-сушки Невская Сушка Чип&Полинки с луком, 200г	87,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/199/p/mini-suski-nevskaa-suska-cip-polinki-s-lukom-200g-3360915	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Сушки Самарский ХЗ №5 Халяль сдобные, 275г	83,99 ₽/шт	275 гр	https://www.perekrestok.ru/cat/199/p/suski-samarskij-hz-no5-halal-sdobnye-275g-3608971	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Сушки Невская Сушка Малышок простые, 400г	89,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/199/p/suski-nevskaa-suska-malysok-prostye-400g-4299512	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Крендели Saltletts Классические с солью, 150г	79,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/199/p/krendeli-saltletts-klassiceskie-s-solu-150g-55849	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Мини-крендели Lorenz Saltletts классические с солью, 60г	39,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/199/p/mini-krendeli-lorenz-saltletts-klassiceskie-s-solu-60g-4137411	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Мини-сушки Невская Сушка с солью, 200г	95,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/199/p/mini-suski-nevskaa-suska-s-solu-200g-3360914	Wed Jul  3 15:03:08 2024	none	none	none	none	none	none	none	none	none	none	none
Сушки Ого Кроха с ванилью, 200г	53,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/199/p/suski-ogo-kroha-s-vanilu-200g-3017517	Wed Jul  3 15:17:55 2024	none	none	none	none	none	none	none	none	none	none	none
Баранки Лимак ванильные, 360г	81,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/199/p/baranki-limak-vanilnye-360g-3013403	Wed Jul  3 15:17:55 2024	none	none	none	none	none	none	none	none	none	none	none
Баранки Волжский Пекарь ванильные, 350г	59,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/199/p/baranki-volzskij-pekar-vanilnye-350g-3463749	Wed Jul  3 15:17:55 2024	none	none	none	none	none	none	none	none	none	none	none
Сушки Курскхлеб ванильные, 200г	67,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/199/p/suski-kurskhleb-vanilnye-200g-3363034	Wed Jul  3 15:17:55 2024	none	none	none	none	none	none	none	none	none	none	none
Сушка Императорский Рецепт Малютка с маком, 300г	63,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/199/p/suska-imperatorskij-recept-malutka-s-makom-300g-3625536	Wed Jul  3 15:17:55 2024	none	none	none	none	none	none	none	none	none	none	none
Мини-сушки Волжский Пекарь со вкусом лука и сметаны, 180г	57,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/199/p/mini-suski-volzskij-pekar-so-vkusom-luka-i-smetany-180g-3683621	Wed Jul  3 15:17:55 2024	none	none	none	none	none	none	none	none	none	none	none
Баранки Волжский Пекарь Волжские сдобные, 350г	59,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/199/p/baranki-volzskij-pekar-volzskie-sdobnye-350g-3401214	Wed Jul  3 15:17:55 2024	none	none	none	none	none	none	none	none	none	none	none
Сушка Тобус Челночок новый, 500г	104,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/199/p/suska-tobus-celnocok-novyj-500g-2030941	Wed Jul  3 15:17:55 2024	none	none	none	none	none	none	none	none	none	none	none
Сушки Сахарoff Нижегородские на фруктозе, 250г	87,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/199/p/suski-saharoff-nizegorodskie-na-fruktoze-250g-4277775	Wed Jul  3 15:17:55 2024	none	none	none	none	none	none	none	none	none	none	none
Баранки Тобус сдобные, 400г	79,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/199/p/baranki-tobus-sdobnye-400g-3676161	Wed Jul  3 15:17:55 2024	none	none	none	none	none	none	none	none	none	none	none
Сушки Тобус Счастливое чаепитие, 300г	71,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/199/p/suski-tobus-scastlivoe-caepitie-300g-3661756	Wed Jul  3 15:17:55 2024	none	none	none	none	none	none	none	none	none	none	none
Мини-сушки простые Пр!ст, 350г	65,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/199/p/mini-suski-prostye-pr-st-350g-3642968	Wed Jul  3 15:17:55 2024	none	none	none	none	none	none	none	none	none	none	none
Мини-сушки Волжский Пекарь с солью, 180г	49,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/199/p/mini-suski-volzskij-pekar-s-solu-180g-3683622	Wed Jul  3 15:17:55 2024	none	none	none	none	none	none	none	none	none	none	none
