name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Уксус бальзамический СП Мирный 6%, 250мл	79,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/222/p/uksus-balzamiceskij-sp-mirnyj-6-250ml-3391814	Wed Jul  3 15:04:44 2024	none	none	none	none	none	none	none	none	none	none	none
Уксус Kuhne бальзамический 6%, 250мл	449,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/222/p/uksus-kuhne-balzamiceskij-6-250ml-50565	Wed Jul  3 15:04:44 2024	none	none	none	none	none	none	none	none	none	none	none
Уксус СП Мирный бальзамический 6%, 250мл	109,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/222/p/uksus-sp-mirnyj-balzamiceskij-6-250ml-3907364	Wed Jul  3 15:04:44 2024	none	none	none	none	none	none	none	none	none	none	none
Уксус Casa Rinaldi бальзамический 6%, 250мл	399,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/222/p/uksus-casa-rinaldi-balzamiceskij-6-250ml-3014968	Wed Jul  3 15:04:44 2024	none	none	none	none	none	none	none	none	none	none	none
Уксус Ortalli из белого вина бальзамический, 250мл	429,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/222/p/uksus-ortalli-iz-belogo-vina-balzamiceskij-250ml-4158550	Wed Jul  3 15:04:44 2024	none	none	none	none	none	none	none	none	none	none	none
Уксус Bio Casa Rinaldi бальзамический, 250мл	599,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/222/p/uksus-bio-casa-rinaldi-balzamiceskij-250ml-4013008	Wed Jul  3 15:04:44 2024	none	none	none	none	none	none	none	none	none	none	none
Уксус Casa Rinaldi бальзамический, 250г	399,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/222/p/uksus-casa-rinaldi-balzamiceskij-250g-3014971	Wed Jul  3 15:04:44 2024	none	none	none	none	none	none	none	none	none	none	none
Уксус Kuhne бальзамический белый 5%, 250мл	359,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/222/p/uksus-kuhne-balzamiceskij-belyj-5-250ml-50567	Wed Jul  3 15:04:44 2024	none	none	none	none	none	none	none	none	none	none	none
Уксус СП Мирный яблочный фруктовый натуральный 6%, 250мл	77,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/222/p/uksus-sp-mirnyj-ablocnyj-fruktovyj-naturalnyj-6-250ml-3907371	Wed Jul  3 15:04:44 2024	none	none	none	none	none	none	none	none	none	none	none
Уксус яблочный СП Мирный натуральный 6%, 500мл	69,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/222/p/uksus-ablocnyj-sp-mirnyj-naturalnyj-6-500ml-3359263	Wed Jul  3 15:04:44 2024	none	none	none	none	none	none	none	none	none	none	none
