name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Варенье клубничное Маркет Перекрёсток, 325г	179,99 ₽/шт	325 гр	https://www.perekrestok.ru/cat/111/p/varene-klubnicnoe-market-perekrestok-325g-4252164	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье вишневое стерилизованное Маркет Перекрёсток, 325г	199,99 ₽/шт	325 гр	https://www.perekrestok.ru/cat/111/p/varene-visnevoe-sterilizovannoe-market-perekrestok-325g-4252162	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье Черносмородиновое Пр!ст, 380г	149,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/111/p/varene-cernosmorodinovoe-pr-st-380g-4253745	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье Малиновое Пр!ст, 380г	199,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/111/p/varene-malinovoe-pr-st-380g-4253746	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье черносмородиновое стерилизованное Маркет Перекрёсток, 325г	179,99 ₽/шт	325 гр	https://www.perekrestok.ru/cat/111/p/varene-cernosmorodinovoe-sterilizovannoe-market-perekrestok-325g-4252163	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье малиновое стерилизованное Маркет Перекрёсток, 325г	199,99 ₽/шт	325 гр	https://www.perekrestok.ru/cat/111/p/varene-malinovoe-sterilizovannoe-market-perekrestok-325g-4252161	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье Клубничное Пр!ст, 380г	149,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/111/p/varene-klubnicnoe-pr-st-380g-4252950	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье Ратибор малина, 360г	219,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/111/p/varene-ratibor-malina-360g-4204893	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье Ратибор Клубника, 350г	219,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/111/p/varene-ratibor-klubnika-350g-4198148	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье Ратибор вишнёвое, 350г	239,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/111/p/varene-ratibor-visnevoe-350g-4198147	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье Ратибор чёрная смородина, 350г	199,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/111/p/varene-ratibor-cernaa-smorodina-350g-4231229	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье Ратибор абрикос, 350г	219,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/111/p/varene-ratibor-abrikos-350g-4231222	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье Абрикосовое Пр!ст, 380г	154,99 ₽/шт	380 гр	https://www.perekrestok.ru/cat/111/p/varene-abrikosovoe-pr-st-380g-4252943	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье абрикосовое стерилизованное Маркет Перекрёсток, 325г	179,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/111/p/varene-abrikosovoe-sterilizovannoe-market-perekrestok-325g-4252165	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
Варенье Ратибор инжир, 350г	219,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/111/p/varene-ratibor-inzir-350g-4231227	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
Десерт Пиканта из яблок с маракуйей, 370г	239,99 ₽/шт	370 гр	https://www.perekrestok.ru/cat/111/p/desert-pikanta-iz-ablok-s-marakujej-370g-4255304	Wed Jul  3 15:05:14 2024	none	none	none	none	none	none	none	none	none	none	none
