name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Вермут Yzaguirre Vermouth Rose 15%, 1л	849,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/764/p/vermut-yzaguirre-vermouth-rose-15-1l-4269139	Wed Jul  3 15:05:37 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Вермут Martini Bianco белый сладкий 15%, 1л	1 599,00 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/3/p/napitok-vermut-martini-bianco-belyj-sladkij-15-1l-4075001	Wed Jul  3 15:05:37 2024	none	none	none	none	none	none	none	none	none	none	none
Вермут Yzaguirre La Autentica Formula 15%, 1л	749,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/764/p/vermut-yzaguirre-la-autentica-formula-15-1l-4269138	Wed Jul  3 15:05:37 2024	none	none	none	none	none	none	none	none	none	none	none
Винный напиток Вермут Martini Rosso 14,4%, 500мл	859,00 ₽/шт	500 мл	https://www.perekrestok.ru/cat/2/p/vinnyj-napitok-vermut-martini-rosso-14-4-500ml-4077614	Wed Jul  3 15:05:37 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Вермут Martini Rosso красный сухой 1л, 15%	1 599,00 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/764/p/napitok-vermut-martini-rosso-krasnyj-suhoj-1l-15-4077613	Wed Jul  3 15:05:37 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Вермут Martini Bianco белый сладкий 15%, 500мл	859,00 ₽/шт	500 мл	https://www.perekrestok.ru/cat/764/p/napitok-vermut-martini-bianco-belyj-sladkij-15-500ml-4075005	Wed Jul  3 15:05:37 2024	none	none	none	none	none	none	none	none	none	none	none
Набор Martini Bianco, 1л и Tonic Rich, 2*330мл	1 399,00 ₽/шт	1660 мл	https://www.perekrestok.ru/cat/3/p/nabor-martini-bianco-1l-i-tonic-rich-2-330ml-4270163	Wed Jul  3 15:05:37 2024	none	none	none	none	none	none	none	none	none	none	none
Набор Мартини Фиеро 1л + Индиан Тоник Rich, 2*330мл	1 399,00 ₽/шт	1660 мл	https://www.perekrestok.ru/cat/3/p/nabor-martini-fiero-1l-indian-tonik-rich-2-330ml-4270162	Wed Jul  3 15:05:37 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Вермут Martini Extra Dry белый сухой 1л, 18%	1 599,00 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/764/p/napitok-vermut-martini-extra-dry-belyj-suhoj-1l-18-4075427	Wed Jul  3 15:05:37 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Вермут Cinzano Bianco белый сладкий 15%, 500мл	799,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/764/p/napitok-vermut-cinzano-bianco-belyj-sladkij-15-500ml-29238	Wed Jul  3 15:05:37 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Вермут Cinzano Bianco белый сладкий 15%, 1л	1 499,00 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/764/p/napitok-vermut-cinzano-bianco-belyj-sladkij-15-1l-1281	Wed Jul  3 15:05:37 2024	none	none	none	none	none	none	none	none	none	none	none
Вермут Yzaguirre Vermouth Rose 15%, 1л	849,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/1245/p/vermut-yzaguirre-vermouth-rose-15-1l-4269139	Thu Jul  4 10:33:42 2024	none	none	none	none	none	none	none	none	none	none	none
