name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Вино Sottocielo Неро Д'Авола красное сухое, 750мл	299,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-sottocielo-nero-davola-krasnoe-suhoe-750ml-4215286	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Chateau l'Eclair Merlot красное полусладкое 10%, 750мл	249,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-chateau-leclair-merlot-krasnoe-polusladkoe-10-750ml-4181690	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Highway to Hell красное сухое 13%, 750мл	749,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-highway-to-hell-krasnoe-suhoe-13-750ml-4169130	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Lemi Киндзмараули красное полусладкое, 750мл	449,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-lemi-kindzmarauli-krasnoe-polusladkoe-750ml-4231764	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Поместье Голубицкое Каберне-Совиньон красное сухое 750мл	879,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-pomeste-golubickoe-kaberne-sovinon-krasnoe-suhoe-750ml-3985014	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Портвейн Manuel D. Pocas Junior Руби красный марочный 16%, 750мл	1 199,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/portvejn-manuel-d-pocas-junior-rubi-krasnyj-marocnyj-16-750ml-4215390	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Mayrik красное сухое 13%, 750мл	469,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-mayrik-krasnoe-suhoe-13-750ml-4195678	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Cape Art Pinotage красное сухое 13.5%, 750мл	449,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-cape-art-pinotage-krasnoe-suhoe-13-5-750ml-3608101	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Solvinо Tamagne Merlot красное сухое 10-12%, 750мл	229,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-solvino-tamagne-merlot-krasnoe-suhoe-10-12-750ml-4323380	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Mucho Mas Ред Бленд красное полусухое 14%, 750мл	999,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-mucho-mas-red-blend-krasnoe-polusuhoe-14-750ml-4211302	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Chateau l'Eclair Cabernet красное сухое 10%, 750мл	249,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-chateau-leclair-cabernet-krasnoe-suhoe-10-750ml-4181689	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Prado Molar Темпранильо красное сухое, 750мл	659,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-prado-molar-tempranilo-krasnoe-suhoe-750ml-4247049	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино выдержанное красное полусухое Q.S.S. Rare Reserva, 750мл	999,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-vyderzannoe-krasnoe-polusuhoe-q-s-s-rare-reserva-750ml-4286676	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Les Blousons Noirs сортовое ординарное красное сухое, 750мл	799,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-les-blousons-noirs-sortovoe-ordinarnoe-krasnoe-suhoe-750ml-4227066	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Prado Molar Tempranillo VDT красное полусладкое, 750мл	659,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-prado-molar-tempranillo-vdt-krasnoe-polusladkoe-750ml-4247048	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Impuls Vranac красное сухое, 1л	499,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/2/p/vino-impuls-vranac-krasnoe-suhoe-1l-4287768	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Cricova Cabernet-Sauvignon красное сухое, 750мл	599,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-cricova-cabernet-sauvignon-krasnoe-suhoe-750ml-4245129	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Киндзмараули красное полусладкое 12%, 750мл	1 099,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-kindzmarauli-krasnoe-polusladkoe-12-750ml-3694712	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Виноградосодержащий напиток Sangria Mar & Sol красный сладкий 9%, 750мл	399,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vinogradosoderzasij-napitok-sangria-mar-sol-krasnyj-sladkij-9-750ml-4271410	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Terre D'Oro Саноджовезе ординарное красное сухое категория IGT 14.5%, 750мл	699,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-terre-doro-sanodzoveze-ordinarnoe-krasnoe-suhoe-kategoria-igt-14-5-750ml-4190047	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Loggia del Sole Chianti Riserva DOCG красное сухое 14%, 750мл	999,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-loggia-del-sole-chianti-riserva-docg-krasnoe-suhoe-14-750ml-4096019	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Don Simon красное сухое 11%, 1л	679,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/2/p/vino-don-simon-krasnoe-suhoe-11-1l-66777	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Портвейн Monge Porto Fine Ruby марочный красный крепкий, 750мл	899,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/portvejn-monge-porto-fine-ruby-marocnyj-krasnyj-krepkij-750ml-4268329	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
Вино Aspeti Гранат красное полусладкое 12%, 750мл	399,99 ₽/шт	750 мл	https://www.perekrestok.ru/cat/2/p/vino-aspeti-granat-krasnoe-polusladkoe-12-750ml-4180158	Wed Jul  3 15:05:20 2024	none	none	none	none	none	none	none	none	none	none	none
