name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Виски Two Stacks The First Cut купажированный 43%, 700мл	1 999,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-two-stacks-the-first-cut-kupazirovannyj-43-700ml-4274220	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Label 5 40%, 200мл	184,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/5/p/viski-label-5-40-200ml-3651850	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Johnnie Walker Рэд Лейбл 40%, 700мл	1 299,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-johnnie-walker-red-lejbl-40-700ml-3298929	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Ballantines Файнест 40%, 700мл	1 599,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-ballantines-fajnest-40-700ml-3247206	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Jack Daniels Тенесси Old No.7 40%, 700мл	1 959,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-jack-daniels-tenessi-old-no-7-40-700ml-3359549	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски The Whistler Oloroso Sherry Cask Finish ирландский купажированный 43% в п/у, 700мл	3 090,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-the-whistler-oloroso-sherry-cask-finish-irlandskij-kupazirovannyj-43-v-p-u-700ml-4269845	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски ирландский купажированный Kinahan's LL 40% в подарочной упаковке, 700мл	3 599,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-irlandskij-kupazirovannyj-kinahans-ll-40-v-podarocnoj-upakovke-700ml-4243193	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски купажированный Nucky Thompson Выдержка три года 40%, 1 л	1 299,00 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/5/p/viski-kupazirovannyj-nucky-thompson-vyderzka-tri-goda-40-1-l-4034691	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Glen Moon купажированный 40%, 700мл	1 099,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-glen-moon-kupazirovannyj-40-700ml-4269350	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски William Lawsons купажированный 40%, 700мл	1 299,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-william-lawsons-kupazirovannyj-40-700ml-3610645	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Sterling Reserve B10 Премиум купажированный 40%, 750мл	1 499,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/5/p/viski-sterling-reserve-b10-premium-kupazirovannyj-40-750ml-4288132	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Johnnie Walker Black Label 12 лет купажированный, 0.7л	2 249,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-johnnie-walker-black-label-12-let-kupazirovannyj-0-7l-4009189	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски О'neill's ирландский купажированный 40%, 700мл	1 149,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-oneills-irlandskij-kupazirovannyj-40-700ml-4180473	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски William Lawsons купажированный 40%, 250мл	579,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/5/p/viski-william-lawsons-kupazirovannyj-40-250ml-4091660	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски купажированный Наки Томпсон Выдержка шесть лет,  0,5 л	1 199,00 ₽/шт	500 мл	https://www.perekrestok.ru/cat/5/p/viski-kupazirovannyj-naki-tompson-vyderzka-sest-let-0-5-l-4229138	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Darrow шотландский купажированный 40%, 500мл	739,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/5/p/viski-darrow-sotlandskij-kupazirovannyj-40-500ml-4261325	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Стронголд купажированный 50%, 700мл	649,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-strongold-kupazirovannyj-50-700ml-4231118	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Sir Pitterson купажированный 40%, 700мл	949,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-sir-pitterson-kupazirovannyj-40-700ml-4255319	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Label 5 шотландский купажированный 40%, 500мл	799,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/5/p/viski-label-5-sotlandskij-kupazirovannyj-40-500ml-3999523	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Scotch Terrier купажированный 40%, 700мл	1 049,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-scotch-terrier-kupazirovannyj-40-700ml-3981115	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски William Lawsons купажированный 40%, 1л	1 849,00 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/5/p/viski-william-lawsons-kupazirovannyj-40-1l-3610644	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски The Famous Grouse Файнест 40%, 700мл	2 199,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-the-famous-grouse-fajnest-40-700ml-99234	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Kilbeggan 40%, 700мл	2 099,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-kilbeggan-40-700ml-3660110	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Scots Gold Black шотландский купажированный 40%, 700мл	1 199,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-scots-gold-black-sotlandskij-kupazirovannyj-40-700ml-4349677	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Scots Gold Red шотландский купажированный 40%, 700мл	1 199,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-scots-gold-red-sotlandskij-kupazirovannyj-40-700ml-4349676	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Woodnote Premium Blended Select Cask 42.8%, 750мл	1 899,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/5/p/viski-woodnote-premium-blended-select-cask-42-8-750ml-4335095	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Dewar's 15 Y.O. шотландский купажированный 40%, 750мл	7 299,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/5/p/viski-dewars-15-y-o-sotlandskij-kupazirovannyj-40-750ml-4320914	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Grant's Triple Wood шотландский купажированный 40% с игральными картами, 750мл	1 799,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/5/p/viski-grants-triple-wood-sotlandskij-kupazirovannyj-40-s-igralnymi-kartami-750ml-4324469	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Jameson ирландский купажированный 40%, 750мл	2 999,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/5/p/viski-jameson-irlandskij-kupazirovannyj-40-750ml-4320389	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски The Dubliner ирландский купажированный 40%, 700мл	3 299,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-the-dubliner-irlandskij-kupazirovannyj-40-700ml-4102736	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Forest Cat купажированный 40%, 500мл	499,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/5/p/viski-forest-cat-kupazirovannyj-40-500ml-4291562	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Royal Ranthambore купажированный 40%, 750мл	2 499,00 ₽/шт	750 мл	https://www.perekrestok.ru/cat/5/p/viski-royal-ranthambore-kupazirovannyj-40-750ml-4290027	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски William Watt шотландский купажированный, 500мл	429,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/5/p/viski-william-watt-sotlandskij-kupazirovannyj-500ml-4287559	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Royal Hunt купажированный, 500мл	403,00 ₽/шт	500 мл	https://www.perekrestok.ru/cat/5/p/viski-royal-hunt-kupazirovannyj-500ml-4287558	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Crazy Charley купажированный, 700мл	1 349,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-crazy-charley-kupazirovannyj-700ml-4221205	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски The Whistler Double Oaked ирландский купажированный 40%, 700мл	1 649,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-the-whistler-double-oaked-irlandskij-kupazirovannyj-40-700ml-4269844	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Ben Cocky 40% шотландский купажированный, 700мл	1 399,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-ben-cocky-40-sotlandskij-kupazirovannyj-700ml-4259092	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Hawkins Спешл Резерв 8-летний 40%, 700мл	3 690,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-hawkins-spesl-rezerv-8-letnij-40-700ml-4266177	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Black Ram Bourbon Finish 3-летний 40%, 700мл	1 699,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-black-ram-bourbon-finish-3-letnij-40-700ml-4263144	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Black Ram Bourbon Finish 3-летний 40%, 500мл	999,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/5/p/viski-black-ram-bourbon-finish-3-letnij-40-500ml-4260538	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Нествил купажированный 40%, 700мл	1 799,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-nestvil-kupazirovannyj-40-700ml-4257234	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Hatozaki Японский купажированный 40%, 700мл	3 999,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-hatozaki-aponskij-kupazirovannyj-40-700ml-4252703	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Dunmor 40%, 500мл	403,00 ₽/шт	500 мл	https://www.perekrestok.ru/cat/5/p/viski-dunmor-40-500ml-4238501	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Scotch Terrier шотландский 40%, 500мл	739,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/5/p/viski-scotch-terrier-sotlandskij-40-500ml-4235889	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Gelstons Самуэль ирландский купажированный 40%, 700мл	1 649,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-gelstons-samuel-irlandskij-kupazirovannyj-40-700ml-4217337	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Red and Black купажированный 3-летний, 500мл	699,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/5/p/viski-red-and-black-kupazirovannyj-3-letnij-500ml-4214940	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Fox&Dogs купажированный 40%, 700мл	819,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-fox-dogs-kupazirovannyj-40-700ml-4087203	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Fox&Dogs купажированный 40%, 250мл	379,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/5/p/viski-fox-dogs-kupazirovannyj-40-250ml-4098031	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Nucky Thompson 3-летний купажированный 40%, 250мл	399,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/5/p/viski-nucky-thompson-3-letnij-kupazirovannyj-40-250ml-4050507	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Label 5 40%, 700мл	899,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-label-5-40-700ml-3652398	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Grants Трипл Вуд 3-летний шотландский купажированный 40%, 700мл	1 849,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-grants-tripl-vud-3-letnij-sotlandskij-kupazirovannyj-40-700ml-3927433	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Настойка Fox & Dogs Спайсд на основе виски полусладкая 35%, 700мл	1 099,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/nastojka-fox-dogs-spajsd-na-osnove-viski-polusladkaa-35-700ml-3980295	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски The Pogues Айриш ирландский купажированный 40%, 700мл	1 799,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-the-pogues-ajris-irlandskij-kupazirovannyj-40-700ml-4049893	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Nucky Thompson 3-летний купажированный 40%, 500мл	769,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/5/p/viski-nucky-thompson-3-letnij-kupazirovannyj-40-500ml-3918863	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Old Smuggler 40%, 700мл	1 699,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-old-smuggler-40-700ml-2160754	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Nucky Thompson 3-летний купажированный 40% в подарочной упаковке, 2х500мл	1 799,00 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/5/p/viski-nucky-thompson-3-letnij-kupazirovannyj-40-v-podarocnoj-upakovke-2h500ml-4001635	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Dewar's Карибеан Смус 8-летний шотландский купажированный 40% в подарочной упаковке, 700мл	1 949,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-dewars-karibean-smus-8-letnij-sotlandskij-kupazirovannyj-40-v-podarocnoj-upakovke-700ml-3986608	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Tenjaku японский купажированный 40% в подарочной упаковке, 700мл	3 299,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-tenjaku-aponskij-kupazirovannyj-40-v-podarocnoj-upakovke-700ml-3981221	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Nucky Thompson 3-летний 40%, 700мл	1 149,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-nucky-thompson-3-letnij-40-700ml-3684881	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Bell's Original купажированный, 0.5л	409,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/5/p/viski-bells-original-kupazirovannyj-0-5l-3698328	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Dewar's Вайт Лейбл 40%, 700мл	1 599,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-dewars-vajt-lejbl-40-700ml-3443320	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Dewars 12-летний 40% в подарочной упаковке, 700мл	3 299,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-dewars-12-letnij-40-v-podarocnoj-upakovke-700ml-3464385	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Jack Daniels Тенесси Old No.7 40%, 50мл	129,99 ₽/шт	50 мл	https://www.perekrestok.ru/cat/5/p/viski-jack-daniels-tenessi-old-no-7-40-50ml-3471594	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски William Lawsons 40%, 500мл	979,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/5/p/viski-william-lawsons-40-500ml-3504071	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Johnnie Walker Red Label купажированный в наборе с бокалом, 700мл	2 599,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-johnnie-walker-red-label-kupazirovannyj-v-nabore-s-bokalom-700ml-3687940	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Jim Beam Хани 35%, 700мл	999,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-jim-beam-hani-35-700ml-3409473	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Jameson ирландский 40%, 700мл	2 599,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-jameson-irlandskij-40-700ml-32595	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Fox&Dogs купажированный 40%, 500мл	649,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/5/p/viski-fox-dogs-kupazirovannyj-40-500ml-3646759	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Dewar's Вайт Лейбл 40%, 500мл	1 199,00 ₽/шт	500 мл	https://www.perekrestok.ru/cat/5/p/viski-dewars-vajt-lejbl-40-500ml-2048005	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Monkey Shoulder 40%, 700мл	4 499,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-monkey-shoulder-40-700ml-3406214	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Glenmorangie The Original Шотландский односолодовый 10 лет, 700мл	3 999,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-glenmorangie-the-original-sotlandskij-odnosolodovyj-10-let-700ml-4319025	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
Виски Glenfiddich 12-летний шотландский односолодовый 40% в подарочной упаковке, 700мл	4 799,00 ₽/шт	700 мл	https://www.perekrestok.ru/cat/5/p/viski-glenfiddich-12-letnij-sotlandskij-odnosolodovyj-40-v-podarocnoj-upakovke-700ml-4061118	Wed Jul  3 15:05:23 2024	none	none	none	none	none	none	none	none	none	none	none
