name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Халва подсолнечная с ядром подсолнечника Маркет Collection, 350г	69,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/188/p/halva-podsolnecnaa-s-adrom-podsolnecnika-market-collection-350g-4309177	Wed Jul  3 15:03:30 2024	none	none	none	none	none	none	none	none	none	none	none
Халва Рот Фронт Дружба с арахисом, 220г	119,99 ₽/шт	220 гр	https://www.perekrestok.ru/cat/188/p/halva-rot-front-druzba-s-arahisom-220g-4278265	Wed Jul  3 15:03:30 2024	none	none	none	none	none	none	none	none	none	none	none
Халва подсолнечная Маркет, 250г	53,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/188/p/halva-podsolnecnaa-market-250g-4274803	Wed Jul  3 15:03:30 2024	none	none	none	none	none	none	none	none	none	none	none
Халва Азовская КФ подсолнечная, 350г	83,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/188/p/halva-azovskaa-kf-podsolnecnaa-350g-3198828	Wed Jul  3 15:03:30 2024	none	none	none	none	none	none	none	none	none	none	none
Халва льняная с семенами льна на фруктозе Зелёная Линия, 250г	129,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/255/p/halva-lnanaa-s-semenami-lna-na-fruktoze-zelenaa-linia-250g-4243093	Wed Jul  3 15:03:30 2024	none	none	none	none	none	none	none	none	none	none	none
Халва Тимоша подсолнечная воздушная, 200г	74,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/188/p/halva-timosa-podsolnecnaa-vozdusnaa-200g-3937598	Wed Jul  3 15:03:30 2024	none	none	none	none	none	none	none	none	none	none	none
Халва Богучарская подсолнечная мраморная неглазированная, 450г	119,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/188/p/halva-bogucarskaa-podsolnecnaa-mramornaa-neglazirovannaa-450g-3996139	Wed Jul  3 15:03:30 2024	none	none	none	none	none	none	none	none	none	none	none
Халва Рот Фронт глазированная шоколадной глазурью, 370г	439,99 ₽/шт	370 гр	https://www.perekrestok.ru/cat/188/p/halva-rot-front-glazirovannaa-sokoladnoj-glazuru-370g-4278736	Wed Jul  3 15:03:30 2024	none	none	none	none	none	none	none	none	none	none	none
Халва Рот Фронт Лакомка подсолнечная с арахисом, 250г	99,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/188/p/halva-rot-front-lakomka-podsolnecnaa-s-arahisom-250g-3501624	Wed Jul  3 15:03:30 2024	none	none	none	none	none	none	none	none	none	none	none
Халва Азовская КФ подсолнечная с арахисом, 350г	95,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/188/p/halva-azovskaa-kf-podsolnecnaa-s-arahisom-350g-3198829	Wed Jul  3 15:03:30 2024	none	none	none	none	none	none	none	none	none	none	none
