name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Нерка Люди Любят стейк мороженый, 500г	549,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/812/p/nerka-ludi-lubat-stejk-morozenyj-500g-4339797	Wed Jul  3 15:04:18 2024	none	none	none	none	none	none	none	none	none	none	none
Горбуша дальневосточная филе порционное Маркет, 400г	449,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/812/p/gorbusa-dalnevostocnaa-file-porcionnoe-market-400g-4261365	Wed Jul  3 15:04:18 2024	none	none	none	none	none	none	none	none	none	none	none
Треска Borealis Атлантическая филе без кожи замороженное, 400г	839,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/812/p/treska-borealis-atlanticeskaa-file-bez-kozi-zamorozennoe-400g-4119553	Wed Jul  3 15:04:18 2024	none	none	none	none	none	none	none	none	none	none	none
Треска Borealis Атлантическая филе блочное без кожи без костей замороженное, 750г	808,99 ₽/шт	750 гр	https://www.perekrestok.ru/cat/812/p/treska-borealis-atlanticeskaa-file-blocnoe-bez-kozi-bez-kostej-zamorozennoe-750g-3646643	Wed Jul  3 15:04:18 2024	none	none	none	none	none	none	none	none	none	none	none
Палтус Borealis Синекорый стейки замороженные, 400г	819,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/812/p/paltus-borealis-sinekoryj-stejki-zamorozennye-400g-3664717	Wed Jul  3 15:04:18 2024	none	none	none	none	none	none	none	none	none	none	none
Камбала желтоперая филе порционное Маркет, 400г	239,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/812/p/kambala-zeltoperaa-file-porcionnoe-market-400g-4261366	Wed Jul  3 15:04:18 2024	none	none	none	none	none	none	none	none	none	none	none
Дорадо Вкус Арт неразделанная свежемороженая	1 099,00 ₽/кг	none	https://www.perekrestok.ru/cat/273/p/dorado-vkus-art-nerazdelannaa-svezemorozenaa-4307375	Wed Jul  3 15:04:18 2024	none	none	none	none	none	none	none	none	none	none	none
Форель Вкус Арт стейк замороженный, 500г	629,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/812/p/forel-vkus-art-stejk-zamorozennyj-500g-3689013	Thu Jul  4 10:32:03 2024	none	none	none	none	none	none	none	none	none	none	none
Треска атлантическая Borealis стейк замороженный, 600г	699,99 ₽/шт	600 гр	https://www.perekrestok.ru/cat/812/p/treska-atlanticeskaa-borealis-stejk-zamorozennyj-600g-4023639	Thu Jul  4 10:32:03 2024	none	none	none	none	none	none	none	none	none	none	none
Треска Borealis атлантическая филе спинка без кожи без костей замороженная, 400г	839,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/273/p/treska-borealis-atlanticeskaa-file-spinka-bez-kozi-bez-kostej-zamorozennaa-400g-4319798	Thu Jul  4 10:32:03 2024	none	none	none	none	none	none	none	none	none	none	none
Тилапия филе без кожи мороженое Маркет, 500г	289,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/273/p/tilapia-file-bez-kozi-morozenoe-market-500g-4289856	Thu Jul  4 10:32:03 2024	none	none	none	none	none	none	none	none	none	none	none
Минтай Borealis Тихоокеанский филе блочное без кожи без костей замороженное, 750г	559,99 ₽/шт	750 гр	https://www.perekrestok.ru/cat/812/p/mintaj-borealis-tihookeanskij-file-blocnoe-bez-kozi-bez-kostej-zamorozennoe-750g-3664240	Thu Jul  4 10:32:03 2024	none	none	none	none	none	none	none	none	none	none	none
Минтай Океанрыбфлот филе без кожи замороженное, 600г	349,99 ₽/шт	600 гр	https://www.perekrestok.ru/cat/812/p/mintaj-okeanrybflot-file-bez-kozi-zamorozennoe-600g-3974723	Thu Jul  4 10:32:03 2024	none	none	none	none	none	none	none	none	none	none	none
Окунь Borealis Морской без головы замороженный, 650г	679,99 ₽/шт	650 гр	https://www.perekrestok.ru/cat/812/p/okun-borealis-morskoj-bez-golovy-zamorozennyj-650g-4086079	Thu Jul  4 10:32:03 2024	none	none	none	none	none	none	none	none	none	none	none
